,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년05월_계_총인구수,"69,102","22,749","7,748","4,893","6,944","4,505","4,205","3,107","4,093","1,851","3,184","2,919","2,259",382,263
2020년05월_계_연령구간인구수,"69,102","22,749","7,748","4,893","6,944","4,505","4,205","3,107","4,093","1,851","3,184","2,919","2,259",382,263
2020년05월_계_0~9세,"3,293","1,455",521,182,317,157,153,69,120,52,124,69,63,5,6
2020년05월_계_10~19세,"4,696","2,224",657,216,402,206,236,132,164,77,136,119,112,12,3
2020년05월_계_20~29세,"5,517","2,336",715,319,527,285,255,199,246,92,217,176,122,20,8
2020년05월_계_30~39세,"5,415","2,199",686,331,604,321,242,188,235,81,211,165,125,19,8
2020년05월_계_40~49세,"7,867","3,265","1,057",443,745,389,442,290,364,152,280,203,201,23,13
2020년05월_계_50~59세,"12,135","3,833","1,361",875,"1,367",790,750,541,648,342,543,547,408,75,55
2020년05월_계_60~69세,"13,759","3,514","1,344","1,205","1,519","1,126",933,738,929,428,665,628,550,106,74
2020년05월_계_70~79세,"10,070","2,483",853,779,953,760,703,610,814,370,594,617,406,66,62
2020년05월_계_80~89세,"5,537","1,256",474,459,437,401,425,310,510,231,375,341,236,52,30
2020년05월_계_90~99세,776,171,79,81,70,68,63,29,59,26,35,52,35,4,4
2020년05월_계_100세 이상,37,13,1,3,3,2,3,1,4,0,4,2,1,0,0
2020년05월_남_총인구수,"34,656","11,258","3,872","2,473","3,521","2,286","2,096","1,530","2,083",928,"1,585","1,517","1,171",193,143
2020년05월_남_연령구간인구수,"34,656","11,258","3,872","2,473","3,521","2,286","2,096","1,530","2,083",928,"1,585","1,517","1,171",193,143
2020년05월_남_0~9세,"1,713",760,263,78,162,73,84,44,63,30,64,44,40,4,4
2020년05월_남_10~19세,"2,419","1,120",337,112,212,120,126,66,87,35,67,59,71,6,1
2020년05월_남_20~29세,"3,198","1,337",422,189,315,158,150,112,152,54,115,112,67,10,5
2020년05월_남_30~39세,"2,849","1,141",329,178,308,191,128,102,125,47,121,92,73,10,4
2020년05월_남_40~49세,"4,282","1,663",549,251,422,226,248,165,217,83,180,138,114,16,10
2020년05월_남_50~59세,"6,233","1,933",694,443,690,384,387,261,354,198,294,298,224,41,32
2020년05월_남_60~69세,"6,835","1,700",673,616,745,574,462,362,475,208,316,325,286,51,42
2020년05월_남_70~79세,"4,753","1,098",409,397,483,371,326,286,382,172,282,288,193,36,30
2020년05월_남_80~89세,"2,173",460,175,190,169,167,168,122,220,96,137,144,95,16,14
2020년05월_남_90~99세,192,42,21,19,13,22,16,9,8,5,9,16,8,3,1
2020년05월_남_100세 이상,9,4,0,0,2,0,1,1,0,0,0,1,0,0,0
2020년05월_여_총인구수,"34,446","11,491","3,876","2,420","3,423","2,219","2,109","1,577","2,010",923,"1,599","1,402","1,088",189,120
2020년05월_여_연령구간인구수,"34,446","11,491","3,876","2,420","3,423","2,219","2,109","1,577","2,010",923,"1,599","1,402","1,088",189,120
2020년05월_여_0~9세,"1,580",695,258,104,155,84,69,25,57,22,60,25,23,1,2
2020년05월_여_10~19세,"2,277","1,104",320,104,190,86,110,66,77,42,69,60,41,6,2
2020년05월_여_20~29세,"2,319",999,293,130,212,127,105,87,94,38,102,64,55,10,3
2020년05월_여_30~39세,"2,566","1,058",357,153,296,130,114,86,110,34,90,73,52,9,4
2020년05월_여_40~49세,"3,585","1,602",508,192,323,163,194,125,147,69,100,65,87,7,3
2020년05월_여_50~59세,"5,902","1,900",667,432,677,406,363,280,294,144,249,249,184,34,23
2020년05월_여_60~69세,"6,924","1,814",671,589,774,552,471,376,454,220,349,303,264,55,32
2020년05월_여_70~79세,"5,317","1,385",444,382,470,389,377,324,432,198,312,329,213,30,32
2020년05월_여_80~89세,"3,364",796,299,269,268,234,257,188,290,135,238,197,141,36,16
2020년05월_여_90~99세,584,129,58,62,57,46,47,20,51,21,26,36,27,1,3
2020년05월_여_100세 이상,28,9,1,3,1,2,2,0,4,0,4,1,1,0,0
