,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년07월_계_총인구수,"586,279","42,052","23,754","21,421","31,973","52,982","18,706","22,155","21,342","35,013","25,201","25,582","33,986","14,803","15,813","38,061","44,083","27,157","44,919","23,363","23,913"
2020년07월_계_연령구간인구수,"586,279","42,052","23,754","21,421","31,973","52,982","18,706","22,155","21,342","35,013","25,201","25,582","33,986","14,803","15,813","38,061","44,083","27,157","44,919","23,363","23,913"
2020년07월_계_0~9세,"41,629","4,261","1,371","1,398","1,807","2,992","1,320","1,367","1,229","2,454","1,371","1,457","1,821",545,777,"3,632","3,953","2,662","4,506","1,240","1,466"
2020년07월_계_10~19세,"45,890","4,572","1,405","1,683","2,209","2,620","1,515","1,656","1,424","2,534","1,721","1,684","1,971",485,635,"5,104","5,520","1,741","4,294","1,524","1,593"
2020년07월_계_20~29세,"87,438","5,535","4,747","3,367","4,298","9,242","2,580","3,243","2,985","5,814","4,268","3,874","8,357","1,783","1,920","4,755","5,312","3,869","5,432","3,385","2,672"
2020년07월_계_30~39세,"100,609","7,359","5,789","3,586","4,687","10,848","3,017","3,302","3,482","6,532","4,214","4,427","8,159","2,526","3,190","4,551","5,780","5,147","6,717","3,504","3,792"
2020년07월_계_40~49세,"92,216","7,723","3,300","3,135","4,066","7,664","3,202","3,288","3,285","5,692","3,696","4,053","4,599","1,481","1,964","7,453","8,681","4,249","7,850","3,270","3,565"
2020년07월_계_50~59세,"87,553","6,031","3,032","3,543","5,533","7,589","2,875","3,449","3,486","4,966","4,048","3,872","4,247","2,353","2,360","5,707","6,540","3,864","6,611","3,718","3,729"
2020년07월_계_60~69세,"75,292","4,073","2,212","2,854","5,108","6,932","2,421","3,413","3,128","4,140","3,606","3,528","3,090","3,192","2,663","3,852","4,919","3,180","5,517","3,610","3,854"
2020년07월_계_70~79세,"38,585","1,721","1,125","1,330","2,538","3,755","1,336","1,776","1,662","2,096","1,630","2,030","1,181","1,533","1,552","2,112","2,493","1,679","2,799","2,120","2,117"
2020년07월_계_80~89세,"14,418",679,634,443,"1,417","1,168",375,551,568,650,552,578,476,771,630,747,740,643,"1,012",852,932
2020년07월_계_90~99세,"2,422",87,134,78,298,152,59,88,87,126,89,73,80,130,121,137,121,96,168,114,184
2020년07월_계_100세 이상,227,11,5,4,12,20,6,22,6,9,6,6,5,4,1,11,24,27,13,26,9
2020년07월_남_총인구수,"283,343","20,478","11,175","10,503","15,263","25,814","9,111","10,650","10,460","17,097","12,339","12,294","15,716","7,014","7,434","18,055","21,108","13,785","21,910","11,539","11,598"
2020년07월_남_연령구간인구수,"283,343","20,478","11,175","10,503","15,263","25,814","9,111","10,650","10,460","17,097","12,339","12,294","15,716","7,014","7,434","18,055","21,108","13,785","21,910","11,539","11,598"
