카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년07월_계_총인구수,"394,905","32,347","12,645","45,626","28,397","25,377","29,220","32,676","23,212","27,578","25,265","14,597","14,685","39,188","23,789","20,303"
2020년07월_계_연령구간인구수,"394,905","32,347","12,645","45,626","28,397","25,377","29,220","32,676","23,212","27,578","25,265","14,597","14,685","39,188","23,789","20,303"
2020년07월_계_0~9세,"25,623","2,027",372,"3,068","2,362","1,337","1,809","2,413",855,"1,832","2,191",785,"1,105","2,371","1,594","1,502"
2020년07월_계_10~19세,"28,646","2,026",604,"3,396","1,981","1,732","1,960","2,225",973,"1,717","1,666",762,"1,002","4,285","2,579","1,738"
2020년07월_계_20~29세,"66,937","5,695","2,198","9,890","4,416","4,231","4,614","5,189","5,249","3,764","3,413","2,550","2,246","6,547","3,392","3,543"
2020년07월_계_30~39세,"63,195","5,502","1,869","6,423","4,838","4,308","4,935","4,733","4,665","4,547","4,179","2,589","2,608","5,550","3,072","3,377"
2020년07월_계_40~49세,"59,880","4,389","1,586","6,645","4,437","3,799","4,460","4,967","2,986","4,128","3,913","2,104","2,308","6,730","4,161","3,267"
2020년07월_계_50~59세,"58,825","4,738","2,231","6,391","4,168","3,887","4,480","5,239","3,129","4,266","3,694","2,140","2,203","5,877","3,702","2,680"
2020년07월_계_60~69세,"48,528","4,161","1,975","5,168","3,259","3,134","3,668","3,990","3,031","3,864","3,415","1,965","1,765","4,095","2,910","2,128"
2020년07월_계_70~79세,"29,610","2,491","1,219","3,106","1,942","2,072","2,253","2,523","1,754","2,427","2,031","1,216",997,"2,510","1,620","1,449"
2020년07월_계_80~89세,"11,591","1,120",503,"1,287",841,756,915,"1,148",497,871,646,411,371,"1,043",651,531
2020년07월_계_90~99세,"1,764",169,76,216,127,107,115,194,66,128,96,69,67,156,102,76
2020년07월_계_100세 이상,306,29,12,36,26,14,11,55,7,34,21,6,13,24,6,12
2020년07월_남_총인구수,"191,063","16,089","6,509","22,107","13,664","12,156","14,186","15,916","11,026","13,270","12,246","6,984","7,119","18,615","11,488","9,688"
2020년07월_남_연령구간인구수,"191,063","16,089","6,509","22,107","13,664","12,156","14,186","15,916","11,026","13,270","12,246","6,984","7,119","18,615","11,488","9,688"
2020년07월_남_0~9세,"13,068","1,022",194,"1,538","1,220",697,922,"1,233",432,948,"1,110",413,565,"1,205",813,756
2020년07월_남_10~19세,"14,693","1,047",314,"1,748","1,017",874,"1,058","1,142",512,947,893,387,516,"2,085","1,274",879
2020년07월_남_20~29세,"32,353","2,957","1,181","4,995","2,100","1,942","2,221","2,726","2,275","1,795","1,598","1,192","1,103","3,067","1,633","1,568"
2020년07월_남_30~39세,"31,994","2,975","1,098","3,186","2,347","2,267","2,556","2,350","2,414","2,250","2,007","1,310","1,324","2,723","1,522","1,665"
2020년07월_남_40~49세,"29,978","2,283",881,"3,321","2,230","1,870","2,243","2,539","1,529","2,030","2,006","1,080","1,149","3,228","1,987","1,602"
2020년07월_남_50~59세,"28,247","2,295","1,122","2,972","1,995","1,856","2,142","2,510","1,418","2,024","1,757","1,001","1,038","2,955","1,858","1,304"
2020년07월_남_60~69세,"22,320","1,931",927,"2,416","1,512","1,383","1,686","1,849","1,366","1,754","1,604",862,816,"1,849","1,377",988
2020년07월_남_70~79세,"13,288","1,106",556,"1,383",871,944,994,"1,071",831,"1,114",952,565,448,"1,060",741,652
2020년07월_남_80~89세,"4,568",420,213,477,326,293,324,431,236,362,292,159,146,391,253,245
2020년07월_남_90~99세,464,43,18,62,39,25,36,48,12,32,21,15,13,46,29,25
2020년07월_남_100세 이상,90,10,5,9,7,5,4,17,1,14,6,0,1,6,1,4
