,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2021년02월_계_총인구수,"61,286","16,936","12,181","2,067","1,598","3,929","2,580","1,775","2,580","2,377","5,537","1,868","2,753","1,540","3,565"
2021년02월_계_연령구간인구수,"61,286","16,936","12,181","2,067","1,598","3,929","2,580","1,775","2,580","2,377","5,537","1,868","2,753","1,540","3,565"
2021년02월_계_0~9세,"3,178","1,308",929,61,41,98,71,37,137,61,199,40,84,32,80
2021년02월_계_10~19세,"4,232","1,562",959,152,32,206,286,51,172,77,357,66,141,48,123
2021년02월_계_20~29세,"4,832","1,711",912,111,97,261,132,84,212,175,483,88,223,94,249
2021년02월_계_30~39세,"5,086","1,841","1,169",103,107,262,149,108,185,132,419,110,194,74,233
2021년02월_계_40~49세,"7,055","2,341","1,747",131,115,392,182,136,286,217,647,156,270,128,307
2021년02월_계_50~59세,"10,855","2,846","2,127",328,295,719,416,281,445,482,"1,087",324,509,297,699
2021년02월_계_60~69세,"12,263","2,716","2,194",431,406,830,571,431,502,533,"1,187",427,650,426,959
2021년02월_계_70~79세,"8,038","1,578","1,320",399,270,667,403,384,369,382,714,368,383,254,547
2021년02월_계_80~89세,"5,055",904,721,298,210,442,335,231,236,280,397,260,253,161,327
2021년02월_계_90~99세,663,124,96,52,25,51,30,32,32,36,47,29,43,26,40
2021년02월_계_100세 이상,29,5,7,1,0,1,5,0,4,2,0,0,3,0,1
2021년02월_남_총인구수,"30,473","8,368","6,124","1,039",749,"2,030","1,198",869,"1,349","1,186","2,794",917,"1,354",769,"1,727"
2021년02월_남_연령구간인구수,"30,473","8,368","6,124","1,039",749,"2,030","1,198",869,"1,349","1,186","2,794",917,"1,354",769,"1,727"
2021년02월_남_0~9세,"1,649",674,478,28,19,50,37,25,77,36,98,22,44,19,42
2021년02월_남_10~19세,"2,301",816,525,103,23,142,106,21,112,41,202,43,70,27,70
2021년02월_남_20~29세,"2,774",940,519,67,54,169,80,54,128,104,286,60,112,63,138
2021년02월_남_30~39세,"2,799",963,619,59,58,148,89,71,103,81,249,62,125,45,127
2021년02월_남_40~49세,"3,919","1,231",963,80,73,231,111,79,174,122,363,100,141,80,171
2021년02월_남_50~59세,"5,796","1,457","1,146",175,145,441,212,169,265,276,564,174,278,135,359
2021년02월_남_60~69세,"6,110","1,289","1,069",242,202,426,283,215,254,279,604,215,328,228,476
2021년02월_남_70~79세,"3,509",704,568,173,120,282,177,160,153,155,313,161,173,129,241
2021년02월_남_80~89세,"1,508",271,220,101,49,135,94,70,79,91,109,72,77,41,99
2021년02월_남_90~99세,106,23,16,11,6,6,8,5,4,1,6,8,6,2,4
2021년02월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2021년02월_여_총인구수,"30,813","8,568","6,057","1,028",849,"1,899","1,382",906,"1,231","1,191","2,743",951,"1,399",771,"1,838"
2021년02월_여_연령구간인구수,"30,813","8,568","6,057","1,028",849,"1,899","1,382",906,"1,231","1,191","2,743",951,"1,399",771,"1,838"
2021년02월_여_0~9세,"1,529",634,451,33,22,48,34,12,60,25,101,18,40,13,38
2021년02월_여_10~19세,"1,931",746,434,49,9,64,180,30,60,36,155,23,71,21,53
2021년02월_여_20~29세,"2,058",771,393,44,43,92,52,30,84,71,197,28,111,31,111
2021년02월_여_30~39세,"2,287",878,550,44,49,114,60,37,82,51,170,48,69,29,106
2021년02월_여_40~49세,"3,136","1,110",784,51,42,161,71,57,112,95,284,56,129,48,136
2021년02월_여_50~59세,"5,059","1,389",981,153,150,278,204,112,180,206,523,150,231,162,340
2021년02월_여_60~69세,"6,153","1,427","1,125",189,204,404,288,216,248,254,583,212,322,198,483
2021년02월_여_70~79세,"4,529",874,752,226,150,385,226,224,216,227,401,207,210,125,306
2021년02월_여_80~89세,"3,547",633,501,197,161,307,241,161,157,189,288,188,176,120,228
2021년02월_여_90~99세,557,101,80,41,19,45,22,27,28,35,41,21,37,24,36
2021년02월_여_100세 이상,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
