,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년10월_계_총인구수,"28,026","12,765","2,812","2,290","2,590","2,990","4,579"
2021년10월_계_연령구간인구수,"28,026","12,765","2,812","2,290","2,590","2,990","4,579"
2021년10월_계_0~9세,"1,288",831,55,60,70,90,182
2021년10월_계_10~19세,"1,790","1,117",152,91,92,114,224
2021년10월_계_20~29세,"2,356","1,236",212,187,159,148,414
2021년10월_계_30~39세,"2,261","1,257",153,148,188,205,310
2021년10월_계_40~49세,"3,457","1,931",283,218,240,312,473
2021년10월_계_50~59세,"4,970","2,189",521,427,449,491,893
2021년10월_계_60~69세,"5,934","2,199",672,521,685,747,"1,110"
2021년10월_계_70~79세,"3,635","1,238",473,367,428,505,624
2021년10월_계_80~89세,"1,991",648,253,237,240,318,295
2021년10월_계_90~99세,331,114,38,32,37,57,53
2021년10월_계_100세 이상,13,5,0,2,2,3,1
2021년10월_남_총인구수,"14,309","6,499","1,459","1,147","1,335","1,540","2,329"
2021년10월_남_연령구간인구수,"14,309","6,499","1,459","1,147","1,335","1,540","2,329"
2021년10월_남_0~9세,657,422,31,28,35,43,98
2021년10월_남_10~19세,945,597,88,36,52,58,114
2021년10월_남_20~29세,"1,407",754,128,102,100,90,233
2021년10월_남_30~39세,"1,245",654,92,82,115,116,186
2021년10월_남_40~49세,"1,884",978,160,133,143,202,268
2021년10월_남_50~59세,"2,672","1,156",302,238,221,280,475
2021년10월_남_60~69세,"2,989","1,085",332,266,362,391,553
2021년10월_남_70~79세,"1,698",588,210,162,202,246,290
2021년10월_남_80~89세,741,238,110,92,96,109,96
2021년10월_남_90~99세,69,25,6,8,9,5,16
2021년10월_남_100세 이상,2,2,0,0,0,0,0
2021년10월_여_총인구수,"13,717","6,266","1,353","1,143","1,255","1,450","2,250"
2021년10월_여_연령구간인구수,"13,717","6,266","1,353","1,143","1,255","1,450","2,250"
2021년10월_여_0~9세,631,409,24,32,35,47,84
2021년10월_여_10~19세,845,520,64,55,40,56,110
2021년10월_여_20~29세,949,482,84,85,59,58,181
2021년10월_여_30~39세,"1,016",603,61,66,73,89,124
2021년10월_여_40~49세,"1,573",953,123,85,97,110,205
2021년10월_여_50~59세,"2,298","1,033",219,189,228,211,418
2021년10월_여_60~69세,"2,945","1,114",340,255,323,356,557
2021년10월_여_70~79세,"1,937",650,263,205,226,259,334
2021년10월_여_80~89세,"1,250",410,143,145,144,209,199
2021년10월_여_90~99세,262,89,32,24,28,52,37
2021년10월_여_100세 이상,11,3,0,2,2,3,1
