,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년06월_계_총인구수,"41,109","8,465","1,643",875,"1,670","5,199","5,741","3,056","8,581","5,879"
2021년06월_계_연령구간인구수,"41,109","8,465","1,643",875,"1,670","5,199","5,741","3,056","8,581","5,879"
2021년06월_계_0~9세,"1,799",400,33,17,51,206,287,106,410,289
2021년06월_계_10~19세,"2,800",703,72,44,71,307,426,195,625,357
2021년06월_계_20~29세,"3,290",751,105,51,88,390,397,218,717,573
2021년06월_계_30~39세,"2,936",646,61,40,90,306,442,149,588,614
2021년06월_계_40~49세,"5,175","1,060",170,75,149,609,778,362,"1,087",885
2021년06월_계_50~59세,"7,830","1,566",350,170,340,965,"1,132",661,"1,586","1,060"
2021년06월_계_60~69세,"9,186","1,757",443,248,498,"1,249","1,303",730,"1,847","1,111"
2021년06월_계_70~79세,"4,900",922,249,137,239,673,610,353,"1,080",637
2021년06월_계_80~89세,"2,806",567,133,83,119,435,336,257,556,320
2021년06월_계_90~99세,369,88,26,9,25,57,27,25,81,31
2021년06월_계_100세 이상,18,5,1,1,0,2,3,0,4,2
2021년06월_남_총인구수,"21,111","4,301",863,453,876,"2,660","3,013","1,542","4,326","3,077"
2021년06월_남_연령구간인구수,"21,111","4,301",863,453,876,"2,660","3,013","1,542","4,326","3,077"
2021년06월_남_0~9세,896,202,15,13,24,92,134,50,218,148
2021년06월_남_10~19세,"1,466",349,40,23,36,159,235,101,315,208
2021년06월_남_20~29세,"1,950",448,61,33,46,228,240,128,420,346
2021년06월_남_30~39세,"1,587",344,39,21,50,170,242,70,300,351
2021년06월_남_40~49세,"2,825",552,102,41,84,344,419,202,579,502
2021년06월_남_50~59세,"4,210",836,198,83,181,519,614,360,846,573
2021년06월_남_60~69세,"4,803",912,248,141,282,668,687,373,941,551
2021년06월_남_70~79세,"2,288",444,118,59,126,301,308,161,503,268
2021년06월_남_80~89세,"1,011",199,40,38,44,166,128,88,188,120
2021년06월_남_90~99세,71,14,2,0,3,13,6,9,14,10
2021년06월_남_100세 이상,4,1,0,1,0,0,0,0,2,0
2021년06월_여_총인구수,"19,998","4,164",780,422,794,"2,539","2,728","1,514","4,255","2,802"
2021년06월_여_연령구간인구수,"19,998","4,164",780,422,794,"2,539","2,728","1,514","4,255","2,802"
2021년06월_여_0~9세,903,198,18,4,27,114,153,56,192,141
2021년06월_여_10~19세,"1,334",354,32,21,35,148,191,94,310,149
2021년06월_여_20~29세,"1,340",303,44,18,42,162,157,90,297,227
2021년06월_여_30~39세,"1,349",302,22,19,40,136,200,79,288,263
2021년06월_여_40~49세,"2,350",508,68,34,65,265,359,160,508,383
2021년06월_여_50~59세,"3,620",730,152,87,159,446,518,301,740,487
2021년06월_여_60~69세,"4,383",845,195,107,216,581,616,357,906,560
2021년06월_여_70~79세,"2,612",478,131,78,113,372,302,192,577,369
2021년06월_여_80~89세,"1,795",368,93,45,75,269,208,169,368,200
2021년06월_여_90~99세,298,74,24,9,22,44,21,16,67,21
2021년06월_여_100세 이상,14,4,1,0,0,2,3,0,2,2
