카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년06월_계_총인구수,"98,201","6,660","1,433","3,872","3,098",997,"2,716","4,024","1,692","1,993","2,605","1,747",757,"2,037","2,808","1,256",338,"2,810","1,165",383,"2,171","2,092",844,"12,494","9,299","7,866","8,152","3,731","9,161"
2020년06월_계_연령구간인구수,"98,201","6,660","1,433","3,872","3,098",997,"2,716","4,024","1,692","1,993","2,605","1,747",757,"2,037","2,808","1,256",338,"2,810","1,165",383,"2,171","2,092",844,"12,494","9,299","7,866","8,152","3,731","9,161"
2020년06월_계_0~9세,"5,357",302,40,107,109,29,91,85,59,62,99,58,23,68,130,35,8,102,21,7,33,55,31,970,764,562,526,204,777
2020년06월_계_10~19세,"7,769",490,65,171,149,41,120,228,74,76,158,77,40,109,151,66,11,160,47,18,98,107,40,"1,360",879,814,805,360,"1,055"
2020년06월_계_20~29세,"8,374",440,75,201,172,53,158,214,89,114,174,98,39,122,185,81,12,121,46,14,114,100,49,"1,357","1,020",765,847,324,"1,390"
2020년06월_계_30~39세,"7,672",473,78,217,140,35,160,207,84,114,119,81,43,112,180,72,12,159,36,10,107,70,36,"1,324","1,130",743,738,300,892
2020년06월_계_40~49세,"11,775",767,104,335,276,72,222,316,125,146,259,171,62,180,275,117,29,315,93,28,176,191,70,"1,838","1,393","1,156","1,165",519,"1,375"
2020년06월_계_50~59세,"17,111","1,132",242,668,541,208,432,657,315,416,522,339,161,384,537,271,68,507,178,70,323,327,163,"2,114","1,580","1,380","1,519",625,"1,432"
2020년06월_계_60~69세,"17,858","1,295",312,844,639,215,620,980,365,469,627,421,180,446,581,274,96,584,287,70,498,426,187,"1,827","1,388","1,170","1,241",635,"1,181"
2020년06월_계_70~79세,"12,752",989,311,704,565,161,486,767,310,329,382,275,113,353,421,190,61,469,271,79,446,437,140,"1,114",709,751,816,469,634
2020년06월_계_80~89세,"8,245",669,179,543,426,165,363,494,230,235,232,204,85,217,307,127,36,337,161,77,321,316,103,504,384,463,440,257,370
2020년06월_계_90~99세,"1,229",95,26,79,75,16,61,74,41,32,30,22,11,46,40,21,5,52,23,10,54,62,24,80,52,60,50,35,53
2020년06월_계_100세 이상,59,8,1,3,6,2,3,2,0,0,3,1,0,0,1,2,0,4,2,0,1,1,1,6,0,2,5,3,2
2020년06월_남_총인구수,"48,175","3,236",694,"1,882","1,498",487,"1,329","1,993",844,"1,024","1,304",882,359,"1,016","1,357",636,175,"1,321",542,199,"1,022",995,409,"6,110","4,661","3,726","3,994","1,853","4,627"
2020년06월_남_연령구간인구수,"48,175","3,236",694,"1,882","1,498",487,"1,329","1,993",844,"1,024","1,304",882,359,"1,016","1,357",636,175,"1,321",542,199,"1,022",995,409,"6,110","4,661","3,726","3,994","1,853","4,627"
2020년06월_남_0~9세,"2,777",165,26,50,61,14,54,39,28,28,46,29,12,35,69,18,4,45,8,2,14,35,15,501,391,293,278,114,403
2020년06월_남_10~19세,"4,110",236,30,103,72,22,78,153,46,47,82,41,19,54,72,38,5,80,28,13,48,46,20,750,468,386,421,200,552
2020년06월_남_20~29세,"4,851",248,49,137,103,33,100,128,50,72,108,62,21,70,103,39,9,74,26,10,75,59,19,762,571,426,461,196,840
2020년06월_남_30~39세,"4,164",262,45,124,85,19,92,123,44,69,64,49,19,67,99,50,6,88,20,6,67,43,16,711,594,395,391,156,460
2020년06월_남_40~49세,"6,260",426,69,221,158,44,140,202,89,85,149,104,43,109,145,61,18,172,58,16,114,111,48,878,708,571,555,292,674
2020년06월_남_50~59세,"8,972",604,146,372,304,123,223,351,185,232,279,188,73,220,272,150,41,270,94,44,165,181,92,"1,034",809,681,823,323,693
2020년06월_남_60~69세,"8,717",648,141,434,327,105,315,474,185,254,317,221,103,220,297,141,52,282,143,38,244,218,99,829,682,529,562,271,586
2020년06월_남_70~79세,"5,464",414,130,283,248,67,197,342,136,151,171,112,46,159,175,85,28,198,108,35,193,188,65,473,304,304,349,213,290
2020년06월_남_80~89세,"2,610",214,53,150,125,56,119,164,71,80,79,67,23,72,111,50,12,99,55,32,94,99,30,159,127,130,142,82,115
2020년06월_남_90~99세,240,17,5,8,13,4,11,16,10,6,8,8,0,10,14,4,0,12,2,3,8,15,5,13,7,11,11,6,13
2020년06월_남_100세 이상,10,2,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020년06월_여_총인구수,"50,026","3,424",739,"1,990","1,600",510,"1,387","2,031",848,969,"1,301",865,398,"1,021","1,451",620,163,"1,489",623,184,"1,149","1,097",435,"6,384","4,638","4,140","4,158","1,878","4,534"
2020년06월_여_연령구간인구수,"50,026","3,424",739,"1,990","1,600",510,"1,387","2,031",848,969,"1,301",865,398,"1,021","1,451",620,163,"1,489",623,184,"1,149","1,097",435,"6,384","4,638","4,140","4,158","1,878","4,534"
2020년06월_여_0~9세,"2,580",137,14,57,48,15,37,46,31,34,53,29,11,33,61,17,4,57,13,5,19,20,16,469,373,269,248,90,374
2020년06월_여_10~19세,"3,659",254,35,68,77,19,42,75,28,29,76,36,21,55,79,28,6,80,19,5,50,61,20,610,411,428,384,160,503
2020년06월_여_20~29세,"3,523",192,26,64,69,20,58,86,39,42,66,36,18,52,82,42,3,47,20,4,39,41,30,595,449,339,386,128,550
2020년06월_여_30~39세,"3,508",211,33,93,55,16,68,84,40,45,55,32,24,45,81,22,6,71,16,4,40,27,20,613,536,348,347,144,432
2020년06월_여_40~49세,"5,515",341,35,114,118,28,82,114,36,61,110,67,19,71,130,56,11,143,35,12,62,80,22,960,685,585,610,227,701
2020년06월_여_50~59세,"8,139",528,96,296,237,85,209,306,130,184,243,151,88,164,265,121,27,237,84,26,158,146,71,"1,080",771,699,696,302,739
2020년06월_여_60~69세,"9,141",647,171,410,312,110,305,506,180,215,310,200,77,226,284,133,44,302,144,32,254,208,88,998,706,641,679,364,595
2020년06월_여_70~79세,"7,288",575,181,421,317,94,289,425,174,178,211,163,67,194,246,105,33,271,163,44,253,249,75,641,405,447,467,256,344
2020년06월_여_80~89세,"5,635",455,126,393,301,109,244,330,159,155,153,137,62,145,196,77,24,238,106,45,227,217,73,345,257,333,298,175,255
2020년06월_여_90~99세,989,78,21,71,62,12,50,58,31,26,22,14,11,36,26,17,5,40,21,7,46,47,19,67,45,49,39,29,40
2020년06월_여_100세 이상,49,6,1,3,4,2,3,1,0,0,2,0,0,0,1,2,0,3,2,0,1,1,1,6,0,2,4,3,1
