,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년08월_계_총인구수,"69,640","10,980","15,606","10,964","15,174","9,313","7,603"
2021년08월_계_연령구간인구수,"69,640","10,980","15,606","10,964","15,174","9,313","7,603"
2021년08월_계_0~9세,"6,050",822,"1,810",748,"1,526",614,530
2021년08월_계_10~19세,"6,761",977,"1,859","1,121","1,396",582,826
2021년08월_계_20~29세,"9,330","1,562","1,796","1,661","2,025","1,260","1,026"
2021년08월_계_30~39세,"9,821","1,410","2,097","1,347","2,452","1,580",935
2021년08월_계_40~49세,"10,421","1,441","2,797","1,441","2,194","1,352","1,196"
2021년08월_계_50~59세,"12,133","2,060","2,522","2,105","2,608","1,520","1,318"
2021년08월_계_60~69세,"8,722","1,601","1,611","1,424","1,745","1,424",917
2021년08월_계_70~79세,"3,953",650,710,617,743,663,570
2021년08월_계_80~89세,"2,054",376,350,415,399,275,239
2021년08월_계_90~99세,384,77,54,82,84,43,44
2021년08월_계_100세 이상,11,4,0,3,2,0,2
2021년08월_남_총인구수,"34,223","5,328","7,573","5,254","7,473","4,878","3,717"
2021년08월_남_연령구간인구수,"34,223","5,328","7,573","5,254","7,473","4,878","3,717"
2021년08월_남_0~9세,"3,155",421,948,388,811,308,279
2021년08월_남_10~19세,"3,465",480,910,575,727,322,451
2021년08월_남_20~29세,"4,907",838,912,834,"1,071",711,541
2021년08월_남_30~39세,"4,891",690,942,676,"1,207",890,486
2021년08월_남_40~49세,"5,073",668,"1,366",663,"1,045",751,580
2021년08월_남_50~59세,"5,840",966,"1,251",991,"1,246",740,646
2021년08월_남_60~69세,"4,265",800,791,688,874,704,408
2021년08월_남_70~79세,"1,771",306,298,268,326,332,241
2021년08월_남_80~89세,757,143,136,145,146,108,79
2021년08월_남_90~99세,96,15,19,24,20,12,6
2021년08월_남_100세 이상,3,1,0,2,0,0,0
2021년08월_여_총인구수,"35,417","5,652","8,033","5,710","7,701","4,435","3,886"
2021년08월_여_연령구간인구수,"35,417","5,652","8,033","5,710","7,701","4,435","3,886"
2021년08월_여_0~9세,"2,895",401,862,360,715,306,251
2021년08월_여_10~19세,"3,296",497,949,546,669,260,375
2021년08월_여_20~29세,"4,423",724,884,827,954,549,485
2021년08월_여_30~39세,"4,930",720,"1,155",671,"1,245",690,449
2021년08월_여_40~49세,"5,348",773,"1,431",778,"1,149",601,616
2021년08월_여_50~59세,"6,293","1,094","1,271","1,114","1,362",780,672
2021년08월_여_60~69세,"4,457",801,820,736,871,720,509
2021년08월_여_70~79세,"2,182",344,412,349,417,331,329
2021년08월_여_80~89세,"1,297",233,214,270,253,167,160
2021년08월_여_90~99세,288,62,35,58,64,31,38
2021년08월_여_100세 이상,8,3,0,1,2,0,2
