카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년09월_계_총인구수,"26,839","9,487","1,711","1,175","1,038","1,542","1,586","1,454","1,856",758,"2,871","1,009","1,161","1,191"
2020년09월_계_연령구간인구수,"26,839","9,487","1,711","1,175","1,038","1,542","1,586","1,454","1,856",758,"2,871","1,009","1,161","1,191"
2020년09월_계_0~9세,"1,110",714,36,22,31,29,36,38,40,20,87,24,13,20
2020년09월_계_10~19세,"1,548",896,57,39,26,62,66,44,64,26,170,37,33,28
2020년09월_계_20~29세,"2,039",969,108,73,70,132,92,83,124,32,212,46,40,58
2020년09월_계_30~39세,"1,768",961,91,54,50,68,102,48,91,30,139,50,40,44
2020년09월_계_40~49세,"2,924","1,504",138,86,73,134,138,122,156,51,302,79,60,81
2020년09월_계_50~59세,"4,641","1,579",317,222,176,274,295,272,322,123,517,135,198,211
2020년09월_계_60~69세,"5,320","1,399",407,288,233,339,365,322,446,199,552,234,264,272
2020년09월_계_70~79세,"4,037",877,283,202,198,262,248,280,358,145,524,202,237,221
2020년09월_계_80~89세,"3,007",518,236,163,157,216,212,215,222,116,314,175,243,220
2020년09월_계_90~99세,436,66,37,26,24,26,32,30,32,15,54,27,33,34
2020년09월_계_100세 이상,9,4,1,0,0,0,0,0,1,1,0,0,0,2
2020년09월_남_총인구수,"13,129","4,671",852,579,494,757,772,705,941,357,"1,371",520,545,565
2020년09월_남_연령구간인구수,"13,129","4,671",852,579,494,757,772,705,941,357,"1,371",520,545,565
2020년09월_남_0~9세,569,373,18,12,11,16,16,18,21,13,41,16,7,7
2020년09월_남_10~19세,829,474,33,23,18,31,29,20,32,17,92,25,20,15
2020년09월_남_20~29세,"1,146",517,61,44,43,85,45,42,73,19,130,24,32,31
2020년09월_남_30~39세,931,450,53,35,30,32,64,32,49,17,86,36,17,30
2020년09월_남_40~49세,"1,691",797,88,55,44,78,83,76,100,37,182,60,39,52
2020년09월_남_50~59세,"2,558",851,177,115,100,155,162,159,172,65,279,78,113,132
2020년09월_남_60~69세,"2,791",673,236,153,123,184,211,174,252,102,262,141,143,137
2020년09월_남_70~79세,"1,651",376,114,84,80,102,100,112,164,50,211,79,94,85
2020년09월_남_80~89세,871,143,62,51,40,70,56,62,70,35,83,56,77,66
2020년09월_남_90~99세,90,17,10,7,5,4,6,10,7,2,5,5,3,9
2020년09월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년09월_여_총인구수,"13,710","4,816",859,596,544,785,814,749,915,401,"1,500",489,616,626
2020년09월_여_연령구간인구수,"13,710","4,816",859,596,544,785,814,749,915,401,"1,500",489,616,626
2020년09월_여_0~9세,541,341,18,10,20,13,20,20,19,7,46,8,6,13
2020년09월_여_10~19세,719,422,24,16,8,31,37,24,32,9,78,12,13,13
2020년09월_여_20~29세,893,452,47,29,27,47,47,41,51,13,82,22,8,27
2020년09월_여_30~39세,837,511,38,19,20,36,38,16,42,13,53,14,23,14
2020년09월_여_40~49세,"1,233",707,50,31,29,56,55,46,56,14,120,19,21,29
2020년09월_여_50~59세,"2,083",728,140,107,76,119,133,113,150,58,238,57,85,79
2020년09월_여_60~69세,"2,529",726,171,135,110,155,154,148,194,97,290,93,121,135
2020년09월_여_70~79세,"2,386",501,169,118,118,160,148,168,194,95,313,123,143,136
2020년09월_여_80~89세,"2,136",375,174,112,117,146,156,153,152,81,231,119,166,154
2020년09월_여_90~99세,346,49,27,19,19,22,26,20,25,13,49,22,30,25
2020년09월_여_100세 이상,7,4,1,0,0,0,0,0,0,1,0,0,0,1
