카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년03월_계_총인구수,"26,669","9,538","1,686","1,187","1,034","1,527","1,543","1,451","1,846",751,"2,814",985,"1,142","1,165"
2021년03월_계_연령구간인구수,"26,669","9,538","1,686","1,187","1,034","1,527","1,543","1,451","1,846",751,"2,814",985,"1,142","1,165"
2021년03월_계_0~9세,"1,053",677,31,21,28,27,35,43,38,17,83,24,11,18
2021년03월_계_10~19세,"1,490",908,51,30,24,53,53,41,58,30,153,31,32,26
2021년03월_계_20~29세,"1,992",989,101,78,68,123,89,84,110,28,198,44,37,43
2021년03월_계_30~39세,"1,720",942,83,57,52,61,98,51,79,31,138,50,36,42
2021년03월_계_40~49세,"2,822","1,474",129,83,68,135,127,116,151,52,282,72,54,79
2021년03월_계_50~59세,"4,548","1,611",306,216,175,268,282,255,308,102,515,127,196,187
2021년03월_계_60~69세,"5,543","1,459",424,307,243,358,362,340,481,215,560,233,269,292
2021년03월_계_70~79세,"3,961",882,279,206,189,253,249,266,347,140,504,202,226,218
2021년03월_계_80~89세,"3,079",530,243,158,162,221,212,223,244,120,325,174,245,222
2021년03월_계_90~99세,454,65,37,31,25,28,36,32,30,15,56,28,35,36
2021년03월_계_100세 이상,7,1,2,0,0,0,0,0,0,1,0,0,1,2
2021년03월_남_총인구수,"13,111","4,719",836,586,493,754,760,704,941,355,"1,354",516,536,557
2021년03월_남_연령구간인구수,"13,111","4,719",836,586,493,754,760,704,941,355,"1,354",516,536,557
2021년03월_남_0~9세,536,352,18,13,9,13,16,19,21,11,37,16,4,7
2021년03월_남_10~19세,796,484,27,17,16,27,23,18,30,19,82,20,19,14
2021년03월_남_20~29세,"1,133",525,55,51,44,83,46,44,65,17,122,29,29,23
2021년03월_남_30~39세,908,444,48,37,28,27,61,32,42,21,90,33,15,30
2021년03월_남_40~49세,"1,632",783,84,52,44,83,75,71,93,36,169,59,34,49
2021년03월_남_50~59세,"2,546",879,173,113,106,153,161,153,168,54,283,73,116,114
2021년03월_남_60~69세,"2,916",706,247,160,124,194,204,183,276,107,270,143,145,157
2021년03월_남_70~79세,"1,644",377,113,86,78,93,106,106,160,54,211,80,90,90
2021년03월_남_80~89세,903,152,61,49,40,76,62,67,80,35,85,57,78,61
2021년03월_남_90~99세,96,17,10,8,4,5,6,11,6,1,5,6,6,11
2021년03월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년03월_여_총인구수,"13,558","4,819",850,601,541,773,783,747,905,396,"1,460",469,606,608
2021년03월_여_연령구간인구수,"13,558","4,819",850,601,541,773,783,747,905,396,"1,460",469,606,608
2021년03월_여_0~9세,517,325,13,8,19,14,19,24,17,6,46,8,7,11
2021년03월_여_10~19세,694,424,24,13,8,26,30,23,28,11,71,11,13,12
2021년03월_여_20~29세,859,464,46,27,24,40,43,40,45,11,76,15,8,20
2021년03월_여_30~39세,812,498,35,20,24,34,37,19,37,10,48,17,21,12
2021년03월_여_40~49세,"1,190",691,45,31,24,52,52,45,58,16,113,13,20,30
2021년03월_여_50~59세,"2,002",732,133,103,69,115,121,102,140,48,232,54,80,73
2021년03월_여_60~69세,"2,627",753,177,147,119,164,158,157,205,108,290,90,124,135
2021년03월_여_70~79세,"2,317",505,166,120,111,160,143,160,187,86,293,122,136,128
2021년03월_여_80~89세,"2,176",378,182,109,122,145,150,156,164,85,240,117,167,161
2021년03월_여_90~99세,358,48,27,23,21,23,30,21,24,14,51,22,29,25
2021년03월_여_100세 이상,6,1,2,0,0,0,0,0,0,1,0,0,1,1
