카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년06월_계_총인구수,"50,282","29,051","3,214","1,402","1,910","2,358","2,989","4,148","2,226","2,984"
2021년06월_계_연령구간인구수,"50,282","29,051","3,214","1,402","1,910","2,358","2,989","4,148","2,226","2,984"
2021년06월_계_0~9세,"2,521","2,067",88,38,37,32,47,99,51,62
2021년06월_계_10~19세,"3,797","2,984",125,63,64,59,141,175,78,108
2021년06월_계_20~29세,"4,254","3,109",206,55,88,82,132,257,141,184
2021년06월_계_30~39세,"3,785","2,742",171,64,78,80,114,245,121,170
2021년06월_계_40~49세,"6,114","4,466",277,97,143,125,202,362,163,279
2021년06월_계_50~59세,"8,757","4,921",603,262,318,436,489,735,397,596
2021년06월_계_60~69세,"10,314","4,565",871,368,537,688,836,"1,047",586,816
2021년06월_계_70~79세,"6,305","2,689",478,243,339,415,590,715,387,449
2021년06월_계_80~89세,"3,810","1,306",335,176,260,379,385,440,259,270
2021년06월_계_90~99세,611,199,59,36,42,59,52,73,43,48
2021년06월_계_100세 이상,14,3,1,0,4,3,1,0,0,2
2021년06월_남_총인구수,"25,348","14,528","1,656",702,984,"1,183","1,452","2,129","1,159","1,555"
2021년06월_남_연령구간인구수,"25,348","14,528","1,656",702,984,"1,183","1,452","2,129","1,159","1,555"
2021년06월_남_0~9세,"1,292","1,059",46,20,21,16,18,47,31,34
2021년06월_남_10~19세,"2,017","1,588",63,34,34,33,78,94,36,57
2021년06월_남_20~29세,"2,436","1,728",138,36,55,56,75,156,83,109
2021년06월_남_30~39세,"1,952","1,373",92,39,48,40,60,139,64,97
2021년06월_남_40~49세,"3,287","2,273",155,63,93,81,122,238,107,155
2021년06월_남_50~59세,"4,713","2,558",337,137,186,247,283,409,222,334
2021년06월_남_60~69세,"5,282","2,226",472,195,286,378,422,546,319,438
2021년06월_남_70~79세,"2,918","1,193",226,117,163,195,267,350,196,211
2021년06월_남_80~89세,"1,293",488,109,52,83,118,112,132,93,106
2021년06월_남_90~99세,156,42,18,9,13,19,15,18,8,14
2021년06월_남_100세 이상,2,0,0,0,2,0,0,0,0,0
2021년06월_여_총인구수,"24,934","14,523","1,558",700,926,"1,175","1,537","2,019","1,067","1,429"
2021년06월_여_연령구간인구수,"24,934","14,523","1,558",700,926,"1,175","1,537","2,019","1,067","1,429"
2021년06월_여_0~9세,"1,229","1,008",42,18,16,16,29,52,20,28
2021년06월_여_10~19세,"1,780","1,396",62,29,30,26,63,81,42,51
2021년06월_여_20~29세,"1,818","1,381",68,19,33,26,57,101,58,75
2021년06월_여_30~39세,"1,833","1,369",79,25,30,40,54,106,57,73
2021년06월_여_40~49세,"2,827","2,193",122,34,50,44,80,124,56,124
2021년06월_여_50~59세,"4,044","2,363",266,125,132,189,206,326,175,262
2021년06월_여_60~69세,"5,032","2,339",399,173,251,310,414,501,267,378
2021년06월_여_70~79세,"3,387","1,496",252,126,176,220,323,365,191,238
2021년06월_여_80~89세,"2,517",818,226,124,177,261,273,308,166,164
2021년06월_여_90~99세,455,157,41,27,29,40,37,55,35,34
2021년06월_여_100세 이상,12,3,1,0,2,3,1,0,0,2
