,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2020년05월_계_총인구수,"216,758","7,489","7,158","9,315","14,611","29,515","5,528","7,825","9,062","6,708","12,757","6,258","19,862","8,525","46,807","19,650","5,688"
2020년05월_계_연령구간인구수,"216,758","7,489","7,158","9,315","14,611","29,515","5,528","7,825","9,062","6,708","12,757","6,258","19,862","8,525","46,807","19,650","5,688"
2020년05월_계_0~9세,"17,912",548,562,531,969,"2,979",315,409,392,269,"1,110",428,"1,462",538,"4,113","2,983",304
2020년05월_계_10~19세,"23,190",758,688,797,"1,431","4,996",297,448,653,384,"1,162",427,"2,094",646,"6,072","1,991",346
2020년05월_계_20~29세,"28,398",874,895,"1,270","2,066","3,470",660,933,"1,253",970,"1,555",942,"2,866","1,152","6,674","2,307",511
2020년05월_계_30~39세,"26,511",728,915,970,"1,694","3,040",693,863,"1,097",777,"1,646",874,"2,339",965,"5,656","3,828",426
2020년05월_계_40~49세,"34,343","1,122","1,150","1,291","2,285","5,617",756,"1,040","1,248",853,"1,941",870,"3,120","1,170","7,871","3,294",715
2020년05월_계_50~59세,"33,650","1,168","1,034","1,543","2,366","4,398",929,"1,311","1,610","1,283","1,940",910,"3,362","1,493","6,886","2,488",929
2020년05월_계_60~69세,"27,315","1,019",930,"1,387","1,909","2,820",851,"1,245","1,496","1,165","1,780",883,"2,571","1,374","5,146","1,674","1,065"
2020년05월_계_70~79세,"17,160",858,698,"1,026","1,186","1,406",719,"1,081",926,714,"1,097",639,"1,461",852,"2,985",707,805
2020년05월_계_80~89세,"7,094",351,248,424,604,662,264,423,341,252,452,247,507,290,"1,218",304,507
2020년05월_계_90~99세,"1,088",54,31,67,98,123,30,66,45,36,71,29,75,39,178,71,75
2020년05월_계_100세 이상,97,9,7,9,3,4,14,6,1,5,3,9,5,6,8,3,5
2020년05월_남_총인구수,"104,351","3,449","3,418","4,426","6,887","13,839","2,824","3,988","4,634","3,356","6,037","3,073","9,669","4,254","22,132","9,565","2,800"
2020년05월_남_연령구간인구수,"104,351","3,449","3,418","4,426","6,887","13,839","2,824","3,988","4,634","3,356","6,037","3,073","9,669","4,254","22,132","9,565","2,800"
2020년05월_남_0~9세,"9,146",287,300,276,512,"1,450",151,201,210,133,570,223,763,269,"2,086","1,558",157
2020년05월_남_10~19세,"11,704",369,336,412,731,"2,566",166,237,348,201,561,209,"1,084",340,"2,964","1,012",168
2020년05월_남_20~29세,"14,572",443,461,661,"1,058","1,773",343,522,673,521,797,431,"1,474",622,"3,312","1,178",303
2020년05월_남_30~39세,"13,154",349,444,498,839,"1,352",377,472,624,442,810,451,"1,187",529,"2,678","1,873",229
2020년05월_남_40~49세,"16,848",550,575,648,"1,089","2,508",442,612,705,470,941,497,"1,503",588,"3,702","1,612",406
2020년05월_남_50~59세,"15,895",526,488,712,"1,075","2,027",497,706,798,611,894,453,"1,589",704,"3,165","1,159",491
2020년05월_남_60~69세,"12,535",415,410,600,861,"1,293",402,581,708,558,791,395,"1,211",662,"2,352",753,543
2020년05월_남_70~79세,"7,698",355,299,452,495,609,331,494,440,332,476,303,657,410,"1,380",323,342
2020년05월_남_80~89세,"2,543",132,95,154,207,232,105,149,116,81,175,98,190,119,450,88,152
2020년05월_남_90~99세,243,21,8,13,19,28,7,14,12,6,22,11,11,11,43,9,8
2020년05월_남_100세 이상,13,2,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1
2020년05월_여_총인구수,"112,407","4,040","3,740","4,889","7,724","15,676","2,704","3,837","4,428","3,352","6,720","3,185","10,193","4,271","24,675","10,085","2,888"
2020년05월_여_연령구간인구수,"112,407","4,040","3,740","4,889","7,724","15,676","2,704","3,837","4,428","3,352","6,720","3,185","10,193","4,271","24,675","10,085","2,888"
2020년05월_여_0~9세,"8,766",261,262,255,457,"1,529",164,208,182,136,540,205,699,269,"2,027","1,425",147
2020년05월_여_10~19세,"11,486",389,352,385,700,"2,430",131,211,305,183,601,218,"1,010",306,"3,108",979,178
2020년05월_여_20~29세,"13,826",431,434,609,"1,008","1,697",317,411,580,449,758,511,"1,392",530,"3,362","1,129",208
2020년05월_여_30~39세,"13,357",379,471,472,855,"1,688",316,391,473,335,836,423,"1,152",436,"2,978","1,955",197
2020년05월_여_40~49세,"17,495",572,575,643,"1,196","3,109",314,428,543,383,"1,000",373,"1,617",582,"4,169","1,682",309
2020년05월_여_50~59세,"17,755",642,546,831,"1,291","2,371",432,605,812,672,"1,046",457,"1,773",789,"3,721","1,329",438
2020년05월_여_60~69세,"14,780",604,520,787,"1,048","1,527",449,664,788,607,989,488,"1,360",712,"2,794",921,522
2020년05월_여_70~79세,"9,462",503,399,574,691,797,388,587,486,382,621,336,804,442,"1,605",384,463
2020년05월_여_80~89세,"4,551",219,153,270,397,430,159,274,225,171,277,149,317,171,768,216,355
2020년05월_여_90~99세,845,33,23,54,79,95,23,52,33,30,49,18,64,28,135,62,67
2020년05월_여_100세 이상,84,7,5,9,2,3,11,6,1,4,3,7,5,6,8,3,4
