카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년09월_계_총인구수,"154,566","40,102","5,780","19,589","11,601","14,826","20,606","8,776","21,186","12,100"
2021년09월_계_연령구간인구수,"154,566","40,102","5,780","19,589","11,601","14,826","20,606","8,776","21,186","12,100"
2021년09월_계_0~9세,"13,994","3,440",232,"2,087",861,"1,285","1,997",610,"2,289","1,193"
2021년09월_계_10~19세,"15,575","4,106",354,"1,919","1,152","1,382","2,332",920,"2,130","1,280"
2021년09월_계_20~29세,"17,012","4,509",704,"1,929","1,463","1,848","2,281",851,"2,341","1,086"
2021년09월_계_30~39세,"21,666","5,704",743,"2,765","1,443","2,062","2,577","1,048","3,615","1,709"
2021년09월_계_40~49세,"26,052","7,295",821,"3,247","1,938","2,318","3,437","1,430","3,486","2,080"
2021년09월_계_50~59세,"24,912","6,591","1,039","3,117","2,225","2,338","3,678","1,367","2,788","1,769"
2021년09월_계_60~69세,"23,696","5,584","1,195","2,910","1,771","2,302","2,995","1,688","3,280","1,971"
2021년09월_계_70~79세,"8,679","2,105",516,"1,132",549,"1,001",974,656,"1,012",734
2021년09월_계_80~89세,"2,608",665,158,429,177,256,285,186,213,239
2021년09월_계_90~99세,363,102,18,52,20,33,48,19,32,39
2021년09월_계_100세 이상,9,1,0,2,2,1,2,1,0,0
2021년09월_남_총인구수,"80,683","21,556","3,109","10,070","6,073","7,618","10,471","4,489","11,195","6,102"
2021년09월_남_연령구간인구수,"80,683","21,556","3,109","10,070","6,073","7,618","10,471","4,489","11,195","6,102"
2021년09월_남_0~9세,"7,136","1,747",118,"1,052",445,660,986,314,"1,198",616
2021년09월_남_10~19세,"8,269","2,220",188,"1,017",625,767,"1,176",462,"1,151",663
2021년09월_남_20~29세,"9,529","2,585",409,"1,063",801,908,"1,271",503,"1,397",592
2021년09월_남_30~39세,"11,899","3,302",465,"1,421",806,"1,125","1,311",578,"1,998",893
2021년09월_남_40~49세,"14,177","4,163",479,"1,780","1,013","1,272","1,757",755,"1,863","1,095"
2021년09월_남_50~59세,"12,522","3,495",541,"1,583","1,133","1,138","1,832",663,"1,306",831
2021년09월_남_60~69세,"11,775","2,781",574,"1,456",906,"1,109","1,520",829,"1,624",976
2021년09월_남_70~79세,"4,429","1,041",272,553,278,537,511,319,561,357
2021년09월_남_80~89세,891,212,59,132,65,94,101,65,91,72
2021년09월_남_90~99세,54,10,4,13,1,7,5,1,6,7
2021년09월_남_100세 이상,2,0,0,0,0,1,1,0,0,0
2021년09월_여_총인구수,"73,883","18,546","2,671","9,519","5,528","7,208","10,135","4,287","9,991","5,998"
2021년09월_여_연령구간인구수,"73,883","18,546","2,671","9,519","5,528","7,208","10,135","4,287","9,991","5,998"
2021년09월_여_0~9세,"6,858","1,693",114,"1,035",416,625,"1,011",296,"1,091",577
2021년09월_여_10~19세,"7,306","1,886",166,902,527,615,"1,156",458,979,617
2021년09월_여_20~29세,"7,483","1,924",295,866,662,940,"1,010",348,944,494
2021년09월_여_30~39세,"9,767","2,402",278,"1,344",637,937,"1,266",470,"1,617",816
2021년09월_여_40~49세,"11,875","3,132",342,"1,467",925,"1,046","1,680",675,"1,623",985
2021년09월_여_50~59세,"12,390","3,096",498,"1,534","1,092","1,200","1,846",704,"1,482",938
2021년09월_여_60~69세,"11,921","2,803",621,"1,454",865,"1,193","1,475",859,"1,656",995
2021년09월_여_70~79세,"4,250","1,064",244,579,271,464,463,337,451,377
2021년09월_여_80~89세,"1,717",453,99,297,112,162,184,121,122,167
2021년09월_여_90~99세,309,92,14,39,19,26,43,18,26,32
2021년09월_여_100세 이상,7,1,0,2,2,0,1,1,0,0
