,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년06월_계_총인구수,"138,783","6,426","5,235","13,462","4,109","3,439","6,024","2,949","4,618","15,531","42,900","29,944","4,146"
2020년06월_계_연령구간인구수,"138,783","6,426","5,235","13,462","4,109","3,439","6,024","2,949","4,618","15,531","42,900","29,944","4,146"
2020년06월_계_0~9세,"12,184",261,240,910,149,123,204,96,216,962,"7,169","1,761",93
2020년06월_계_10~19세,"12,552",376,358,"1,150",307,220,302,159,342,"1,227","4,600","3,384",127
2020년06월_계_20~29세,"19,308",650,557,"1,635",428,378,648,308,532,"2,146","4,038","7,714",274
2020년06월_계_30~39세,"21,320",643,504,"1,688",418,320,691,258,476,"2,250","9,135","4,641",296
2020년06월_계_40~49세,"24,410",881,836,"2,091",595,501,794,406,622,"2,551","9,078","5,538",517
2020년06월_계_50~59세,"20,077","1,354",910,"2,304",740,636,"1,142",543,856,"2,721","4,356","3,570",945
2020년06월_계_60~69세,"15,482","1,264",820,"1,946",723,630,"1,095",556,784,"2,199","2,725","1,700","1,040"
2020년06월_계_70~79세,"9,191",651,632,"1,184",521,430,732,414,539,981,"1,327","1,172",608
2020년06월_계_80~89세,"3,572",284,311,469,190,163,335,171,204,405,416,422,202
2020년06월_계_90~99세,607,58,61,79,35,33,68,29,35,76,54,40,39
2020년06월_계_100세 이상,80,4,6,6,3,5,13,9,12,13,2,2,5
2020년06월_남_총인구수,"71,833","3,480","2,638","6,813","2,087","1,770","3,185","1,527","2,285","8,630","21,520","15,563","2,335"
2020년06월_남_연령구간인구수,"71,833","3,480","2,638","6,813","2,087","1,770","3,185","1,527","2,285","8,630","21,520","15,563","2,335"
2020년06월_남_0~9세,"6,259",140,134,450,63,74,91,63,112,499,"3,686",903,44
2020년06월_남_10~19세,"6,519",180,184,597,174,107,158,78,170,651,"2,338","1,817",65
2020년06월_남_20~29세,"9,756",390,303,865,236,206,363,175,286,"1,233","1,957","3,565",177
2020년06월_남_30~39세,"11,522",380,270,895,234,186,409,153,265,"1,341","4,451","2,752",186
2020년06월_남_40~49세,"13,389",528,458,"1,102",331,272,478,222,346,"1,514","4,830","2,964",344
2020년06월_남_50~59세,"10,991",784,488,"1,220",391,358,662,310,440,"1,545","2,216","2,017",560
2020년06월_남_60~69세,"7,678",648,385,973,341,313,552,273,356,"1,187","1,237",853,560
2020년06월_남_70~79세,"4,259",309,283,521,235,194,341,177,233,496,646,506,318
2020년06월_남_80~89세,"1,286",104,115,172,71,55,110,61,61,144,148,172,73
2020년06월_남_90~99세,147,16,16,15,11,5,17,13,9,15,10,12,8
2020년06월_남_100세 이상,27,1,2,3,0,0,4,2,7,5,1,2,0
2020년06월_여_총인구수,"66,950","2,946","2,597","6,649","2,022","1,669","2,839","1,422","2,333","6,901","21,380","14,381","1,811"
2020년06월_여_연령구간인구수,"66,950","2,946","2,597","6,649","2,022","1,669","2,839","1,422","2,333","6,901","21,380","14,381","1,811"
2020년06월_여_0~9세,"5,925",121,106,460,86,49,113,33,104,463,"3,483",858,49
2020년06월_여_10~19세,"6,033",196,174,553,133,113,144,81,172,576,"2,262","1,567",62
2020년06월_여_20~29세,"9,552",260,254,770,192,172,285,133,246,913,"2,081","4,149",97
2020년06월_여_30~39세,"9,798",263,234,793,184,134,282,105,211,909,"4,684","1,889",110
2020년06월_여_40~49세,"11,021",353,378,989,264,229,316,184,276,"1,037","4,248","2,574",173
2020년06월_여_50~59세,"9,086",570,422,"1,084",349,278,480,233,416,"1,176","2,140","1,553",385
2020년06월_여_60~69세,"7,804",616,435,973,382,317,543,283,428,"1,012","1,488",847,480
2020년06월_여_70~79세,"4,932",342,349,663,286,236,391,237,306,485,681,666,290
2020년06월_여_80~89세,"2,286",180,196,297,119,108,225,110,143,261,268,250,129
2020년06월_여_90~99세,460,42,45,64,24,28,51,16,26,61,44,28,31
2020년06월_여_100세 이상,53,3,4,3,3,5,9,7,5,8,1,0,5
