,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020년11월_계_총인구수,"20,497","1,166",994,"5,250","1,246",239,"1,906","6,348",936,377,"2,035"
2020년11월_계_연령구간인구수,"20,497","1,166",994,"5,250","1,246",239,"1,906","6,348",936,377,"2,035"
2020년11월_계_0~9세,948,35,31,366,57,2,42,293,21,13,88
2020년11월_계_10~19세,"1,116",47,29,301,64,7,89,408,34,14,123
2020년11월_계_20~29세,"2,719",88,57,"1,061",195,46,133,562,80,24,473
2020년11월_계_30~39세,"1,896",75,56,627,122,19,97,612,41,21,226
2020년11월_계_40~49세,"2,436",118,121,670,120,16,174,826,93,35,263
2020년11월_계_50~59세,"3,622",206,204,712,225,29,367,"1,295",191,76,317
2020년11월_계_60~69세,"3,987",330,265,760,225,48,458,"1,287",227,87,300
2020년11월_계_70~79세,"2,386",164,154,431,162,54,338,726,151,64,142
2020년11월_계_80~89세,"1,133",84,56,254,66,14,170,287,84,34,84
2020년11월_계_90~99세,240,17,19,64,10,4,37,48,13,9,19
2020년11월_계_100세 이상,14,2,2,4,0,0,1,4,1,0,0
2020년11월_남_총인구수,"11,667",615,524,"3,110",724,154,"1,026","3,526",504,196,"1,288"
2020년11월_남_연령구간인구수,"11,667",615,524,"3,110",724,154,"1,026","3,526",504,196,"1,288"
2020년11월_남_0~9세,490,17,16,193,30,0,16,159,13,8,38
2020년11월_남_10~19세,604,22,19,138,34,6,47,239,18,6,75
2020년11월_남_20~29세,"1,988",50,30,839,145,40,81,367,45,11,380
2020년11월_남_30~39세,"1,172",43,32,378,77,16,60,373,27,14,152
2020년11월_남_40~49세,"1,533",65,76,441,83,14,105,488,60,20,181
2020년11월_남_50~59세,"2,079",119,118,405,120,20,231,706,118,47,195
2020년11월_남_60~69세,"2,150",178,135,403,133,28,259,695,119,43,157
2020년11월_남_70~79세,"1,183",85,80,209,68,24,156,382,70,38,71
2020년11월_남_80~89세,415,31,17,87,30,6,63,107,32,8,34
2020년11월_남_90~99세,49,4,0,16,4,0,8,9,2,1,5
2020년11월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2020년11월_여_총인구수,"8,830",551,470,"2,140",522,85,880,"2,822",432,181,747
2020년11월_여_연령구간인구수,"8,830",551,470,"2,140",522,85,880,"2,822",432,181,747
2020년11월_여_0~9세,458,18,15,173,27,2,26,134,8,5,50
2020년11월_여_10~19세,512,25,10,163,30,1,42,169,16,8,48
2020년11월_여_20~29세,731,38,27,222,50,6,52,195,35,13,93
2020년11월_여_30~39세,724,32,24,249,45,3,37,239,14,7,74
2020년11월_여_40~49세,903,53,45,229,37,2,69,338,33,15,82
2020년11월_여_50~59세,"1,543",87,86,307,105,9,136,589,73,29,122
2020년11월_여_60~69세,"1,837",152,130,357,92,20,199,592,108,44,143
2020년11월_여_70~79세,"1,203",79,74,222,94,30,182,344,81,26,71
2020년11월_여_80~89세,718,53,39,167,36,8,107,180,52,26,50
2020년11월_여_90~99세,191,13,19,48,6,4,29,39,11,8,14
2020년11월_여_100세 이상,10,1,1,3,0,0,1,3,1,0,0
