카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년07월_계_총인구수,"316,705","20,393","14,561","13,196","11,523","27,805","22,172","25,813","17,933","16,321","11,546","28,236","40,417","28,595","11,774","19,767","6,653"
2020년07월_계_연령구간인구수,"316,705","20,393","14,561","13,196","11,523","27,805","22,172","25,813","17,933","16,321","11,546","28,236","40,417","28,595","11,774","19,767","6,653"
2020년07월_계_0~9세,"21,035","1,170",955,601,565,"1,756","1,301","1,526","1,160","1,186","1,049","2,108","3,310","1,827","1,348","1,020",153
2020년07월_계_10~19세,"26,165","1,611","1,140",784,807,"2,433","1,763","2,173","1,204","1,371",995,"2,506","4,118","2,607",856,"1,509",288
2020년07월_계_20~29세,"40,741","2,389","1,619","1,534","1,460","3,605","3,702","4,996","2,023","2,296","1,110","3,629","4,605","3,478","1,333","2,363",599
2020년07월_계_30~39세,"38,596","2,404","1,612","1,624","1,186","3,243","3,017","3,361","2,310","2,299","1,637","3,864","4,608","2,873","2,121","1,940",497
2020년07월_계_40~49세,"47,027","2,815","2,211","1,692","1,616","4,010","3,079","3,595","2,648","2,456","2,080","4,502","6,756","4,236","1,813","2,701",817
2020년07월_계_50~59세,"55,982","3,524","2,402","2,276","2,013","4,973","3,761","4,265","3,305","2,976","1,837","4,918","7,206","5,569","1,840","3,813","1,304"
2020년07월_계_60~69세,"50,195","3,435","2,540","2,568","2,141","4,595","3,269","3,464","3,024","2,377","1,637","4,210","5,666","4,664","1,543","3,696","1,366"
2020년07월_계_70~79세,"26,034","2,040","1,513","1,473","1,241","2,275","1,610","1,762","1,608",960,892,"1,882","2,853","2,234",665,"1,946","1,080"
2020년07월_계_80~89세,"9,460",847,492,559,432,819,590,599,544,341,282,540,"1,121",943,206,676,469
2020년07월_계_90~99세,"1,305",130,68,71,55,86,70,68,85,57,25,73,163,157,43,89,65
2020년07월_계_100세 이상,165,28,9,14,7,10,10,4,22,2,2,4,11,7,6,14,15
