카테고리,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년04월_계_총인구수,"43,080","7,807","19,195","3,166","3,870","2,623","1,771","1,004","2,715",195,734
2021년04월_계_연령구간인구수,"43,080","7,807","19,195","3,166","3,870","2,623","1,771","1,004","2,715",195,734
2021년04월_계_0~9세,"2,648",670,"1,526",92,119,81,49,23,59,6,23
2021년04월_계_10~19세,"3,119",443,"1,909",171,187,147,68,46,104,9,35
2021년04월_계_20~29세,"5,296","1,241","2,411",320,453,233,138,76,320,46,58
2021년04월_계_30~39세,"4,156",995,"2,160",184,257,176,126,63,142,12,41
2021년04월_계_40~49세,"4,870",803,"2,631",278,397,240,132,76,234,17,62
2021년04월_계_50~59세,"7,004","1,044","3,173",570,679,492,327,151,406,31,131
2021년04월_계_60~69세,"7,707","1,138","2,819",711,866,580,489,240,658,35,171
2021년04월_계_70~79세,"5,002",867,"1,541",496,553,420,256,217,495,26,131
2021년04월_계_80~89세,"2,845",515,863,311,315,235,160,101,263,12,70
2021년04월_계_90~99세,409,86,155,30,41,18,24,10,32,1,12
2021년04월_계_100세 이상,24,5,7,3,3,1,2,1,2,0,0
2021년04월_남_총인구수,"22,552","4,225","9,752","1,687","2,054","1,406",949,538,"1,451",119,371
2021년04월_남_연령구간인구수,"22,552","4,225","9,752","1,687","2,054","1,406",949,538,"1,451",119,371
2021년04월_남_0~9세,"1,348",330,787,47,52,40,27,16,30,4,15
2021년04월_남_10~19세,"1,653",251,976,93,110,86,39,29,47,4,18
2021년04월_남_20~29세,"3,362",858,"1,359",224,321,146,87,46,245,40,36
2021년04월_남_30~39세,"2,357",590,"1,163",109,160,110,71,37,88,7,22
2021년04월_남_40~49세,"2,664",454,"1,340",170,236,134,81,51,147,10,41
2021년04월_남_50~59세,"3,765",585,"1,648",313,376,273,177,84,227,17,65
2021년04월_남_60~69세,"3,991",573,"1,441",388,442,307,278,125,333,19,85
2021년04월_남_70~79세,"2,277",373,708,226,235,204,115,104,236,14,62
2021년04월_남_80~89세,"1,015",183,283,108,111,100,66,44,89,4,27
2021년04월_남_90~99세,112,27,44,8,11,6,7,1,8,0,0
2021년04월_남_100세 이상,8,1,3,1,0,0,1,1,1,0,0
2021년04월_여_총인구수,"20,528","3,582","9,443","1,479","1,816","1,217",822,466,"1,264",76,363
2021년04월_여_연령구간인구수,"20,528","3,582","9,443","1,479","1,816","1,217",822,466,"1,264",76,363
2021년04월_여_0~9세,"1,300",340,739,45,67,41,22,7,29,2,8
2021년04월_여_10~19세,"1,466",192,933,78,77,61,29,17,57,5,17
2021년04월_여_20~29세,"1,934",383,"1,052",96,132,87,51,30,75,6,22
2021년04월_여_30~39세,"1,799",405,997,75,97,66,55,26,54,5,19
2021년04월_여_40~49세,"2,206",349,"1,291",108,161,106,51,25,87,7,21
2021년04월_여_50~59세,"3,239",459,"1,525",257,303,219,150,67,179,14,66
2021년04월_여_60~69세,"3,716",565,"1,378",323,424,273,211,115,325,16,86
2021년04월_여_70~79세,"2,725",494,833,270,318,216,141,113,259,12,69
2021년04월_여_80~89세,"1,830",332,580,203,204,135,94,57,174,8,43
2021년04월_여_90~99세,297,59,111,22,30,12,17,9,24,1,12
2021년04월_여_100세 이상,16,4,4,2,3,1,1,0,1,0,0
