,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년09월_계_총인구수,"503,731","230,967","7,654","30,711","54,723","3,516","9,941","4,101","1,906","24,947","17,394","12,619","4,724","2,842","30,449","25,440","272,764","40,755","2,906","4,849","2,526","4,985","2,131",599,"1,291","15,782","17,243","19,817","22,333","32,158","23,119","72,707","9,563"
2020년09월_계_연령구간인구수,"503,731","230,967","7,654","30,711","54,723","3,516","9,941","4,101","1,906","24,947","17,394","12,619","4,724","2,842","30,449","25,440","272,764","40,755","2,906","4,849","2,526","4,985","2,131",599,"1,291","15,782","17,243","19,817","22,333","32,158","23,119","72,707","9,563"
2020년09월_계_0~9세,"40,326","17,765",158,"2,440","5,811",64,580,75,31,"1,206",639,449,205,164,"3,661","2,282","22,561","4,003",66,113,35,98,35,6,22,567,"1,245",798,"1,498","3,037","1,664","8,444",930
2020년09월_계_10~19세,"46,947","21,324",244,"3,731","5,840",149,787,126,75,"1,554",801,725,272,196,"3,765","3,059","25,623","3,639",88,214,90,196,59,15,37,796,"1,876",974,"2,070","3,089","2,454","8,874","1,152"
2020년09월_계_20~29세,"56,635","26,326",489,"3,645","6,297",282,"1,008",199,105,"3,232","1,724","1,055",575,633,"3,537","3,545","30,309","4,118",180,321,166,312,70,36,53,"1,654","2,157","2,344","2,394","3,930","2,973","8,701",900
2020년09월_계_30~39세,"60,329","27,276",464,"3,156","8,286",270,968,180,84,"2,982","1,649","1,064",521,335,"3,893","3,424","33,053","5,223",129,278,103,237,72,15,60,"1,746","1,885","2,379","2,287","4,430","2,486","10,511","1,212"
2020년09월_계_40~49세,"77,412","35,756",778,"5,215","10,080",318,"1,283",304,182,"3,376","2,225","1,481",537,345,"5,207","4,425","41,656","6,297",220,477,195,379,126,40,101,"1,986","2,722","2,545","3,312","4,884","3,349","13,338","1,685"
2020년09월_계_50~59세,"90,644","41,705","1,461","6,029","8,502",722,"1,814",711,336,"4,557","3,423","2,389",847,493,"5,497","4,924","48,939","7,122",495,896,482,912,398,119,207,"2,811","3,469","3,501","4,165","6,034","4,720","12,130","1,478"
2020년09월_계_60~69세,"77,385","36,172","1,932","4,101","6,151",901,"1,815",971,468,"5,063","4,134","3,134",963,401,"3,663","2,475","41,213","5,707",760,"1,117",620,"1,225",588,190,351,"3,309","2,534","4,128","4,020","4,320","3,534","7,405","1,405"
2020년09월_계_70~79세,"36,647","17,069","1,345","1,655","2,509",538,"1,120",831,375,"2,332","2,123","1,682",589,197,895,878,"19,578","2,938",512,860,482,905,425,111,255,"2,027",968,"2,298","1,816","1,679","1,368","2,348",586
2020년09월_계_80~89세,"15,185","6,661",688,661,"1,111",233,489,610,222,566,613,550,192,72,275,379,"8,524","1,466",394,502,301,621,312,53,175,771,330,741,676,662,506,825,189
2020년09월_계_90~99세,"2,112",858,89,73,122,38,75,90,27,76,56,85,21,6,54,46,"1,254",233,60,68,51,98,46,14,27,106,53,104,89,90,63,128,24
2020년09월_계_100세 이상,109,55,6,5,14,1,2,4,1,3,7,5,2,0,2,3,54,9,2,3,1,2,0,0,3,9,4,5,6,3,2,3,2
2020년09월_남_총인구수,"254,626","119,016","3,855","15,644","29,008","1,832","5,026","2,016",926,"12,880","8,944","6,337","2,545","1,669","15,469","12,865","135,610","20,371","1,451","2,389","1,237","2,411","1,067",299,627,"7,734","8,529","9,780","10,942","15,752","11,497","36,821","4,703"
2020년09월_남_연령구간인구수,"254,626","119,016","3,855","15,644","29,008","1,832","5,026","2,016",926,"12,880","8,944","6,337","2,545","1,669","15,469","12,865","135,610","20,371","1,451","2,389","1,237","2,411","1,067",299,627,"7,734","8,529","9,780","10,942","15,752","11,497","36,821","4,703"
2020년09월_남_0~9세,"20,899","9,205",78,"1,275","2,979",29,302,42,16,637,334,252,102,93,"1,869","1,197","11,694","2,100",35,59,10,44,15,3,9,283,626,405,754,"1,609",877,"4,395",470
2020년09월_남_10~19세,"24,642","11,219",137,"1,937","3,109",76,396,56,45,820,428,381,143,100,"1,988","1,603","13,423","1,889",55,118,47,86,33,8,23,403,"1,005",503,"1,112","1,625","1,290","4,640",586
2020년09월_남_20~29세,"32,450","15,510",300,"2,115","3,732",170,573,124,62,"1,865","1,025",594,376,491,"2,093","1,990","16,940","2,331",110,195,92,187,55,17,28,891,"1,230","1,272","1,352","2,182","1,695","4,815",488
2020년09월_남_30~39세,"31,828","14,689",257,"1,580","4,499",165,524,109,50,"1,732",980,620,312,207,"1,856","1,798","17,139","2,677",76,158,70,159,46,15,36,999,976,"1,360","1,165","2,254","1,297","5,248",603
2020년09월_남_40~49세,"38,890","18,445",487,"2,509","5,474",199,682,203,125,"1,844","1,266",813,327,184,"2,358","1,974","20,445","3,185",142,277,126,227,84,24,55,"1,057","1,230","1,366","1,575","2,251","1,541","6,470",835
2020년09월_남_50~59세,"45,492","21,623",840,"3,107","4,538",387,949,393,188,"2,214","1,741","1,214",460,259,"2,787","2,546","23,869","3,584",256,501,273,484,224,61,115,"1,396","1,634","1,641","1,998","2,793","2,184","6,006",719
2020년09월_남_60~69세,"37,966","17,900",953,"2,080","3,156",479,928,492,229,"2,340","1,871","1,480",467,210,"1,947","1,268","20,066","2,827",405,546,296,615,296,92,188,"1,527","1,255","1,821","1,852","2,133","1,751","3,808",654
2020년09월_남_70~79세,"17,106","8,126",565,822,"1,143",259,501,378,147,"1,205","1,051",779,282,98,491,405,"8,980","1,299",237,363,223,396,187,58,104,870,456,"1,092",856,730,666,"1,175",268
2020년09월_남_80~89세,"4,942","2,146",220,211,354,63,155,200,61,208,238,187,72,26,72,79,"2,796",429,129,164,90,187,113,16,63,287,105,295,254,163,182,243,76
2020년09월_남_90~99세,381,136,14,7,21,5,15,19,3,15,8,15,2,1,7,4,245,47,6,8,9,25,14,5,6,17,12,23,23,12,13,21,4
2020년09월_남_100세 이상,30,17,4,1,3,0,1,0,0,0,2,2,2,0,1,1,13,3,0,0,1,1,0,0,0,4,0,2,1,0,1,0,0
2020년09월_여_총인구수,"249,105","111,951","3,799","15,067","25,715","1,684","4,915","2,085",980,"12,067","8,450","6,282","2,179","1,173","14,980","12,575","137,154","20,384","1,455","2,460","1,289","2,574","1,064",300,664,"8,048","8,714","10,037","11,391","16,406","11,622","35,886","4,860"
2020년09월_여_연령구간인구수,"249,105","111,951","3,799","15,067","25,715","1,684","4,915","2,085",980,"12,067","8,450","6,282","2,179","1,173","14,980","12,575","137,154","20,384","1,455","2,460","1,289","2,574","1,064",300,664,"8,048","8,714","10,037","11,391","16,406","11,622","35,886","4,860"
2020년09월_여_0~9세,"19,427","8,560",80,"1,165","2,832",35,278,33,15,569,305,197,103,71,"1,792","1,085","10,867","1,903",31,54,25,54,20,3,13,284,619,393,744,"1,428",787,"4,049",460
2020년09월_여_10~19세,"22,305","10,105",107,"1,794","2,731",73,391,70,30,734,373,344,129,96,"1,777","1,456","12,200","1,750",33,96,43,110,26,7,14,393,871,471,958,"1,464","1,164","4,234",566
2020년09월_여_20~29세,"24,185","10,816",189,"1,530","2,565",112,435,75,43,"1,367",699,461,199,142,"1,444","1,555","13,369","1,787",70,126,74,125,15,19,25,763,927,"1,072","1,042","1,748","1,278","3,886",412
2020년09월_여_30~39세,"28,501","12,587",207,"1,576","3,787",105,444,71,34,"1,250",669,444,209,128,"2,037","1,626","15,914","2,546",53,120,33,78,26,0,24,747,909,"1,019","1,122","2,176","1,189","5,263",609
2020년09월_여_40~49세,"38,522","17,311",291,"2,706","4,606",119,601,101,57,"1,532",959,668,210,161,"2,849","2,451","21,211","3,112",78,200,69,152,42,16,46,929,"1,492","1,179","1,737","2,633","1,808","6,868",850
2020년09월_여_50~59세,"45,152","20,082",621,"2,922","3,964",335,865,318,148,"2,343","1,682","1,175",387,234,"2,710","2,378","25,070","3,538",239,395,209,428,174,58,92,"1,415","1,835","1,860","2,167","3,241","2,536","6,124",759
2020년09월_여_60~69세,"39,419","18,272",979,"2,021","2,995",422,887,479,239,"2,723","2,263","1,654",496,191,"1,716","1,207","21,147","2,880",355,571,324,610,292,98,163,"1,782","1,279","2,307","2,168","2,187","1,783","3,597",751
2020년09월_여_70~79세,"19,541","8,943",780,833,"1,366",279,619,453,228,"1,127","1,072",903,307,99,404,473,"10,598","1,639",275,497,259,509,238,53,151,"1,157",512,"1,206",960,949,702,"1,173",318
2020년09월_여_80~89세,"10,243","4,515",468,450,757,170,334,410,161,358,375,363,120,46,203,300,"5,728","1,037",265,338,211,434,199,37,112,484,225,446,422,499,324,582,113
2020년09월_여_90~99세,"1,731",722,75,66,101,33,60,71,24,61,48,70,19,5,47,42,"1,009",186,54,60,42,73,32,9,21,89,41,81,66,78,50,107,20
2020년09월_여_100세 이상,79,38,2,4,11,1,1,4,1,3,5,3,0,0,1,2,41,6,2,3,0,1,0,0,3,5,4,3,5,3,1,3,2
