카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년02월_계_총인구수,"1,540,875","283,141","354,933","213,231","90,320","42,381","82,531","64,680","69,041","46,447","38,418","41,514","36,704","44,380","24,652","22,123","31,665","26,734","27,980"
2021년02월_계_연령구간인구수,"1,540,875","283,141","354,933","213,231","90,320","42,381","82,531","64,680","69,041","46,447","38,418","41,514","36,704","44,380","24,652","22,123","31,665","26,734","27,980"
2021년02월_계_0~9세,"104,721","21,496","28,150","13,369","6,543","2,504","5,784","3,796","3,773","2,151","1,653","1,841","1,714","3,330","1,791","1,704","2,471","1,296","1,355"
2021년02월_계_10~19세,"136,420","26,974","35,824","18,853","8,738","3,753","7,401","5,039","5,071","3,430","2,808","2,863","2,526","3,731","1,748","1,950","2,292","1,607","1,812"
2021년02월_계_20~29세,"178,462","37,291","45,429","24,968","9,362","3,642","8,952","6,956","6,829","3,802","3,203","3,353","2,765","5,685","3,822","3,133","4,079","2,784","2,407"
2021년02월_계_30~39세,"165,142","34,144","45,253","21,508","9,064","3,659","9,141","5,645","6,044","3,416","2,742","3,052","3,028","4,673","2,835","2,540","3,843","2,235","2,320"
2021년02월_계_40~49세,"223,343","42,396","57,093","32,260","14,468","6,365","12,430","8,844","8,219","5,094","4,551","5,291","4,907","5,641","2,690","2,518","3,991","3,046","3,539"
2021년02월_계_50~59세,"266,717","46,942","60,873","36,609","15,599","7,299","15,091","11,273","12,630","8,693","7,276","7,985","6,944","7,121","3,863","3,510","5,200","4,766","5,043"
2021년02월_계_60~69세,"245,138","38,869","46,393","34,179","14,086","7,756","13,009","11,277","14,049","10,399","8,173","8,979","7,630","6,825","3,880","3,413","5,308","5,274","5,639"
2021년02월_계_70~79세,"135,408","20,989","21,676","19,648","8,076","4,919","6,807","7,185","7,300","5,582","4,839","4,994","4,530","4,695","2,382","2,018","2,684","3,468","3,616"
2021년02월_계_80~89세,"73,189","11,975","12,265","10,050","3,817","2,134","3,264","4,024","4,429","3,320","2,764","2,739","2,258","2,269","1,395","1,165","1,522","1,893","1,906"
2021년02월_계_90~99세,"11,461","1,945","1,865","1,678",533,285,619,588,652,523,358,377,352,366,228,157,260,348,327
