,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년12월_계_80~89세,"15,002",461,597,403,588,761,724,365,518,371,"1,056",511,426,669,583,615,345,663,427,683,697,443,532,535,762,381,454,432
2021년12월_계_90~99세,"2,567",64,85,59,97,101,99,67,72,96,214,82,84,91,108,99,66,112,77,123,141,101,80,67,136,76,93,77
2021년12월_계_100세 이상,90,1,2,2,2,2,2,5,1,2,6,0,3,6,3,2,2,5,4,4,9,4,4,5,4,2,5,3
2021년12월_남_총인구수,"317,346","6,300","11,777","6,335","9,210","9,664","9,536","7,555","12,304","8,824","18,636","11,129","9,221","15,066","14,254","13,019","13,203","15,820","9,922","13,266","14,278","19,042","13,264","16,756","16,337","10,229","7,945","4,454"
2021년12월_남_연령구간인구수,"317,346","6,300","11,777","6,335","9,210","9,664","9,536","7,555","12,304","8,824","18,636","11,129","9,221","15,066","14,254","13,019","13,203","15,820","9,922","13,266","14,278","19,042","13,264","16,756","16,337","10,229","7,945","4,454"
2021년12월_남_0~9세,"24,871",351,927,305,639,428,380,478,603,628,"1,363",557,765,731,725,807,"1,646","1,244",637,763,"1,144","3,336",582,"1,948","1,586","1,326",690,282
2021년12월_남_10~19세,"29,494",413,993,475,774,791,643,804,646,"1,441","1,635",623,888,926,"1,003",906,"1,137","1,814",754,714,"1,356","2,496",831,"2,867","2,019","1,277",873,395
2021년12월_남_20~29세,"43,016",811,"1,633",940,"1,123","1,177","1,265","1,203","2,151","1,117","2,715","1,916","1,211","2,486","2,338","1,910","1,529","2,182","1,546","1,969","1,976","1,756","2,220","1,540","1,792",961,939,610
2021년12월_남_30~39세,"50,866",917,"1,916",915,"1,353","1,165","1,187","1,090","2,956",684,"2,675","2,630","1,309","3,249","3,045","2,336","2,230","2,245","1,781","3,274","2,315","3,160","2,959","1,400","1,646","1,103",928,398
2021년12월_남_40~49세,"51,891",917,"1,919",878,"1,437","1,380","1,372","1,131","1,830","1,390","2,662","1,564","1,447","2,367","2,408","1,886","2,179","2,649","1,394","2,094","2,294","3,867","2,107","3,863","2,862","2,136","1,281",577
2021년12월_남_50~59세,"49,314","1,062","1,757","1,149","1,568","1,853","1,829","1,256","1,674","1,542","3,137","1,492","1,510","2,266","2,029","2,225","1,866","2,532","1,536","1,718","2,197","2,324","1,934","2,756","2,581","1,481","1,235",805
2021년12월_남_60~69세,"41,101","1,112","1,573",973,"1,348","1,668","1,761",975,"1,471","1,226","2,767","1,394","1,285","1,815","1,646","1,889","1,713","2,005","1,481","1,518","1,903","1,349","1,618","1,353","2,210","1,168","1,189",691
2021년12월_남_70~79세,"20,147",523,800,528,732,888,793,462,737,620,"1,266",697,616,905,836,770,743,864,602,853,837,605,767,787,"1,275",602,578,461
2021년12월_남_80~89세,"6,015",173,238,159,219,284,293,139,216,153,372,234,171,293,204,259,146,254,175,315,235,140,221,226,334,155,194,213
2021년12월_남_90~99세,616,20,20,12,17,30,13,17,20,23,43,22,19,27,20,30,14,30,16,45,21,9,24,16,30,20,36,22
2021년12월_남_100세 이상,15,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,3,0,0,1,0,2,0,2,0
2021년12월_여_총인구수,"340,992","6,569","13,008","6,204","9,516","9,252","9,177","8,127","14,185","9,237","19,810","12,716","9,909","16,518","16,071","13,233","14,062","16,409","10,090","15,605","15,256","20,053","14,689","18,280","18,001","11,089","8,830","5,096"
