,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년08월_계_총인구수,"31,701","10,018","3,173","2,142","2,035","4,483","2,254","1,541","2,258","1,763","2,034"
2020년08월_계_연령구간인구수,"31,701","10,018","3,173","2,142","2,035","4,483","2,254","1,541","2,258","1,763","2,034"
2020년08월_계_0~9세,"1,447",622,98,58,78,195,68,32,57,33,206
2020년08월_계_10~19세,"1,881",882,147,96,79,246,95,74,107,39,116
2020년08월_계_20~29세,"2,045",897,147,131,106,264,107,65,113,85,130
2020년08월_계_30~39세,"2,007",797,167,128,100,253,99,59,99,69,236
2020년08월_계_40~49세,"3,287","1,309",251,178,155,415,207,131,201,137,303
2020년08월_계_50~59세,"5,865","1,776",611,382,369,875,442,341,444,291,334
2020년08월_계_60~69세,"6,702","1,665",775,509,458,973,570,400,551,439,362
2020년08월_계_70~79세,"4,757","1,168",548,364,356,697,379,246,402,386,211
2020년08월_계_80~89세,"3,196",759,372,258,293,468,254,168,249,256,119
2020년08월_계_90~99세,485,137,55,37,38,90,29,24,33,25,17
2020년08월_계_100세 이상,29,6,2,1,3,7,4,1,2,3,0
2020년08월_남_총인구수,"15,958","4,930","1,590","1,043","1,032","2,235","1,130",781,"1,186",904,"1,127"
2020년08월_남_연령구간인구수,"15,958","4,930","1,590","1,043","1,032","2,235","1,130",781,"1,186",904,"1,127"
2020년08월_남_0~9세,750,332,50,30,42,101,35,17,29,15,99
2020년08월_남_10~19세,"1,008",429,90,47,39,141,53,49,67,25,68
2020년08월_남_20~29세,"1,197",500,90,82,67,150,65,36,78,58,71
2020년08월_남_30~39세,"1,090",394,96,73,60,126,48,32,61,42,158
2020년08월_남_40~49세,"1,922",703,141,111,97,250,127,70,129,91,203
2020년08월_남_50~59세,"3,164",939,319,196,210,459,234,185,251,167,204
2020년08월_남_60~69세,"3,476",835,407,258,248,497,312,218,288,219,194
2020년08월_남_70~79세,"2,123",506,252,155,152,311,172,109,192,185,89
2020년08월_남_80~89세,"1,109",271,128,84,105,174,75,56,86,95,35
2020년08월_남_90~99세,114,20,17,6,12,23,9,9,5,7,6
2020년08월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년08월_여_총인구수,"15,743","5,088","1,583","1,099","1,003","2,248","1,124",760,"1,072",859,907
2020년08월_여_연령구간인구수,"15,743","5,088","1,583","1,099","1,003","2,248","1,124",760,"1,072",859,907
2020년08월_여_0~9세,697,290,48,28,36,94,33,15,28,18,107
2020년08월_여_10~19세,873,453,57,49,40,105,42,25,40,14,48
2020년08월_여_20~29세,848,397,57,49,39,114,42,29,35,27,59
2020년08월_여_30~39세,917,403,71,55,40,127,51,27,38,27,78
2020년08월_여_40~49세,"1,365",606,110,67,58,165,80,61,72,46,100
2020년08월_여_50~59세,"2,701",837,292,186,159,416,208,156,193,124,130
2020년08월_여_60~69세,"3,226",830,368,251,210,476,258,182,263,220,168
2020년08월_여_70~79세,"2,634",662,296,209,204,386,207,137,210,201,122
2020년08월_여_80~89세,"2,087",488,244,174,188,294,179,112,163,161,84
2020년08월_여_90~99세,371,117,38,31,26,67,20,15,28,18,11
2020년08월_여_100세 이상,24,5,2,0,3,4,4,1,2,3,0
