카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2021년12월_계_총인구수,"163,356","14,183","29,446","39,309","20,756","22,378","37,284"
2021년12월_계_연령구간인구수,"163,356","14,183","29,446","39,309","20,756","22,378","37,284"
2021년12월_계_0~9세,"12,631",875,"2,101","2,888","1,437","2,191","3,139"
2021년12월_계_10~19세,"14,070",901,"2,328","3,845","1,913","2,042","3,041"
2021년12월_계_20~29세,"22,666","2,276","4,049","5,135","3,207","2,939","5,060"
2021년12월_계_30~39세,"22,916","2,673","4,232","4,988","2,372","3,333","5,318"
2021년12월_계_40~49세,"24,033","1,676","4,241","6,030","3,001","3,492","5,593"
2021년12월_계_50~59세,"29,275","1,970","5,187","7,139","4,079","3,946","6,954"
2021년12월_계_60~69세,"23,335","2,271","4,083","5,915","3,002","2,802","5,262"
2021년12월_계_70~79세,"9,154","1,003","2,006","2,257","1,037",983,"1,868"
2021년12월_계_80~89세,"4,484",445,"1,072",954,591,552,870
2021년12월_계_90~99세,773,91,145,156,111,97,173
2021년12월_계_100세 이상,19,2,2,2,6,1,6
2021년12월_남_총인구수,"81,148","7,183","14,973","19,527","10,171","10,989","18,305"
2021년12월_남_연령구간인구수,"81,148","7,183","14,973","19,527","10,171","10,989","18,305"
2021년12월_남_0~9세,"6,507",465,"1,099","1,430",741,"1,117","1,655"
2021년12월_남_10~19세,"7,240",478,"1,201","1,986","1,007","1,064","1,504"
2021년12월_남_20~29세,"11,895","1,180","2,208","2,722","1,651","1,508","2,626"
2021년12월_남_30~39세,"11,779","1,452","2,302","2,545","1,168","1,625","2,687"
2021년12월_남_40~49세,"12,005",887,"2,232","2,951","1,430","1,749","2,756"
2021년12월_남_50~59세,"14,029",926,"2,575","3,451","1,948","1,876","3,253"
2021년12월_남_60~69세,"11,600","1,120","2,033","2,932","1,516","1,409","2,590"
2021년12월_남_70~79세,"4,318",496,895,"1,110",473,434,910
2021년12월_남_80~89세,"1,598",157,392,368,213,184,284
2021년12월_남_90~99세,176,22,36,32,24,23,39
2021년12월_남_100세 이상,1,0,0,0,0,0,1
2021년12월_여_총인구수,"82,208","7,000","14,473","19,782","10,585","11,389","18,979"
2021년12월_여_연령구간인구수,"82,208","7,000","14,473","19,782","10,585","11,389","18,979"
2021년12월_여_0~9세,"6,124",410,"1,002","1,458",696,"1,074","1,484"
2021년12월_여_10~19세,"6,830",423,"1,127","1,859",906,978,"1,537"
2021년12월_여_20~29세,"10,771","1,096","1,841","2,413","1,556","1,431","2,434"
2021년12월_여_30~39세,"11,137","1,221","1,930","2,443","1,204","1,708","2,631"
2021년12월_여_40~49세,"12,028",789,"2,009","3,079","1,571","1,743","2,837"
2021년12월_여_50~59세,"15,246","1,044","2,612","3,688","2,131","2,070","3,701"
2021년12월_여_60~69세,"11,735","1,151","2,050","2,983","1,486","1,393","2,672"
2021년12월_여_70~79세,"4,836",507,"1,111","1,147",564,549,958
2021년12월_여_80~89세,"2,886",288,680,586,378,368,586
2021년12월_여_90~99세,597,69,109,124,87,74,134
2021년12월_여_100세 이상,18,2,2,2,6,1,5
