,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년08월_계_총인구수,"46,409","20,786","4,476","3,132","5,866","2,353","2,435","3,494","2,128","1,739"
2020년08월_계_연령구간인구수,"46,409","20,786","4,476","3,132","5,866","2,353","2,435","3,494","2,128","1,739"
2020년08월_계_0~9세,"2,215","1,502",133,63,253,39,39,80,68,38
2020년08월_계_10~19세,"3,614","2,039",206,582,385,77,70,120,68,67
2020년08월_계_20~29세,"3,856","2,272",370,132,400,124,135,214,121,88
2020년08월_계_30~39세,"3,486","2,068",257,124,432,120,89,187,134,75
2020년08월_계_40~49세,"5,124","2,984",412,183,639,167,176,277,155,131
2020년08월_계_50~59세,"8,848","3,653",927,576,"1,232",452,529,722,406,351
2020년08월_계_60~69세,"9,936","3,203","1,098",762,"1,341",704,725,949,631,523
2020년08월_계_70~79세,"5,643","1,839",650,433,731,397,403,555,310,325
2020년08월_계_80~89세,"3,139","1,028",362,230,395,237,230,326,200,131
2020년08월_계_90~99세,515,187,55,42,56,33,37,61,34,10
2020년08월_계_100세 이상,33,11,6,5,2,3,2,3,1,0
2020년08월_남_총인구수,"23,783","10,448","2,330","1,611","3,080","1,211","1,236","1,822","1,132",913
2020년08월_남_연령구간인구수,"23,783","10,448","2,330","1,611","3,080","1,211","1,236","1,822","1,132",913
2020년08월_남_0~9세,"1,167",780,73,36,136,22,15,41,41,23
2020년08월_남_10~19세,"1,886","1,048",108,305,208,35,43,63,33,43
2020년08월_남_20~29세,"2,181","1,226",234,82,234,64,76,132,73,60
2020년08월_남_30~39세,"1,843","1,048",135,60,254,64,48,112,82,40
2020년08월_남_40~49세,"2,842","1,610",234,101,355,98,100,176,92,76
2020년08월_남_50~59세,"4,678","1,918",497,302,660,228,276,390,219,188
2020년08월_남_60~69세,"5,184","1,611",581,410,707,383,395,495,342,260
2020년08월_남_70~79세,"2,719",787,325,220,362,210,204,284,163,164
2020년08월_남_80~89세,"1,147",365,128,87,155,97,70,115,75,55
2020년08월_남_90~99세,125,52,15,7,9,8,8,11,11,4
2020년08월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년08월_여_총인구수,"22,626","10,338","2,146","1,521","2,786","1,142","1,199","1,672",996,826
2020년08월_여_연령구간인구수,"22,626","10,338","2,146","1,521","2,786","1,142","1,199","1,672",996,826
2020년08월_여_0~9세,"1,048",722,60,27,117,17,24,39,27,15
2020년08월_여_10~19세,"1,728",991,98,277,177,42,27,57,35,24
2020년08월_여_20~29세,"1,675","1,046",136,50,166,60,59,82,48,28
2020년08월_여_30~39세,"1,643","1,020",122,64,178,56,41,75,52,35
2020년08월_여_40~49세,"2,282","1,374",178,82,284,69,76,101,63,55
2020년08월_여_50~59세,"4,170","1,735",430,274,572,224,253,332,187,163
2020년08월_여_60~69세,"4,752","1,592",517,352,634,321,330,454,289,263
2020년08월_여_70~79세,"2,924","1,052",325,213,369,187,199,271,147,161
2020년08월_여_80~89세,"1,992",663,234,143,240,140,160,211,125,76
2020년08월_여_90~99세,390,135,40,35,47,25,29,50,23,6
2020년08월_여_100세 이상,22,8,6,4,2,1,1,0,0,0
