카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년01월_계_총인구수,"1,802,748","657,661","339,406","318,255","267,798","281,539","108,470","80,570","82,326","91,450","25,344","24,046","22,081","27,248","27,665","54,512","52,038"
2021년01월_계_연령구간인구수,"1,802,748","657,661","339,406","318,255","267,798","281,539","108,470","80,570","82,326","91,450","25,344","24,046","22,081","27,248","27,665","54,512","52,038"
2021년01월_계_0~9세,"127,540","53,808","24,573","29,235","20,765","18,961","6,294","4,960","4,267","6,824","1,261","1,199","1,147","1,339","1,496","2,683","2,536"
2021년01월_계_10~19세,"174,489","71,627","36,056","35,571","26,749","27,723","9,642","7,283","6,156","8,276","1,663","1,828","1,654","1,676","2,202","4,278","3,732"
2021년01월_계_20~29세,"211,009","92,972","49,474","43,498","29,742","35,938","10,630","7,589","7,199","8,921","1,939","1,771","1,649","2,069","2,059","4,268","4,263"
2021년01월_계_30~39세,"188,304","81,874","39,883","41,991","30,479","28,316","8,851","6,392","6,593","9,288","1,635","1,702","1,555","1,934","1,970","3,839","3,876"
2021년01월_계_40~49세,"267,631","106,862","53,230","53,632","43,418","41,770","14,755","10,700","9,983","13,563","2,723","2,871","2,568","2,823","3,289","6,190","6,116"
2021년01월_계_50~59세,"299,370","106,210","57,136","49,074","44,015","48,887","18,364","13,695","13,651","15,196","4,516","4,180","3,680","4,674","4,483","9,004","8,815"
2021년01월_계_60~69세,"257,255","77,369","42,655","34,714","37,821","40,689","17,025","13,007","14,619","13,963","4,887","4,421","4,238","5,000","4,843","9,713","9,660"
2021년01월_계_70~79세,"170,693","44,310","24,049","20,261","22,980","24,593","13,416","9,789","11,410","9,299","3,825","3,392","3,131","4,284","4,172","8,377","7,715"
