,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021년01월_계_총인구수,"149,125","12,426","9,544","2,613","9,990","18,394","8,519","10,428","4,325","7,256","5,258","7,558","16,707","5,116","8,296","6,897","6,081","9,717"
2021년01월_계_연령구간인구수,"149,125","12,426","9,544","2,613","9,990","18,394","8,519","10,428","4,325","7,256","5,258","7,558","16,707","5,116","8,296","6,897","6,081","9,717"
2021년01월_계_0~9세,"7,449",823,578,105,545,"1,150",696,845,199,184,112,233,681,128,236,383,287,264
2021년01월_계_10~19세,"10,937","1,165",692,188,917,"1,646","1,011",849,341,206,222,429,"1,303",243,495,528,360,342
2021년01월_계_20~29세,"23,331","1,590","1,235",310,"1,337","2,455",922,"1,264",500,892,"1,095","1,668","4,420",612,"1,167",951,808,"2,105"
2021년01월_계_30~39세,"19,917","1,683","1,441",353,"1,229","2,228",939,"1,704",562,940,727,"1,244","2,072",534,893,955,838,"1,575"
2021년01월_계_40~49세,"22,132","2,148","1,492",367,"1,630","2,756","1,496","1,835",766,961,591,961,"2,270",631,"1,084",952,930,"1,262"
2021년01월_계_50~59세,"25,410","1,981","1,551",411,"1,712","3,278","1,415","1,625",688,"1,327",965,"1,107","2,321","1,109","1,833","1,276","1,143","1,668"
2021년01월_계_60~69세,"20,069","1,395","1,212",408,"1,325","2,539","1,011","1,158",595,"1,409",756,941,"1,631","1,024","1,396","1,014",892,"1,363"
2021년01월_계_70~79세,"12,485","1,008",767,285,809,"1,387",649,747,430,829,527,605,"1,246",549,813,539,538,757
2021년01월_계_80~89세,"6,016",536,463,149,395,769,309,332,194,373,217,308,639,232,312,240,238,310
2021년01월_계_90~99세,"1,103",77,92,31,79,164,52,54,40,90,37,48,103,45,53,47,37,54
2021년01월_계_100세 이상,276,20,21,6,12,22,19,15,10,45,9,14,21,9,14,12,10,17
2021년01월_남_총인구수,"72,528","5,784","4,273","1,251","4,765","8,556","3,967","4,826","2,004","4,356","2,839","3,551","8,052","2,761","4,263","3,383","2,964","4,933"
2021년01월_남_연령구간인구수,"72,528","5,784","4,273","1,251","4,765","8,556","3,967","4,826","2,004","4,356","2,839","3,551","8,052","2,761","4,263","3,383","2,964","4,933"
2021년01월_남_0~9세,"3,767",430,290,47,274,592,319,434,100,97,55,121,324,64,133,205,152,130
2021년01월_남_10~19세,"5,443",618,306,108,494,817,457,397,187,111,104,198,659,131,258,258,164,176
2021년01월_남_20~29세,"11,493",795,568,164,694,"1,254",426,603,236,471,556,781,"2,179",331,623,510,413,889
2021년01월_남_30~39세,"9,883",772,619,170,589,"1,026",426,785,259,526,425,607,"1,104",313,522,460,432,848
2021년01월_남_40~49세,"10,800",969,668,179,757,"1,222",702,864,366,601,354,481,"1,085",323,557,469,490,713
2021년01월_남_50~59세,"12,765",922,695,202,780,"1,482",744,786,316,930,549,540,"1,123",621,977,623,560,915
2021년01월_남_60~69세,"9,979",620,567,187,627,"1,201",466,516,276,904,433,443,789,597,706,504,418,725
2021년01월_남_70~79세,"5,495",403,321,132,357,608,264,294,174,485,252,254,498,273,336,241,226,377
2021년01월_남_80~89세,"2,434",225,199,47,165,304,133,128,79,179,95,105,251,87,128,83,94,132
2021년01월_남_90~99세,372,27,34,14,25,42,16,14,7,37,12,18,33,20,20,20,11,22
2021년01월_남_100세 이상,97,3,6,1,3,8,14,5,4,15,4,3,7,1,3,10,4,6
2021년01월_여_총인구수,"76,597","6,642","5,271","1,362","5,225","9,838","4,552","5,602","2,321","2,900","2,419","4,007","8,655","2,355","4,033","3,514","3,117","4,784"
2021년01월_여_연령구간인구수,"76,597","6,642","5,271","1,362","5,225","9,838","4,552","5,602","2,321","2,900","2,419","4,007","8,655","2,355","4,033","3,514","3,117","4,784"
2021년01월_여_0~9세,"3,682",393,288,58,271,558,377,411,99,87,57,112,357,64,103,178,135,134
2021년01월_여_10~19세,"5,494",547,386,80,423,829,554,452,154,95,118,231,644,112,237,270,196,166
2021년01월_여_20~29세,"11,838",795,667,146,643,"1,201",496,661,264,421,539,887,"2,241",281,544,441,395,"1,216"
2021년01월_여_30~39세,"10,034",911,822,183,640,"1,202",513,919,303,414,302,637,968,221,371,495,406,727
2021년01월_여_40~49세,"11,332","1,179",824,188,873,"1,534",794,971,400,360,237,480,"1,185",308,527,483,440,549
2021년01월_여_50~59세,"12,645","1,059",856,209,932,"1,796",671,839,372,397,416,567,"1,198",488,856,653,583,753
2021년01월_여_60~69세,"10,090",775,645,221,698,"1,338",545,642,319,505,323,498,842,427,690,510,474,638
2021년01월_여_70~79세,"6,990",605,446,153,452,779,385,453,256,344,275,351,748,276,477,298,312,380
2021년01월_여_80~89세,"3,582",311,264,102,230,465,176,204,115,194,122,203,388,145,184,157,144,178
2021년01월_여_90~99세,731,50,58,17,54,122,36,40,33,53,25,30,70,25,33,27,26,32
2021년01월_여_100세 이상,179,17,15,5,9,14,5,10,6,30,5,11,14,8,11,2,6,11
