카테고리,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년11월_계_총인구수,"486,427","24,428","15,170","29,259","28,979","16,900","35,417","33,210","15,131","25,819","18,142","22,610","17,873","23,041","22,546","22,323","15,331","17,268","23,459","22,129","30,555","26,837"
2021년11월_계_연령구간인구수,"486,427","24,428","15,170","29,259","28,979","16,900","35,417","33,210","15,131","25,819","18,142","22,610","17,873","23,041","22,546","22,323","15,331","17,268","23,459","22,129","30,555","26,837"
2021년11월_계_0~9세,"20,038","1,108","1,174","1,840","1,052",608,"1,193","1,905",390,"1,024",904,637,513,718,748,339,"1,091",611,659,785,"1,595","1,144"
2021년11월_계_10~19세,"27,225","1,424","1,140","2,821","1,315",793,"1,548","2,641",557,"1,484",788,809,800,"1,031","1,042",493,"1,399",809,949,"1,382","2,205","1,795"
2021년11월_계_20~29세,"108,181","4,802","1,796","3,759","7,554","5,542","11,551","5,359","4,429","5,819","3,901","6,322","4,378","5,469","5,825","8,621","1,724","4,002","5,939","2,616","4,736","4,037"
2021년11월_계_30~39세,"85,627","4,023","2,509","3,707","5,936","3,552","6,963","5,138","3,031","4,918","3,663","4,649","3,167","4,565","3,978","5,772","1,784","3,226","4,855","2,442","4,177","3,572"
2021년11월_계_40~49세,"65,817","3,305","2,419","4,839","3,562","1,970","3,980","5,088","1,698","3,472","2,242","2,737","2,198","3,121","2,805","2,473","2,848","2,259","3,493","3,039","4,504","3,765"
2021년11월_계_50~59세,"67,015","3,403","2,302","4,765","3,466","1,653","3,793","4,842","1,754","3,489","2,552","2,743","2,394","3,094","3,164","1,817","2,579","2,363","3,211","4,024","4,866","4,741"
2021년11월_계_60~69세,"60,027","3,368","1,968","3,941","3,206","1,392","3,370","4,389","1,689","2,996","2,267","2,540","2,248","2,784","2,680","1,517","2,105","2,183","2,404","4,077","4,715","4,188"
2021년11월_계_70~79세,"36,685","2,105","1,193","2,467","2,075",968,"2,164","2,718","1,106","1,847","1,300","1,538","1,510","1,579","1,636",918,"1,269","1,244","1,306","2,529","2,686","2,527"
2021년11월_계_80~89세,"14,067",781,599,993,729,384,760,"1,012",434,696,466,569,593,602,597,335,479,506,579,"1,072",936,945
2021년11월_계_90~99세,"1,651",106,69,121,78,35,92,114,38,72,56,61,68,73,67,33,52,63,64,157,116,116
2021년11월_계_100세 이상,94,3,1,6,6,3,3,4,5,2,3,5,4,5,4,5,1,2,0,6,19,7
2021년11월_남_총인구수,"244,367","12,022","7,384","14,116","14,065","8,454","17,068","16,193","7,270","12,571","8,755","11,734","9,047","12,705","11,338","11,788","7,505","8,694","14,138","11,079","14,964","13,477"
2021년11월_남_연령구간인구수,"244,367","12,022","7,384","14,116","14,065","8,454","17,068","16,193","7,270","12,571","8,755","11,734","9,047","12,705","11,338","11,788","7,505","8,694","14,138","11,079","14,964","13,477"
2021년11월_남_0~9세,"10,272",556,615,954,543,311,588,"1,002",215,533,474,330,245,361,397,175,536,306,339,414,809,569
2021년11월_남_10~19세,"13,922",741,582,"1,463",656,379,758,"1,350",268,764,371,422,404,537,553,247,716,416,484,730,"1,112",969
2021년11월_남_20~29세,"52,545","2,293",922,"1,880","3,380","2,626","5,126","2,516","1,858","2,745","1,766","3,232","2,260","3,047","2,777","4,179",882,"1,789","3,466","1,395","2,334","2,072"
2021년11월_남_30~39세,"47,501","2,201","1,240","1,860","3,191","1,946","3,724","2,624","1,651","2,565","1,945","2,754","1,828","2,854","2,267","3,380",858,"1,780","3,307","1,390","2,167","1,969"
2021년11월_남_40~49세,"35,203","1,725","1,225","2,383","1,854","1,057","2,074","2,622",913,"1,785","1,144","1,499","1,188","1,908","1,455","1,436","1,439","1,184","2,368","1,623","2,317","2,004"
2021년11월_남_50~59세,"33,941","1,641","1,135","2,325","1,715",864,"1,904","2,433",877,"1,695","1,185","1,345","1,210","1,635","1,585","1,039","1,322","1,281","2,040","2,040","2,364","2,306"
2021년11월_남_60~69세,"27,954","1,548",893,"1,781","1,473",666,"1,550","1,987",800,"1,366","1,018","1,159",994,"1,340","1,267",742,959,"1,082","1,256","1,902","2,169","2,002"
2021년11월_남_70~79세,"16,714",975,519,"1,069",906,441,991,"1,212",490,804,603,738,674,750,742,420,585,611,600,"1,129","1,274","1,181"
2021년11월_남_80~89세,"5,893",317,234,362,326,151,325,430,187,292,235,238,234,261,280,164,194,223,260,414,384,382
2021년11월_남_90~99세,402,25,18,38,19,11,27,16,10,22,14,16,9,12,14,5,13,22,18,41,29,23
2021년11월_남_100세 이상,20,0,1,1,2,2,1,1,1,0,0,1,1,0,1,1,1,0,0,1,5,0
2021년11월_여_총인구수,"242,060","12,406","7,786","15,143","14,914","8,446","18,349","17,017","7,861","13,248","9,387","10,876","8,826","10,336","11,208","10,535","7,826","8,574","9,321","11,050","15,591","13,360"
2021년11월_여_연령구간인구수,"242,060","12,406","7,786","15,143","14,914","8,446","18,349","17,017","7,861","13,248","9,387","10,876","8,826","10,336","11,208","10,535","7,826","8,574","9,321","11,050","15,591","13,360"
2021년11월_여_0~9세,"9,766",552,559,886,509,297,605,903,175,491,430,307,268,357,351,164,555,305,320,371,786,575
2021년11월_여_10~19세,"13,303",683,558,"1,358",659,414,790,"1,291",289,720,417,387,396,494,489,246,683,393,465,652,"1,093",826
2021년11월_여_20~29세,"55,636","2,509",874,"1,879","4,174","2,916","6,425","2,843","2,571","3,074","2,135","3,090","2,118","2,422","3,048","4,442",842,"2,213","2,473","1,221","2,402","1,965"
2021년11월_여_30~39세,"38,126","1,822","1,269","1,847","2,745","1,606","3,239","2,514","1,380","2,353","1,718","1,895","1,339","1,711","1,711","2,392",926,"1,446","1,548","1,052","2,010","1,603"
