카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2020년05월_계_총인구수,"16,786","7,335","2,166","1,727","1,789","1,686","2,083"
2020년05월_계_연령구간인구수,"16,786","7,335","2,166","1,727","1,789","1,686","2,083"
2020년05월_계_0~9세,769,452,83,61,49,55,69
2020년05월_계_10~19세,981,577,86,57,87,92,82
2020년05월_계_20~29세,"1,158",669,104,74,109,88,114
2020년05월_계_30~39세,"1,065",643,114,66,67,71,104
2020년05월_계_40~49세,"1,792",979,188,135,146,168,176
2020년05월_계_50~59세,"3,012","1,244",391,294,346,321,416
2020년05월_계_60~69세,"3,331","1,244",495,400,376,362,454
2020년05월_계_70~79세,"2,720",911,414,375,319,295,406
2020년05월_계_80~89세,"1,701",518,252,237,263,195,236
2020년05월_계_90~99세,231,90,37,24,25,34,21
2020년05월_계_100세 이상,26,8,2,4,2,5,5
2020년05월_남_총인구수,"8,295","3,594","1,048",874,888,843,"1,048"
2020년05월_남_연령구간인구수,"8,295","3,594","1,048",874,888,843,"1,048"
2020년05월_남_0~9세,401,246,40,32,22,31,30
2020년05월_남_10~19세,510,291,52,30,46,47,44
2020년05월_남_20~29세,667,370,63,43,64,55,72
2020년05월_남_30~39세,570,327,61,43,40,42,57
2020년05월_남_40~49세,"1,068",552,127,89,82,107,111
2020년05월_남_50~59세,"1,636",640,206,181,196,177,236
2020년05월_남_60~69세,"1,649",599,236,192,198,182,242
2020년05월_남_70~79세,"1,180",384,177,189,141,119,170
2020년05월_남_80~89세,552,167,75,67,91,71,81
2020년05월_남_90~99세,56,16,9,7,8,11,5
2020년05월_남_100세 이상,6,2,2,1,0,1,0
2020년05월_여_총인구수,"8,491","3,741","1,118",853,901,843,"1,035"
2020년05월_여_연령구간인구수,"8,491","3,741","1,118",853,901,843,"1,035"
2020년05월_여_0~9세,368,206,43,29,27,24,39
2020년05월_여_10~19세,471,286,34,27,41,45,38
2020년05월_여_20~29세,491,299,41,31,45,33,42
2020년05월_여_30~39세,495,316,53,23,27,29,47
2020년05월_여_40~49세,724,427,61,46,64,61,65
2020년05월_여_50~59세,"1,376",604,185,113,150,144,180
2020년05월_여_60~69세,"1,682",645,259,208,178,180,212
2020년05월_여_70~79세,"1,540",527,237,186,178,176,236
2020년05월_여_80~89세,"1,149",351,177,170,172,124,155
2020년05월_여_90~99세,175,74,28,17,17,23,16
2020년05월_여_100세 이상,20,6,0,3,2,4,5
