카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020년07월_계_총인구수,"540,636","16,982","23,149","21,605","27,622","27,288","14,565","30,213","25,088","38,127","20,436","36,046","37,212","22,325","34,250","6,808","22,469","18,040","44,801","24,074","15,997","17,945","15,594"
2020년07월_계_연령구간인구수,"540,636","16,982","23,149","21,605","27,622","27,288","14,565","30,213","25,088","38,127","20,436","36,046","37,212","22,325","34,250","6,808","22,469","18,040","44,801","24,074","15,997","17,945","15,594"
2020년07월_계_0~9세,"37,580",994,731,"1,162","2,261","2,231",908,"2,493","2,050","2,019",796,"1,093","3,065","1,851","2,971",401,"1,685","1,114","4,734","2,306",768,"1,263",684
2020년07월_계_10~19세,"59,295","1,722",921,"1,313","2,858","2,301","1,406","3,463","5,555","6,520","2,564","1,487","5,538","2,321","4,779",602,"2,613","1,636","4,572","3,399","1,257","1,841",627
2020년07월_계_20~29세,"74,888","2,359","4,702","3,541","3,255","3,881","2,138","3,917","2,504","5,114","3,451","7,632","4,758","3,065","4,074",789,"2,992","2,657","5,454","2,622","2,291","1,998","1,694"
2020년07월_계_30~39세,"83,479","2,461","5,907","4,622","3,555","4,528","2,143","5,104","1,661","3,377","3,358","10,215","5,402","3,356","3,733",720,"2,892","2,830","7,116","3,097","2,317","2,643","2,442"
2020년07월_계_40~49세,"99,469","3,045","3,835","3,730","4,994","4,827","2,351","6,480","6,196","7,501","4,120","6,023","8,677","3,872","6,632",972,"3,737","2,968","7,820","4,608","2,226","3,141","1,714"
2020년07월_계_50~59세,"79,981","2,527","2,796","2,938","4,032","4,017","2,404","4,074","3,763","6,758","3,228","4,260","4,783","3,536","5,493","1,132","3,873","3,060","6,039","3,680","2,597","2,625","2,366"
2020년07월_계_60~69세,"58,364","1,777","2,323","2,221","3,129","2,997","1,803","2,412","1,919","4,087","1,538","3,014","2,572","2,523","3,553","1,192","2,962","2,325","4,888","2,799","2,521","2,491","3,318"
2020년07월_계_70~79세,"33,665","1,410","1,353","1,514","2,434","1,770","1,036","1,680","1,028","2,031","1,036","1,662","1,746","1,250","2,133",710,"1,271","1,049","2,707","1,074","1,400","1,459","1,912"
2020년07월_계_80~89세,"11,422",591,494,457,925,581,302,498,335,586,298,540,554,448,724,229,355,327,"1,204",378,506,409,681
2020년07월_계_90~99세,"2,206",86,68,88,161,130,65,79,62,112,38,96,97,96,142,49,80,67,255,106,108,70,151
2020년07월_계_100세 이상,287,10,19,19,18,25,9,13,15,22,9,24,20,7,16,12,9,7,12,5,6,5,5
2020년07월_남_총인구수,"258,624","7,879","10,810","10,026","12,704","12,779","7,223","14,359","12,600","19,382","9,648","17,443","17,468","10,566","15,904","3,288","10,862","8,839","21,337","11,858","7,835","8,685","7,129"
2020년07월_남_연령구간인구수,"258,624","7,879","10,810","10,026","12,704","12,779","7,223","14,359","12,600","19,382","9,648","17,443","17,468","10,566","15,904","3,288","10,862","8,839","21,337","11,858","7,835","8,685","7,129"
2020년07월_남_0~9세,"19,534",525,363,599,"1,085","1,214",499,"1,342","1,115","1,099",393,562,"1,586",892,"1,533",207,849,591,"2,385","1,273",390,672,360
2020년07월_남_10~19세,"30,883",865,437,681,"1,363","1,211",812,"1,886","3,127","3,867","1,394",723,"2,638","1,073","2,088",293,"1,281",842,"2,249","1,937",703,"1,110",303
2020년07월_남_20~29세,"35,823","1,077","2,120","1,557","1,525","1,782","1,159","1,861","1,258","2,768","1,633","3,315","2,065","1,439","1,869",396,"1,524","1,344","2,623","1,365","1,189","1,077",877
2020년07월_남_30~39세,"38,239","1,094","2,746","2,079","1,522","1,952","1,009","2,146",642,"1,561","1,500","5,059","2,321","1,521","1,531",333,"1,386","1,421","3,299","1,413","1,210","1,263","1,231"
2020년07월_남_40~49세,"46,258","1,340","1,866","1,792","2,280","2,218","1,066","2,963","2,747","3,200","1,782","3,057","4,025","1,837","2,972",461,"1,697","1,421","3,848","2,130","1,144","1,508",904
2020년07월_남_50~59세,"39,924","1,240","1,377","1,427","1,970","1,889","1,156","2,078","2,091","3,555","1,644","2,216","2,596","1,699","2,758",568,"1,881","1,490","2,942","1,778","1,235","1,276","1,058"
2020년07월_남_60~69세,"26,713",816,"1,014",949,"1,360","1,388",845,"1,078",926,"2,032",694,"1,437","1,148","1,246","1,687",553,"1,420","1,084","2,192","1,297","1,131","1,043","1,373"
2020년07월_남_70~79세,"15,909",616,657,708,"1,120",833,515,753,524,"1,038",461,800,793,640,"1,078",359,673,488,"1,308",521,652,595,777
2020년07월_남_80~89세,"4,764",278,207,208,437,254,141,232,155,239,138,245,263,184,345,106,137,143,426,127,158,130,211
2020년07월_남_90~99세,521,27,20,20,40,32,19,18,12,20,7,24,31,32,41,11,13,14,60,16,22,11,31
2020년07월_남_100세 이상,56,1,3,6,2,6,2,2,3,3,2,5,2,3,2,1,1,1,5,1,1,0,4
2020년07월_여_총인구수,"282,012","9,103","12,339","11,579","14,918","14,509","7,342","15,854","12,488","18,745","10,788","18,603","19,744","11,759","18,346","3,520","11,607","9,201","23,464","12,216","8,162","9,260","8,465"
2020년07월_여_연령구간인구수,"282,012","9,103","12,339","11,579","14,918","14,509","7,342","15,854","12,488","18,745","10,788","18,603","19,744","11,759","18,346","3,520","11,607","9,201","23,464","12,216","8,162","9,260","8,465"
2020년07월_여_0~9세,"18,046",469,368,563,"1,176","1,017",409,"1,151",935,920,403,531,"1,479",959,"1,438",194,836,523,"2,349","1,033",378,591,324
2020년07월_여_10~19세,"28,412",857,484,632,"1,495","1,090",594,"1,577","2,428","2,653","1,170",764,"2,900","1,248","2,691",309,"1,332",794,"2,323","1,462",554,731,324
2020년07월_여_20~29세,"39,065","1,282","2,582","1,984","1,730","2,099",979,"2,056","1,246","2,346","1,818","4,317","2,693","1,626","2,205",393,"1,468","1,313","2,831","1,257","1,102",921,817
2020년07월_여_30~39세,"45,240","1,367","3,161","2,543","2,033","2,576","1,134","2,958","1,019","1,816","1,858","5,156","3,081","1,835","2,202",387,"1,506","1,409","3,817","1,684","1,107","1,380","1,211"
2020년07월_여_40~49세,"53,211","1,705","1,969","1,938","2,714","2,609","1,285","3,517","3,449","4,301","2,338","2,966","4,652","2,035","3,660",511,"2,040","1,547","3,972","2,478","1,082","1,633",810
2020년07월_여_50~59세,"40,057","1,287","1,419","1,511","2,062","2,128","1,248","1,996","1,672","3,203","1,584","2,044","2,187","1,837","2,735",564,"1,992","1,570","3,097","1,902","1,362","1,349","1,308"
2020년07월_여_60~69세,"31,651",961,"1,309","1,272","1,769","1,609",958,"1,334",993,"2,055",844,"1,577","1,424","1,277","1,866",639,"1,542","1,241","2,696","1,502","1,390","1,448","1,945"
2020년07월_여_70~79세,"17,756",794,696,806,"1,314",937,521,927,504,993,575,862,953,610,"1,055",351,598,561,"1,399",553,748,864,"1,135"
2020년07월_여_80~89세,"6,658",313,287,249,488,327,161,266,180,347,160,295,291,264,379,123,218,184,778,251,348,279,470
2020년07월_여_90~99세,"1,685",59,48,68,121,98,46,61,50,92,31,72,66,64,101,38,67,53,195,90,86,59,120
2020년07월_여_100세 이상,231,9,16,13,16,19,7,11,12,19,7,19,18,4,14,11,8,6,7,4,5,5,1
