카테고리,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2021년04월_계_총인구수,"42,085","7,177","1,117","10,244","1,589","2,143","3,900","2,245","4,478","2,095","3,304","3,793"
2021년04월_계_연령구간인구수,"42,085","7,177","1,117","10,244","1,589","2,143","3,900","2,245","4,478","2,095","3,304","3,793"
2021년04월_계_0~9세,"1,462",448,41,429,40,46,126,62,124,37,54,55
2021년04월_계_10~19세,"2,258",663,26,721,50,73,149,62,266,36,104,108
2021년04월_계_20~29세,"2,745",593,62,835,69,114,204,122,255,123,175,193
2021년04월_계_30~39세,"2,692",625,89,802,84,111,255,110,230,95,127,164
2021년04월_계_40~49세,"4,361","1,003",89,"1,333",137,154,340,148,443,172,260,282
2021년04월_계_50~59세,"7,166","1,206",173,"1,743",243,337,655,429,749,424,578,629
2021년04월_계_60~69세,"9,764","1,290",274,"2,137",449,532,992,610,"1,082",537,838,"1,023"
2021년04월_계_70~79세,"6,678",794,194,"1,361",315,441,641,406,757,349,666,754
2021년04월_계_80~89세,"4,323",481,148,773,177,284,475,260,486,285,436,518
2021년04월_계_90~99세,625,73,20,106,25,51,62,35,85,37,64,67
2021년04월_계_100세 이상,11,1,1,4,0,0,1,1,1,0,2,0
2021년04월_남_총인구수,"20,707","3,512",561,"4,999",762,"1,029","1,913","1,113","2,190","1,039","1,685","1,904"
2021년04월_남_연령구간인구수,"20,707","3,512",561,"4,999",762,"1,029","1,913","1,113","2,190","1,039","1,685","1,904"
2021년04월_남_0~9세,760,236,20,208,16,26,66,35,65,24,35,29
2021년04월_남_10~19세,"1,149",327,20,354,31,39,64,25,148,24,61,56
2021년04월_남_20~29세,"1,620",347,30,472,43,70,123,77,147,76,110,125
2021년04월_남_30~39세,"1,453",306,52,444,48,63,139,56,110,54,75,106
2021년04월_남_40~49세,"2,420",518,62,710,83,94,202,76,242,85,168,180
2021년04월_남_50~59세,"3,820",619,94,906,127,179,360,229,398,239,329,340
2021년04월_남_60~69세,"4,914",641,135,"1,054",213,268,493,330,532,298,430,520
2021년04월_남_70~79세,"3,057",345,88,600,140,191,293,182,381,142,325,370
2021년04월_남_80~89세,"1,384",156,55,230,57,89,156,101,151,87,139,163
2021년04월_남_90~99세,129,17,4,21,4,10,17,2,16,10,13,15
2021년04월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"21,378","3,665",556,"5,245",827,"1,114","1,987","1,132","2,288","1,056","1,619","1,889"
2021년04월_여_연령구간인구수,"21,378","3,665",556,"5,245",827,"1,114","1,987","1,132","2,288","1,056","1,619","1,889"
2021년04월_여_0~9세,702,212,21,221,24,20,60,27,59,13,19,26
2021년04월_여_10~19세,"1,109",336,6,367,19,34,85,37,118,12,43,52
2021년04월_여_20~29세,"1,125",246,32,363,26,44,81,45,108,47,65,68
2021년04월_여_30~39세,"1,239",319,37,358,36,48,116,54,120,41,52,58
2021년04월_여_40~49세,"1,941",485,27,623,54,60,138,72,201,87,92,102
2021년04월_여_50~59세,"3,346",587,79,837,116,158,295,200,351,185,249,289
2021년04월_여_60~69세,"4,850",649,139,"1,083",236,264,499,280,550,239,408,503
2021년04월_여_70~79세,"3,621",449,106,761,175,250,348,224,376,207,341,384
2021년04월_여_80~89세,"2,939",325,93,543,120,195,319,159,335,198,297,355
2021년04월_여_90~99세,496,56,16,85,21,41,45,33,69,27,51,52
2021년04월_여_100세 이상,10,1,0,4,0,0,1,1,1,0,2,0
