,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년02월_계_총인구수,"402,642","35,979","21,162","24,495","23,821","20,254","29,300","9,258","22,913","27,174","34,346","31,538","20,635","22,783","38,802","23,873","16,309"
2021년02월_계_연령구간인구수,"402,642","35,979","21,162","24,495","23,821","20,254","29,300","9,258","22,913","27,174","34,346","31,538","20,635","22,783","38,802","23,873","16,309"
2021년02월_계_0~9세,"27,449","3,560","1,836",869,"1,316",790,"1,803",232,"1,287","1,776","2,176","2,117","1,149","1,200","3,154","1,440","2,744"
2021년02월_계_10~19세,"29,766","3,491","1,956","1,427","1,398","1,108","1,573",278,"1,907","2,213","2,418","2,305","1,438","1,226","3,859","1,972","1,197"
2021년02월_계_20~29세,"55,208","4,246","2,809","3,219","4,157","2,824","5,081","1,523","3,273","3,570","4,634","3,836","2,573","4,088","4,629","3,088","1,658"
2021년02월_계_30~39세,"62,507","6,165","3,844","2,908","4,981","2,888","5,447","1,257","2,848","3,254","5,096","4,475","2,727","4,356","5,135","3,257","3,869"
2021년02월_계_40~49세,"62,798","6,519","3,626","3,472","4,017","2,952","4,082","1,150","3,444","4,268","4,947","4,800","3,180","3,188","6,612","3,823","2,718"
2021년02월_계_50~59세,"63,128","5,107","3,016","4,693","3,062","3,507","4,565","1,853","3,916","4,724","5,859","4,968","3,448","3,037","5,691","3,916","1,766"
2021년02월_계_60~69세,"56,495","4,059","2,657","4,067","2,594","3,111","3,783","1,643","3,551","4,030","5,179","5,055","3,504","3,041","5,097","3,639","1,485"
2021년02월_계_70~79세,"31,927","2,000",983,"2,673","1,591","2,127","2,087",873,"1,932","2,347","2,858","2,929","1,820","1,860","3,267","1,964",616
2021년02월_계_80~89세,"11,633",725,362,"1,011",608,834,787,369,660,882,"1,035",919,705,688,"1,175",663,210
2021년02월_계_90~99세,"1,549",97,67,126,76,95,90,61,89,102,134,123,80,94,173,99,43
2021년02월_계_100세 이상,182,10,6,30,21,18,2,19,6,8,10,11,11,5,10,12,3
2021년02월_남_총인구수,"198,687","17,581","10,373","12,362","12,156","9,823","14,211","5,010","11,411","13,443","17,179","15,371","10,084","11,158","18,717","11,767","8,041"
2021년02월_남_연령구간인구수,"198,687","17,581","10,373","12,362","12,156","9,823","14,211","5,010","11,411","13,443","17,179","15,371","10,084","11,158","18,717","11,767","8,041"
2021년02월_남_0~9세,"13,999","1,764",945,449,684,411,927,125,657,881,"1,081","1,093",563,591,"1,626",745,"1,457"
2021년02월_남_10~19세,"15,328","1,792","1,035",754,709,557,794,152,975,"1,155","1,241","1,153",770,629,"1,961","1,066",585
2021년02월_남_20~29세,"27,110","2,068","1,332","1,682","2,039","1,324","2,228",789,"1,727","1,836","2,374","1,929","1,320","1,819","2,257","1,605",781
2021년02월_남_30~39세,"31,932","2,959","1,928","1,604","2,708","1,512","2,723",738,"1,487","1,639","2,670","2,243","1,409","2,261","2,529","1,661","1,861"
2021년02월_남_40~49세,"32,160","3,196","1,829","1,836","2,217","1,498","2,082",650,"1,735","2,153","2,528","2,452","1,639","1,678","3,327","1,884","1,456"
2021년02월_남_50~59세,"31,241","2,520","1,432","2,453","1,617","1,764","2,296","1,096","1,922","2,326","2,939","2,344","1,610","1,535","2,710","1,856",821
2021년02월_남_60~69세,"26,674","1,942","1,230","1,951","1,185","1,413","1,838",897,"1,697","1,966","2,494","2,318","1,605","1,463","2,280","1,735",660
2021년02월_남_70~79세,"15,141","1,033",485,"1,184",737,968,979,407,943,"1,097","1,377","1,420",860,887,"1,502",932,330
2021년02월_남_80~89세,"4,670",285,137,418,231,343,320,134,245,362,440,379,281,279,481,256,79
2021년02월_남_90~99세,391,20,18,25,27,28,24,18,22,26,33,37,23,15,41,23,11
2021년02월_남_100세 이상,41,2,2,6,2,5,0,4,1,2,2,3,4,1,3,4,0
2021년02월_여_총인구수,"203,955","18,398","10,789","12,133","11,665","10,431","15,089","4,248","11,502","13,731","17,167","16,167","10,551","11,625","20,085","12,106","8,268"
2021년02월_여_연령구간인구수,"203,955","18,398","10,789","12,133","11,665","10,431","15,089","4,248","11,502","13,731","17,167","16,167","10,551","11,625","20,085","12,106","8,268"
2021년02월_여_0~9세,"13,450","1,796",891,420,632,379,876,107,630,895,"1,095","1,024",586,609,"1,528",695,"1,287"
2021년02월_여_10~19세,"14,438","1,699",921,673,689,551,779,126,932,"1,058","1,177","1,152",668,597,"1,898",906,612
2021년02월_여_20~29세,"28,098","2,178","1,477","1,537","2,118","1,500","2,853",734,"1,546","1,734","2,260","1,907","1,253","2,269","2,372","1,483",877
2021년02월_여_30~39세,"30,575","3,206","1,916","1,304","2,273","1,376","2,724",519,"1,361","1,615","2,426","2,232","1,318","2,095","2,606","1,596","2,008"
