,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2021년01월_계_총인구수,"99,850","38,069","8,508","28,787","3,495","3,431","2,912","2,301","2,094","3,254","3,540","3,459"
2021년01월_계_연령구간인구수,"99,850","38,069","8,508","28,787","3,495","3,431","2,912","2,301","2,094","3,254","3,540","3,459"
2021년01월_계_0~9세,"7,646","2,434",281,"4,342",92,126,72,39,21,77,77,85
2021년01월_계_10~19세,"9,539","4,303",485,"3,712",121,217,112,65,61,144,146,173
2021년01월_계_20~29세,"9,625","4,835",584,"2,742",239,232,148,128,115,202,196,204
2021년01월_계_30~39세,"10,435","3,537",474,"5,144",204,183,144,97,95,150,209,198
2021년01월_계_40~49세,"14,439","6,070",805,"5,456",322,360,228,167,125,287,274,345
2021년01월_계_50~59세,"15,862","6,768","1,451","3,471",641,574,465,380,361,547,572,632
2021년01월_계_60~69세,"14,848","5,187","1,852","2,136",789,720,633,535,526,799,852,819
2021년01월_계_70~79세,"10,093","3,116","1,567","1,058",582,541,563,464,421,599,625,557
2021년01월_계_80~89세,"6,409","1,583",865,634,436,431,498,354,323,382,508,395
2021년01월_계_90~99세,892,218,124,90,68,45,47,71,46,60,74,49
2021년01월_계_100세 이상,62,18,20,2,1,2,2,1,0,7,7,2
2021년01월_남_총인구수,"49,659","18,860","4,165","14,423","1,776","1,729","1,399","1,159","1,031","1,599","1,777","1,741"
2021년01월_남_연령구간인구수,"49,659","18,860","4,165","14,423","1,776","1,729","1,399","1,159","1,031","1,599","1,777","1,741"
2021년01월_남_0~9세,"3,979","1,253",144,"2,261",51,72,39,21,10,36,46,46
2021년01월_남_10~19세,"4,873","2,195",268,"1,893",68,110,54,32,25,66,78,84
2021년01월_남_20~29세,"5,290","2,659",347,"1,376",142,158,88,82,79,119,119,121
2021년01월_남_30~39세,"5,429","1,854",272,"2,536",129,103,85,64,64,86,131,105
2021년01월_남_40~49세,"7,541","2,969",467,"2,779",198,198,144,110,86,191,184,215
2021년01월_남_50~59세,"8,296","3,475",746,"1,823",356,313,255,211,187,284,302,344
2021년01월_남_60~69세,"7,277","2,459",885,"1,033",410,374,310,277,259,400,438,432
2021년01월_남_70~79세,"4,484","1,378",683,489,251,250,236,215,190,267,269,256
2021년01월_남_80~89세,"2,243",551,308,216,152,142,175,129,124,134,183,129
2021년01월_남_90~99세,228,60,39,17,18,9,12,18,7,14,25,9
2021년01월_남_100세 이상,19,7,6,0,1,0,1,0,0,2,2,0
2021년01월_여_총인구수,"50,191","19,209","4,343","14,364","1,719","1,702","1,513","1,142","1,063","1,655","1,763","1,718"
2021년01월_여_연령구간인구수,"50,191","19,209","4,343","14,364","1,719","1,702","1,513","1,142","1,063","1,655","1,763","1,718"
2021년01월_여_0~9세,"3,667","1,181",137,"2,081",41,54,33,18,11,41,31,39
2021년01월_여_10~19세,"4,666","2,108",217,"1,819",53,107,58,33,36,78,68,89
2021년01월_여_20~29세,"4,335","2,176",237,"1,366",97,74,60,46,36,83,77,83
2021년01월_여_30~39세,"5,006","1,683",202,"2,608",75,80,59,33,31,64,78,93
2021년01월_여_40~49세,"6,898","3,101",338,"2,677",124,162,84,57,39,96,90,130
2021년01월_여_50~59세,"7,566","3,293",705,"1,648",285,261,210,169,174,263,270,288
2021년01월_여_60~69세,"7,571","2,728",967,"1,103",379,346,323,258,267,399,414,387
2021년01월_여_70~79세,"5,609","1,738",884,569,331,291,327,249,231,332,356,301
2021년01월_여_80~89세,"4,166","1,032",557,418,284,289,323,225,199,248,325,266
2021년01월_여_90~99세,664,158,85,73,50,36,35,53,39,46,49,40
2021년01월_여_100세 이상,43,11,14,2,0,2,1,1,0,5,5,2
