,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년03월_계_총인구수,"291,906","16,922","26,798","22,636","11,956","14,089","23,836","15,671","15,634","23,187","14,589","26,489","16,869","13,191","16,381","11,124","10,633","11,901"
2021년03월_계_연령구간인구수,"291,906","16,922","26,798","22,636","11,956","14,089","23,836","15,671","15,634","23,187","14,589","26,489","16,869","13,191","16,381","11,124","10,633","11,901"
2021년03월_계_0~9세,"19,957","1,184","2,303","1,188",420,971,"1,775","1,173","1,287","1,728","1,347","2,546","1,004",732,805,584,507,403
2021년03월_계_10~19세,"19,669","1,195","1,582","1,635",824,"1,015","2,083","1,639","1,062","1,431",963,"1,655","1,132",878,867,527,573,608
2021년03월_계_20~29세,"44,669","2,473","4,286","4,278","4,646","2,245","2,989","1,766","1,817","2,837","1,477","2,916","2,636","2,131","2,271","1,984","1,699","2,218"
2021년03월_계_30~39세,"48,250","2,905","4,648","3,253","1,575","2,257","3,641","2,228","2,682","4,193","2,720","5,029","2,865","2,403","2,596","1,960","1,601","1,694"
2021년03월_계_40~49세,"44,575","2,597","4,037","2,997","1,120","2,182","4,014","2,883","2,569","3,702","2,583","4,469","2,430","2,038","2,262","1,465","1,532","1,695"
2021년03월_계_50~59세,"47,116","2,754","4,391","3,680","1,294","2,278","3,925","2,493","2,373","3,694","2,131","3,898","3,149","2,011","3,104","1,809","1,964","2,168"
2021년03월_계_60~69세,"37,111","2,129","3,075","3,039",961,"1,680","2,844","1,697","2,141","2,993","1,812","3,295","2,242","1,704","2,659","1,541","1,650","1,649"
2021년03월_계_70~79세,"20,641","1,191","1,633","1,727",745,990,"1,745","1,178","1,127","1,745","1,059","1,761",975,897,"1,255",838,761,"1,014"
2021년03월_계_80~89세,"8,680",435,741,726,322,397,727,537,514,759,439,765,392,356,489,365,303,413
2021년03월_계_90~99세,"1,137",57,100,103,39,63,90,69,61,99,54,138,41,38,60,44,43,38
2021년03월_계_100세 이상,101,2,2,10,10,11,3,8,1,6,4,17,3,3,13,7,0,1
2021년03월_남_총인구수,"142,506","8,202","12,770","11,191","6,136","6,816","11,163","7,434","7,477","11,048","6,951","12,343","8,433","6,495","8,570","5,631","5,621","6,225"
2021년03월_남_연령구간인구수,"142,506","8,202","12,770","11,191","6,136","6,816","11,163","7,434","7,477","11,048","6,951","12,343","8,433","6,495","8,570","5,631","5,621","6,225"
2021년03월_남_0~9세,"10,183",595,"1,187",607,221,491,874,597,642,896,686,"1,273",541,376,424,303,261,209
2021년03월_남_10~19세,"9,820",607,803,817,358,493,949,806,558,707,506,857,581,441,447,268,313,309
2021년03월_남_20~29세,"22,059","1,174","1,981","2,158","2,548","1,085","1,399",860,913,"1,441",745,"1,337","1,368","1,049","1,191",931,880,999
2021년03월_남_30~39세,"23,722","1,455","2,157","1,687",874,"1,110","1,733","1,092","1,242","2,009","1,271","2,256","1,429","1,180","1,411","1,034",869,913
2021년03월_남_40~49세,"22,325","1,291","2,014","1,514",593,"1,068","1,932","1,373","1,312","1,817","1,277","2,200","1,175",993,"1,206",745,850,965
2021년03월_남_50~59세,"23,473","1,338","2,086","1,802",637,"1,104","1,919","1,216","1,145","1,754","1,048","1,795","1,597","1,036","1,673",970,"1,075","1,278"
2021년03월_남_60~69세,"18,137","1,036","1,525","1,505",444,842,"1,306",761,977,"1,381",807,"1,511","1,139",855,"1,427",819,886,916
2021년03월_남_70~79세,"9,183",517,729,780,323,438,755,509,488,757,443,768,449,428,575,396,356,472
2021년03월_남_80~89세,"3,267",175,265,293,123,160,274,199,183,251,150,304,138,127,204,144,119,158
2021년03월_남_90~99세,303,13,23,26,10,22,21,19,17,32,16,37,14,8,9,18,12,6
2021년03월_남_100세 이상,34,1,0,2,5,3,1,2,0,3,2,5,2,2,3,3,0,0
