,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년06월_계_총인구수,"22,924","8,098","2,278","3,741","2,018","1,950","2,354","1,163","1,322"
2021년06월_계_연령구간인구수,"22,924","8,098","2,278","3,741","2,018","1,950","2,354","1,163","1,322"
2021년06월_계_0~9세,642,396,37,90,38,14,38,15,14
2021년06월_계_10~19세,921,563,46,125,42,36,65,23,21
2021년06월_계_20~29세,"1,435",699,95,245,131,96,89,33,47
2021년06월_계_30~39세,"1,245",595,100,178,101,74,104,44,49
2021년06월_계_40~49세,"2,056","1,067",132,293,131,121,162,64,86
2021년06월_계_50~59세,"4,118","1,476",436,675,389,338,380,188,236
2021년06월_계_60~69세,"5,508","1,535",574,"1,002",536,518,615,325,403
2021년06월_계_70~79세,"3,990","1,047",445,675,358,412,509,256,288
2021년06월_계_80~89세,"2,659",637,364,405,253,306,349,191,154
2021년06월_계_90~99세,336,77,47,52,39,34,39,24,24
2021년06월_계_100세 이상,14,6,2,1,0,1,4,0,0
2021년06월_남_총인구수,"11,730","4,186","1,177","1,916","1,043",984,"1,140",589,695
2021년06월_남_연령구간인구수,"11,730","4,186","1,177","1,916","1,043",984,"1,140",589,695
2021년06월_남_0~9세,341,217,17,47,23,5,13,10,9
2021년06월_남_10~19세,507,323,27,60,30,13,32,10,12
2021년06월_남_20~29세,868,413,58,145,87,59,49,25,32
2021년06월_남_30~39세,723,330,57,96,66,49,61,30,34
2021년06월_남_40~49세,"1,200",569,84,184,81,86,105,41,50
2021년06월_남_50~59세,"2,341",817,257,377,213,195,220,124,138
2021년06월_남_60~69세,"2,915",790,314,556,284,273,298,170,230
2021년06월_남_70~79세,"1,860",489,213,316,162,196,233,112,139
2021년06월_남_80~89세,902,220,137,127,89,100,119,60,50
2021년06월_남_90~99세,72,17,13,8,8,8,10,7,1
2021년06월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년06월_여_총인구수,"11,194","3,912","1,101","1,825",975,966,"1,214",574,627
2021년06월_여_연령구간인구수,"11,194","3,912","1,101","1,825",975,966,"1,214",574,627
2021년06월_여_0~9세,301,179,20,43,15,9,25,5,5
2021년06월_여_10~19세,414,240,19,65,12,23,33,13,9
2021년06월_여_20~29세,567,286,37,100,44,37,40,8,15
2021년06월_여_30~39세,522,265,43,82,35,25,43,14,15
2021년06월_여_40~49세,856,498,48,109,50,35,57,23,36
2021년06월_여_50~59세,"1,777",659,179,298,176,143,160,64,98
2021년06월_여_60~69세,"2,593",745,260,446,252,245,317,155,173
2021년06월_여_70~79세,"2,130",558,232,359,196,216,276,144,149
2021년06월_여_80~89세,"1,757",417,227,278,164,206,230,131,104
2021년06월_여_90~99세,264,60,34,44,31,26,29,17,23
2021년06월_여_100세 이상,13,5,2,1,0,1,4,0,0
