카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년07월_계_총인구수,"284,507","7,804","6,653","45,873","16,408","19,636","25,664","30,228","2,902","9,745","19,127","4,062","3,735","44,339","48,331"
2020년07월_계_연령구간인구수,"284,507","7,804","6,653","45,873","16,408","19,636","25,664","30,228","2,902","9,745","19,127","4,062","3,735","44,339","48,331"
2020년07월_계_0~9세,"30,227",367,315,"3,943",990,"1,145","2,199","4,711",104,"1,518","2,569",138,169,"4,967","7,092"
2020년07월_계_10~19세,"24,385",444,421,"3,983","1,150","1,255","2,579","2,867",160,731,"1,814",204,194,"3,598","4,985"
2020년07월_계_20~29세,"34,336",981,992,"5,263","2,255","2,617","3,088","3,300",335,"1,081","2,196",480,476,"7,158","4,114"
2020년07월_계_30~39세,"48,776","1,022","1,020","6,839","2,326","2,983","3,424","5,798",400,"2,256","3,362",437,452,"10,159","8,298"
2020년07월_계_40~49세,"49,826","1,060",927,"7,352","2,332","2,619","4,476","5,775",387,"1,613","3,682",567,496,"8,254","10,286"
2020년07월_계_50~59세,"41,185","1,505","1,249","7,206","2,994","3,598","4,128","3,824",590,"1,119","2,877",795,778,"4,696","5,826"
2020년07월_계_60~69세,"33,561","1,485",987,"6,590","2,633","3,284","3,339","2,479",528,870,"1,842",789,723,"3,342","4,670"
2020년07월_계_70~79세,"15,594",620,501,"3,390","1,233","1,492","1,702",948,261,375,590,403,299,"1,543","2,237"
2020년07월_계_80~89세,"5,529",268,208,"1,117",420,534,619,393,112,151,156,213,135,523,680
2020년07월_계_90~99세,964,44,27,174,62,100,101,105,18,25,36,28,11,96,137
2020년07월_계_100세 이상,124,8,6,16,13,9,9,28,7,6,3,8,2,3,6
2020년07월_남_총인구수,"142,973","4,279","3,437","22,662","8,299","9,894","12,786","14,981","1,603","4,898","9,336","2,271","2,142","22,539","23,846"
2020년07월_남_연령구간인구수,"142,973","4,279","3,437","22,662","8,299","9,894","12,786","14,981","1,603","4,898","9,336","2,271","2,142","22,539","23,846"
2020년07월_남_0~9세,"15,424",182,156,"1,970",508,606,"1,168","2,361",57,777,"1,264",71,89,"2,582","3,633"
2020년07월_남_10~19세,"12,451",237,223,"2,068",621,624,"1,335","1,456",84,385,878,110,100,"1,799","2,531"
2020년07월_남_20~29세,"17,637",561,541,"2,736","1,211","1,425","1,664","1,661",196,525,"1,100",263,274,"3,394","2,086"
2020년07월_남_30~39세,"24,633",607,600,"3,476","1,255","1,624","1,758","2,693",246,"1,119","1,485",275,285,"5,410","3,800"
2020년07월_남_40~49세,"26,201",629,503,"3,706","1,221","1,360","2,221","3,042",230,867,"1,906",352,315,"4,447","5,402"
2020년07월_남_50~59세,"20,376",847,645,"3,412","1,418","1,765","1,982","1,873",321,545,"1,369",481,451,"2,418","2,849"
2020년07월_남_60~69세,"16,291",801,468,"3,148","1,263","1,599","1,589","1,220",289,427,956,428,413,"1,500","2,190"
2020년07월_남_70~79세,"7,764",311,221,"1,655",618,711,813,505,128,197,322,196,159,799,"1,129"
2020년07월_남_80~89세,"1,950",91,73,443,166,165,229,139,43,45,48,89,53,170,196
2020년07월_남_90~99세,211,11,5,42,15,12,26,21,7,10,8,4,3,19,28
2020년07월_남_100세 이상,35,2,2,6,3,3,1,10,2,1,0,2,0,1,2
2020년07월_여_총인구수,"141,534","3,525","3,216","23,211","8,109","9,742","12,878","15,247","1,299","4,847","9,791","1,791","1,593","21,800","24,485"
2020년07월_여_연령구간인구수,"141,534","3,525","3,216","23,211","8,109","9,742","12,878","15,247","1,299","4,847","9,791","1,791","1,593","21,800","24,485"
2020년07월_여_0~9세,"14,803",185,159,"1,973",482,539,"1,031","2,350",47,741,"1,305",67,80,"2,385","3,459"
2020년07월_여_10~19세,"11,934",207,198,"1,915",529,631,"1,244","1,411",76,346,936,94,94,"1,799","2,454"
2020년07월_여_20~29세,"16,699",420,451,"2,527","1,044","1,192","1,424","1,639",139,556,"1,096",217,202,"3,764","2,028"
2020년07월_여_30~39세,"24,143",415,420,"3,363","1,071","1,359","1,666","3,105",154,"1,137","1,877",162,167,"4,749","4,498"
2020년07월_여_40~49세,"23,625",431,424,"3,646","1,111","1,259","2,255","2,733",157,746,"1,776",215,181,"3,807","4,884"
2020년07월_여_50~59세,"20,809",658,604,"3,794","1,576","1,833","2,146","1,951",269,574,"1,508",314,327,"2,278","2,977"
2020년07월_여_60~69세,"17,270",684,519,"3,442","1,370","1,685","1,750","1,259",239,443,886,361,310,"1,842","2,480"
2020년07월_여_70~79세,"7,830",309,280,"1,735",615,781,889,443,133,178,268,207,140,744,"1,108"
2020년07월_여_80~89세,"3,579",177,135,674,254,369,390,254,69,106,108,124,82,353,484
2020년07월_여_90~99세,753,33,22,132,47,88,75,84,11,15,28,24,8,77,109
2020년07월_여_100세 이상,89,6,4,10,10,6,8,18,5,5,3,6,2,2,4
