,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2020년11월_계_총인구수,"395,194","24,908","18,915","14,484","34,565","22,385","25,580","24,795","19,867","20,290","25,655","35,520","19,484","30,417","17,179","39,886","21,264"
2020년11월_계_연령구간인구수,"395,194","24,908","18,915","14,484","34,565","22,385","25,580","24,795","19,867","20,290","25,655","35,520","19,484","30,417","17,179","39,886","21,264"
2020년11월_계_0~9세,"23,221","1,290","1,040","1,272","1,623","1,189","1,118","1,872",802,"1,289","1,064","2,416","1,126","1,492",801,"3,427","1,400"
2020년11월_계_10~19세,"26,942","1,615","1,209",919,"2,016","1,290","1,523","1,997",815,"1,351","1,194","3,160","1,232","1,891","1,181","3,807","1,742"
2020년11월_계_20~29세,"56,133","3,424","2,479","1,765","5,298","3,129","3,825","3,582","4,030","2,938","3,771","5,017","2,742","4,213","2,334","4,971","2,615"
2020년11월_계_30~39세,"58,262","3,330","2,664","2,613","5,343","3,438","3,594","3,656","4,095","3,228","3,752","4,988","3,139","4,107","2,182","5,181","2,952"
2020년11월_계_40~49세,"58,028","3,734","2,959","2,204","5,109","3,186","3,549","3,593","2,627","2,838","3,514","5,918","2,916","4,130","2,458","6,050","3,243"
2020년11월_계_50~59세,"69,716","4,934","3,264","2,476","6,347","3,939","4,728","4,438","3,129","3,413","4,995","5,567","3,235","5,742","3,338","6,607","3,564"
2020년11월_계_60~69세,"58,020","3,676","2,860","1,865","4,889","3,512","3,999","3,305","2,482","3,081","4,113","4,706","2,932","5,043","2,745","5,545","3,267"
2020년11월_계_70~79세,"31,383","2,043","1,825",995,"2,812","1,953","2,297","1,614","1,355","1,527","2,282","2,608","1,546","2,625","1,467","2,810","1,624"
2020년11월_계_80~89세,"11,680",739,517,341,982,649,826,650,456,552,861,987,541,"1,003",571,"1,248",757
2020년11월_계_90~99세,"1,601",112,86,29,119,88,110,85,64,68,91,130,63,151,87,223,95
2020년11월_계_100세 이상,208,11,12,5,27,12,11,3,12,5,18,23,12,20,15,17,5
