카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년11월_계_총인구수,"22,899","8,132","2,243","3,743","2,006","1,944","2,359","1,174","1,298"
2021년11월_계_연령구간인구수,"22,899","8,132","2,243","3,743","2,006","1,944","2,359","1,174","1,298"
2021년11월_계_0~9세,603,381,31,86,34,14,31,15,11
2021년11월_계_10~19세,917,575,41,117,43,32,68,23,18
2021년11월_계_20~29세,"1,395",694,88,234,118,94,91,36,40
2021년11월_계_30~39세,"1,205",598,101,174,86,66,91,45,44
2021년11월_계_40~49세,"2,014","1,046",130,283,127,121,165,64,78
2021년11월_계_50~59세,"4,130","1,499",425,686,380,340,375,189,236
2021년11월_계_60~69세,"5,587","1,563",572,"1,021",554,527,624,324,402
2021년11월_계_70~79세,"4,002","1,042",451,680,363,409,512,258,287
2021년11월_계_80~89세,"2,688",650,354,407,263,309,355,196,154
2021년11월_계_90~99세,343,78,47,55,38,30,43,24,28
2021년11월_계_100세 이상,15,6,3,0,0,2,4,0,0
2021년11월_남_총인구수,"11,730","4,208","1,164","1,931","1,042",970,"1,147",592,676
2021년11월_남_연령구간인구수,"11,730","4,208","1,164","1,931","1,042",970,"1,147",592,676
2021년11월_남_0~9세,328,214,16,46,21,4,12,9,6
2021년11월_남_10~19세,500,323,23,57,31,12,32,12,10
2021년11월_남_20~29세,838,411,51,138,76,59,49,26,28
2021년11월_남_30~39세,710,332,60,98,61,41,54,33,31
2021년11월_남_40~49세,"1,174",558,83,175,81,89,104,38,46
2021년11월_남_50~59세,"2,361",835,251,398,205,191,217,127,137
2021년11월_남_60~69세,"2,968",805,315,562,301,276,309,168,232
2021년11월_남_70~79세,"1,861",485,217,317,161,192,238,114,137
2021년11월_남_80~89세,918,226,133,130,97,101,122,60,49
2021년11월_남_90~99세,71,18,15,10,8,5,10,5,0
2021년11월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년11월_여_총인구수,"11,169","3,924","1,079","1,812",964,974,"1,212",582,622
2021년11월_여_연령구간인구수,"11,169","3,924","1,079","1,812",964,974,"1,212",582,622
2021년11월_여_0~9세,275,167,15,40,13,10,19,6,5
2021년11월_여_10~19세,417,252,18,60,12,20,36,11,8
2021년11월_여_20~29세,557,283,37,96,42,35,42,10,12
2021년11월_여_30~39세,495,266,41,76,25,25,37,12,13
2021년11월_여_40~49세,840,488,47,108,46,32,61,26,32
2021년11월_여_50~59세,"1,769",664,174,288,175,149,158,62,99
2021년11월_여_60~69세,"2,619",758,257,459,253,251,315,156,170
2021년11월_여_70~79세,"2,141",557,234,363,202,217,274,144,150
2021년11월_여_80~89세,"1,770",424,221,277,166,208,233,136,105
2021년11월_여_90~99세,272,60,32,45,30,25,33,19,28
2021년11월_여_100세 이상,14,5,3,0,0,2,4,0,0
