,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년09월_계_총인구수,"262,311","25,726","36,037","20,937","6,059","5,576","3,365","3,758","3,026","10,156","6,638","20,224","36,958","29,871","16,211","37,769"
2020년09월_계_연령구간인구수,"262,311","25,726","36,037","20,937","6,059","5,576","3,365","3,758","3,026","10,156","6,638","20,224","36,958","29,871","16,211","37,769"
2020년09월_계_0~9세,"20,751","1,714","2,469","2,384",188,148,79,111,87,622,246,"2,060","2,946","3,308","1,076","3,313"
2020년09월_계_10~19세,"22,742","2,777","3,614","1,173",296,248,107,158,115,604,406,"2,007","4,061","2,257",813,"4,106"
2020년09월_계_20~29세,"35,769","3,790","5,298","3,144",536,486,211,273,263,"1,610","1,018","2,090","4,484","3,774","3,688","5,104"
2020년09월_계_30~39세,"33,211","2,611","3,924","4,201",495,417,212,228,196,"1,212",695,"2,794","4,087","4,528","2,815","4,796"
2020년09월_계_40~49세,"41,558","4,098","6,417","2,998",654,624,267,408,292,"1,353",840,"3,540","6,559","4,565","2,263","6,680"
2020년09월_계_50~59세,"44,617","4,243","6,867","2,838","1,214","1,073",635,735,604,"1,934","1,301","3,049","6,269","5,085","2,441","6,329"
2020년09월_계_60~69세,"34,143","3,251","3,924","2,281","1,370","1,254",835,849,693,"1,708","1,109","2,510","4,720","3,577","1,801","4,261"
2020년09월_계_70~79세,"19,252","2,090","2,259","1,237",808,828,594,554,483,770,651,"1,496","2,560","1,931",879,"2,112"
2020년09월_계_80~89세,"9,143","1,035","1,151",609,436,442,370,382,242,305,335,600,"1,131",757,391,957
2020년09월_계_90~99세,"1,057",105,107,68,55,53,53,57,49,36,34,69,136,85,42,108
2020년09월_계_100세 이상,68,12,7,4,7,3,2,3,2,2,3,9,5,4,2,3
2020년09월_남_총인구수,"132,085","12,924","18,766","11,083","3,238","2,831","1,763","1,948","1,540","4,938","3,298","9,958","17,711","14,360","8,818","18,909"
2020년09월_남_연령구간인구수,"132,085","12,924","18,766","11,083","3,238","2,831","1,763","1,948","1,540","4,938","3,298","9,958","17,711","14,360","8,818","18,909"
2020년09월_남_0~9세,"10,595",916,"1,266","1,247",109,73,40,54,46,305,135,"1,042","1,442","1,641",558,"1,721"
2020년09월_남_10~19세,"11,797","1,451","1,841",610,154,131,56,83,65,317,226,"1,090","2,000","1,137",442,"2,194"
2020년09월_남_20~29세,"19,655","2,128","3,024","1,742",319,278,139,165,164,841,547,"1,127","2,325","2,006","2,035","2,815"
2020년09월_남_30~39세,"17,800","1,419","2,224","2,365",278,263,136,134,110,625,405,"1,419","1,988","2,224","1,718","2,492"
2020년09월_남_40~49세,"21,264","2,002","3,316","1,727",396,381,174,244,174,652,426,"1,772","3,183","2,209","1,310","3,298"
2020년09월_남_50~59세,"22,449","2,186","3,702","1,454",693,533,351,414,328,918,653,"1,475","3,009","2,324","1,283","3,126"
2020년09월_남_60~69세,"16,674","1,566","2,025","1,160",733,649,462,470,340,818,533,"1,151","2,225","1,630",883,"2,029"
2020년09월_남_70~79세,"8,474",867,955,559,394,372,277,260,228,358,262,640,"1,087",864,446,905
2020년09월_남_80~89세,"3,136",364,382,203,148,142,120,111,71,97,103,224,420,301,137,313
2020년09월_남_90~99세,229,23,31,16,10,9,8,13,12,7,8,16,32,23,5,16
2020년09월_남_100세 이상,12,2,0,0,4,0,0,0,2,0,0,2,0,1,1,0
2020년09월_여_총인구수,"130,226","12,802","17,271","9,854","2,821","2,745","1,602","1,810","1,486","5,218","3,340","10,266","19,247","15,511","7,393","18,860"
2020년09월_여_연령구간인구수,"130,226","12,802","17,271","9,854","2,821","2,745","1,602","1,810","1,486","5,218","3,340","10,266","19,247","15,511","7,393","18,860"
2020년09월_여_0~9세,"10,156",798,"1,203","1,137",79,75,39,57,41,317,111,"1,018","1,504","1,667",518,"1,592"
2020년09월_여_10~19세,"10,945","1,326","1,773",563,142,117,51,75,50,287,180,917,"2,061","1,120",371,"1,912"
2020년09월_여_20~29세,"16,114","1,662","2,274","1,402",217,208,72,108,99,769,471,963,"2,159","1,768","1,653","2,289"
2020년09월_여_30~39세,"15,411","1,192","1,700","1,836",217,154,76,94,86,587,290,"1,375","2,099","2,304","1,097","2,304"
2020년09월_여_40~49세,"20,294","2,096","3,101","1,271",258,243,93,164,118,701,414,"1,768","3,376","2,356",953,"3,382"
2020년09월_여_50~59세,"22,168","2,057","3,165","1,384",521,540,284,321,276,"1,016",648,"1,574","3,260","2,761","1,158","3,203"
2020년09월_여_60~69세,"17,469","1,685","1,899","1,121",637,605,373,379,353,890,576,"1,359","2,495","1,947",918,"2,232"
2020년09월_여_70~79세,"10,778","1,223","1,304",678,414,456,317,294,255,412,389,856,"1,473","1,067",433,"1,207"
2020년09월_여_80~89세,"6,007",671,769,406,288,300,250,271,171,208,232,376,711,456,254,644
2020년09월_여_90~99세,828,82,76,52,45,44,45,44,37,29,26,53,104,62,37,92
2020년09월_여_100세 이상,56,10,7,4,3,3,2,3,0,2,3,7,5,3,1,3
