,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년10월_계_총인구수,"45,033","10,065","3,112","3,530","1,957","1,889","2,300","3,498","6,084","1,772","1,768","1,548","4,365","3,145"
2020년10월_계_연령구간인구수,"45,033","10,065","3,112","3,530","1,957","1,889","2,300","3,498","6,084","1,772","1,768","1,548","4,365","3,145"
2020년10월_계_0~9세,"1,905",588,96,104,52,52,78,98,371,25,69,76,168,128
2020년10월_계_10~19세,"2,913",903,220,186,90,71,119,134,470,72,89,159,235,165
2020년10월_계_20~29세,"3,510","1,031",225,212,134,117,159,293,478,96,94,85,276,310
2020년10월_계_30~39세,"2,821",850,131,154,96,97,121,185,452,70,107,79,241,238
2020년10월_계_40~49세,"5,039","1,390",372,343,185,161,226,340,802,142,156,137,396,389
2020년10월_계_50~59세,"8,505","1,832",716,733,352,365,404,668,"1,084",306,296,261,853,635
2020년10월_계_60~69세,"8,833","1,639",596,753,429,418,491,750,"1,083",387,377,388,967,555
2020년10월_계_70~79세,"6,396","1,138",462,586,310,300,357,577,742,342,301,219,638,424
2020년10월_계_80~89세,"4,368",602,250,388,275,264,286,387,512,279,240,120,500,265
2020년10월_계_90~99세,720,90,42,68,34,43,58,64,87,50,37,23,88,36
2020년10월_계_100세 이상,23,2,2,3,0,1,1,2,3,3,2,1,3,0
2020년10월_남_총인구수,"22,488","4,971","1,577","1,743",953,920,"1,140","1,786","3,020",866,859,821,"2,184","1,648"
2020년10월_남_연령구간인구수,"22,488","4,971","1,577","1,743",953,920,"1,140","1,786","3,020",866,859,821,"2,184","1,648"
2020년10월_남_0~9세,997,303,48,65,32,23,47,52,173,13,28,49,91,73
2020년10월_남_10~19세,"1,553",453,118,105,56,40,55,68,253,28,51,107,127,92
2020년10월_남_20~29세,"2,112",590,127,135,78,70,104,196,291,64,52,48,158,199
2020년10월_남_30~39세,"1,558",444,72,81,52,55,74,123,233,43,61,43,130,147
2020년10월_남_40~49세,"2,817",731,195,190,103,99,131,202,444,81,91,80,237,233
2020년10월_남_50~59세,"4,652",957,407,397,191,188,230,385,583,174,171,140,468,361
2020년10월_남_60~69세,"4,572",818,317,392,224,216,254,368,550,204,206,210,521,292
2020년10월_남_70~79세,"2,752",477,194,242,126,141,151,252,323,160,123,109,283,171
2020년10월_남_80~89세,"1,323",180,90,129,78,74,85,130,157,84,65,31,151,69
2020년10월_남_90~99세,148,18,8,7,13,13,9,10,13,14,10,4,18,11
2020년10월_남_100세 이상,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020년10월_여_총인구수,"22,545","5,094","1,535","1,787","1,004",969,"1,160","1,712","3,064",906,909,727,"2,181","1,497"
2020년10월_여_연령구간인구수,"22,545","5,094","1,535","1,787","1,004",969,"1,160","1,712","3,064",906,909,727,"2,181","1,497"
2020년10월_여_0~9세,908,285,48,39,20,29,31,46,198,12,41,27,77,55
2020년10월_여_10~19세,"1,360",450,102,81,34,31,64,66,217,44,38,52,108,73
2020년10월_여_20~29세,"1,398",441,98,77,56,47,55,97,187,32,42,37,118,111
2020년10월_여_30~39세,"1,263",406,59,73,44,42,47,62,219,27,46,36,111,91
2020년10월_여_40~49세,"2,222",659,177,153,82,62,95,138,358,61,65,57,159,156
2020년10월_여_50~59세,"3,853",875,309,336,161,177,174,283,501,132,125,121,385,274
2020년10월_여_60~69세,"4,261",821,279,361,205,202,237,382,533,183,171,178,446,263
2020년10월_여_70~79세,"3,644",661,268,344,184,159,206,325,419,182,178,110,355,253
2020년10월_여_80~89세,"3,045",422,160,259,197,190,201,257,355,195,175,89,349,196
2020년10월_여_90~99세,572,72,34,61,21,30,49,54,74,36,27,19,70,25
2020년10월_여_100세 이상,19,2,1,3,0,0,1,2,3,2,1,1,3,0
