,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2020년07월_계_총인구수,"311,198","24,928","22,280","30,676","27,807","32,361","19,210","16,671","17,787","21,386","21,580","23,647","21,025","31,840"
2020년07월_계_연령구간인구수,"311,198","24,928","22,280","30,676","27,807","32,361","19,210","16,671","17,787","21,386","21,580","23,647","21,025","31,840"
2020년07월_계_0~9세,"16,552","1,376",854,"1,619","1,169","3,119",748,735,"1,015","1,080","1,109",883,"1,139","1,706"
2020년07월_계_10~19세,"22,661","2,045","1,385","2,117","1,709","4,068","1,128","1,147","1,396","1,391","1,465","1,161","1,438","2,211"
2020년07월_계_20~29세,"43,225","3,201","3,791","4,298","3,747","3,441","3,336","2,161","2,000","3,102","3,065","4,267","2,676","4,140"
2020년07월_계_30~39세,"39,594","3,059","2,948","4,242","3,357","3,931","2,878","1,873","1,814","2,812","2,549","3,490","2,629","4,012"
2020년07월_계_40~49세,"47,905","3,822","3,153","4,747","4,069","6,690","2,965","2,520","2,731","3,067","3,133","3,344","3,065","4,599"
2020년07월_계_50~59세,"53,133","4,450","3,875","5,216","5,107","4,939","3,151","2,852","2,826","3,707","3,810","4,073","3,609","5,518"
2020년07월_계_60~69세,"45,202","3,740","3,283","4,505","4,549","3,274","2,561","2,652","2,672","3,254","3,230","3,334","3,231","4,917"
2020년07월_계_70~79세,"30,018","2,253","2,081","2,816","2,877","2,000","1,758","1,981","2,514","2,010","2,158","2,182","2,167","3,221"
2020년07월_계_80~89세,"11,190",819,799,970,"1,062",774,598,673,718,814,937,803,906,"1,317"
2020년07월_계_90~99세,"1,474",133,102,117,137,100,79,71,92,112,119,96,134,182
2020년07월_계_100세 이상,244,30,9,29,24,25,8,6,9,37,5,14,31,17
2020년07월_남_총인구수,"151,707","12,439","10,731","14,738","13,854","15,553","9,598","8,102","8,399","10,562","10,342","11,762","10,234","15,393"
2020년07월_남_연령구간인구수,"151,707","12,439","10,731","14,738","13,854","15,553","9,598","8,102","8,399","10,562","10,342","11,762","10,234","15,393"
2020년07월_남_0~9세,"8,559",720,453,835,600,"1,621",388,395,532,541,566,431,615,862
2020년07월_남_10~19세,"11,667","1,070",725,"1,026",852,"2,079",598,612,704,705,782,637,766,"1,111"
2020년07월_남_20~29세,"21,198","1,663","1,672","2,087","1,931","1,689","1,604","1,122","1,022","1,562","1,460","2,072","1,260","2,054"
2020년07월_남_30~39세,"20,818","1,614","1,561","2,155","1,800","1,843","1,539","1,049",940,"1,520","1,361","1,909","1,408","2,119"
2020년07월_남_40~49세,"24,509","1,941","1,630","2,424","2,149","3,233","1,574","1,271","1,390","1,657","1,566","1,773","1,556","2,345"
2020년07월_남_50~59세,"25,949","2,266","1,867","2,448","2,581","2,450","1,625","1,397","1,354","1,777","1,787","2,052","1,724","2,621"
2020년07월_남_60~69세,"21,024","1,747","1,564","2,068","2,216","1,514","1,209","1,201","1,175","1,515","1,500","1,543","1,506","2,266"
2020년07월_남_70~79세,"13,071","1,040",914,"1,250","1,256",835,789,795,985,920,916,977,952,"1,442"
2020년07월_남_80~89세,"4,441",330,317,402,423,261,246,244,272,328,372,330,394,522
2020년07월_남_90~99세,410,38,27,31,41,21,25,13,24,33,31,36,45,45
2020년07월_남_100세 이상,61,10,1,12,5,7,1,3,1,4,1,2,8,6
2020년07월_여_총인구수,"159,491","12,489","11,549","15,938","13,953","16,808","9,612","8,569","9,388","10,824","11,238","11,885","10,791","16,447"
2020년07월_여_연령구간인구수,"159,491","12,489","11,549","15,938","13,953","16,808","9,612","8,569","9,388","10,824","11,238","11,885","10,791","16,447"
2020년07월_여_0~9세,"7,993",656,401,784,569,"1,498",360,340,483,539,543,452,524,844
2020년07월_여_10~19세,"10,994",975,660,"1,091",857,"1,989",530,535,692,686,683,524,672,"1,100"
2020년07월_여_20~29세,"22,027","1,538","2,119","2,211","1,816","1,752","1,732","1,039",978,"1,540","1,605","2,195","1,416","2,086"
2020년07월_여_30~39세,"18,776","1,445","1,387","2,087","1,557","2,088","1,339",824,874,"1,292","1,188","1,581","1,221","1,893"
2020년07월_여_40~49세,"23,396","1,881","1,523","2,323","1,920","3,457","1,391","1,249","1,341","1,410","1,567","1,571","1,509","2,254"
2020년07월_여_50~59세,"27,184","2,184","2,008","2,768","2,526","2,489","1,526","1,455","1,472","1,930","2,023","2,021","1,885","2,897"
2020년07월_여_60~69세,"24,178","1,993","1,719","2,437","2,333","1,760","1,352","1,451","1,497","1,739","1,730","1,791","1,725","2,651"
2020년07월_여_70~79세,"16,947","1,213","1,167","1,566","1,621","1,165",969,"1,186","1,529","1,090","1,242","1,205","1,215","1,779"
2020년07월_여_80~89세,"6,749",489,482,568,639,513,352,429,446,486,565,473,512,795
2020년07월_여_90~99세,"1,064",95,75,86,96,79,54,58,68,79,88,60,89,137
2020년07월_여_100세 이상,183,20,8,17,19,18,7,3,8,33,4,12,23,11
