카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년01월_계_총인구수,"222,275","26,770","6,203","7,234","12,252","10,297","5,549","51,214","10,024","27,437","28,334","36,961"
2020년01월_계_연령구간인구수,"222,275","26,770","6,203","7,234","12,252","10,297","5,549","51,214","10,024","27,437","28,334","36,961"
2020년01월_계_0~9세,"19,748","1,576",178,417,691,512,218,"5,533",671,"2,050","2,575","5,327"
2020년01월_계_10~19세,"23,803","2,672",359,453,959,581,310,"7,363",814,"2,852","3,902","3,538"
2020년01월_계_20~29세,"26,238","3,395",711,840,"1,354","1,081",607,"5,065","1,649","3,627","3,779","4,130"
2020년01월_계_30~39세,"27,446","2,461",536,831,"1,229","1,109",475,"5,980","1,191","2,976","3,156","7,502"
2020년01월_계_40~49세,"38,617","4,089",738,842,"1,850","1,186",679,"10,837","1,479","4,543","5,554","6,820"
2020년01월_계_50~59세,"36,828","5,279","1,360","1,389","2,558","1,819","1,146","7,169","1,853","5,446","4,573","4,236"
2020년01월_계_60~69세,"26,305","3,940","1,276","1,296","1,960","2,056","1,054","4,765","1,278","3,321","2,269","3,090"
2020년01월_계_70~79세,"15,704","2,228",652,709,"1,061","1,239",695,"3,257",712,"1,829","1,636","1,686"
2020년01월_계_80~89세,"6,591",986,329,372,521,575,321,"1,094",326,711,809,547
2020년01월_계_90~99세,927,139,61,78,64,131,40,141,39,77,78,79
2020년01월_계_100세 이상,68,5,3,7,5,8,4,10,12,5,3,6
2020년01월_남_총인구수,"112,770","13,500","3,497","4,032","6,622","5,263","2,890","25,054","5,252","13,876","14,052","18,732"
2020년01월_남_연령구간인구수,"112,770","13,500","3,497","4,032","6,622","5,263","2,890","25,054","5,252","13,876","14,052","18,732"
2020년01월_남_0~9세,"10,051",760,103,209,354,279,117,"2,825",327,"1,060","1,307","2,710"
2020년01월_남_10~19세,"12,194","1,400",192,246,517,316,169,"3,705",410,"1,462","2,018","1,759"
2020년01월_남_20~29세,"14,091","1,844",416,533,799,622,314,"2,571",964,"1,920","1,977","2,131"
2020년01월_남_30~39세,"14,134","1,304",336,492,703,612,270,"2,835",651,"1,555","1,545","3,831"
2020년01월_남_40~49세,"19,873","2,077",457,509,"1,045",644,390,"5,369",780,"2,342","2,730","3,530"
2020년01월_남_50~59세,"19,345","2,706",814,815,"1,450",907,596,"3,734","1,000","2,783","2,346","2,194"
2020년01월_남_60~69세,"13,156","2,013",711,732,"1,050","1,023",575,"2,086",650,"1,669","1,122","1,525"
2020년01월_남_70~79세,"7,245","1,001",331,341,496,608,327,"1,482",333,811,666,849
2020년01월_남_80~89세,"2,455",366,123,137,192,222,123,413,122,257,309,191
2020년01월_남_90~99세,215,29,14,16,16,27,7,34,13,17,30,12
2020년01월_남_100세 이상,11,0,0,2,0,3,2,0,2,0,2,0
2020년01월_여_총인구수,"109,505","13,270","2,706","3,202","5,630","5,034","2,659","26,160","4,772","13,561","14,282","18,229"
2020년01월_여_연령구간인구수,"109,505","13,270","2,706","3,202","5,630","5,034","2,659","26,160","4,772","13,561","14,282","18,229"
2020년01월_여_0~9세,"9,697",816,75,208,337,233,101,"2,708",344,990,"1,268","2,617"
2020년01월_여_10~19세,"11,609","1,272",167,207,442,265,141,"3,658",404,"1,390","1,884","1,779"
2020년01월_여_20~29세,"12,147","1,551",295,307,555,459,293,"2,494",685,"1,707","1,802","1,999"
2020년01월_여_30~39세,"13,312","1,157",200,339,526,497,205,"3,145",540,"1,421","1,611","3,671"
2020년01월_여_40~49세,"18,744","2,012",281,333,805,542,289,"5,468",699,"2,201","2,824","3,290"
2020년01월_여_50~59세,"17,483","2,573",546,574,"1,108",912,550,"3,435",853,"2,663","2,227","2,042"
2020년01월_여_60~69세,"13,149","1,927",565,564,910,"1,033",479,"2,679",628,"1,652","1,147","1,565"
2020년01월_여_70~79세,"8,459","1,227",321,368,565,631,368,"1,775",379,"1,018",970,837
2020년01월_여_80~89세,"4,136",620,206,235,329,353,198,681,204,454,500,356
2020년01월_여_90~99세,712,110,47,62,48,104,33,107,26,60,48,67
2020년01월_여_100세 이상,57,5,3,5,5,5,2,10,10,5,1,6
