카테고리,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년04월_계_총인구수,"54,222","21,201","2,256","2,640","2,794","2,524","2,437","2,778","1,806","3,286","2,509","3,144","1,964","2,241","2,642"
2021년04월_계_연령구간인구수,"54,222","21,201","2,256","2,640","2,794","2,524","2,437","2,778","1,806","3,286","2,509","3,144","1,964","2,241","2,642"
2021년04월_계_0~9세,"2,614","1,787",48,76,81,59,63,77,39,75,65,82,43,48,71
2021년04월_계_10~19세,"4,161","2,616",100,99,207,119,156,103,52,144,103,154,71,110,127
2021년04월_계_20~29세,"4,162","2,291",147,156,168,130,154,143,74,166,148,207,118,140,120
2021년04월_계_30~39세,"3,774","2,065",118,137,126,141,117,132,93,155,158,175,107,116,134
2021년04월_계_40~49세,"6,120","3,140",192,242,251,209,243,221,143,278,251,313,182,209,246
2021년04월_계_50~59세,"8,912","3,398",406,484,456,402,410,423,288,578,489,535,283,359,401
2021년04월_계_60~69세,"9,927","2,885",488,561,545,554,485,634,412,713,529,682,441,457,541
2021년04월_계_70~79세,"8,315","1,819",414,509,580,502,476,613,347,661,459,540,389,430,576
2021년04월_계_80~89세,"5,359","1,009",295,323,340,355,293,374,310,452,267,393,282,311,355
2021년04월_계_90~99세,844,183,46,50,38,50,39,56,47,63,39,60,48,58,67
2021년04월_계_100세 이상,34,8,2,3,2,3,1,2,1,1,1,3,0,3,4
2021년04월_남_총인구수,"26,821","10,494","1,163","1,344","1,372","1,234","1,181","1,353",883,"1,625","1,260","1,540","1,002","1,087","1,283"
2021년04월_남_연령구간인구수,"26,821","10,494","1,163","1,344","1,372","1,234","1,181","1,353",883,"1,625","1,260","1,540","1,002","1,087","1,283"
2021년04월_남_0~9세,"1,386",941,24,37,46,35,38,41,18,43,38,43,20,25,37
2021년04월_남_10~19세,"2,272","1,425",61,56,123,53,94,47,32,79,51,74,51,53,73
2021년04월_남_20~29세,"2,371","1,265",90,94,102,82,86,80,49,101,78,123,72,80,69
2021년04월_남_30~39세,"2,027","1,025",73,80,63,86,61,82,55,95,96,103,62,59,87
2021년04월_남_40~49세,"3,466","1,577",123,153,159,125,145,151,92,179,170,179,124,132,157
2021년04월_남_50~59세,"4,892","1,697",243,297,262,234,227,256,180,313,273,293,164,207,246
2021년04월_남_60~69세,"4,933","1,372",276,281,259,267,238,295,198,384,267,358,238,241,259
2021년04월_남_70~79세,"3,628",797,185,226,240,233,204,289,157,275,197,229,172,184,240
2021년04월_남_80~89세,"1,708",360,85,111,112,110,79,107,91,143,85,130,91,101,103
2021년04월_남_90~99세,136,34,3,8,6,9,9,5,11,13,5,8,8,5,12
2021년04월_남_100세 이상,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"27,401","10,707","1,093","1,296","1,422","1,290","1,256","1,425",923,"1,661","1,249","1,604",962,"1,154","1,359"
2021년04월_여_연령구간인구수,"27,401","10,707","1,093","1,296","1,422","1,290","1,256","1,425",923,"1,661","1,249","1,604",962,"1,154","1,359"
2021년04월_여_0~9세,"1,228",846,24,39,35,24,25,36,21,32,27,39,23,23,34
2021년04월_여_10~19세,"1,889","1,191",39,43,84,66,62,56,20,65,52,80,20,57,54
2021년04월_여_20~29세,"1,791","1,026",57,62,66,48,68,63,25,65,70,84,46,60,51
2021년04월_여_30~39세,"1,747","1,040",45,57,63,55,56,50,38,60,62,72,45,57,47
2021년04월_여_40~49세,"2,654","1,563",69,89,92,84,98,70,51,99,81,134,58,77,89
2021년04월_여_50~59세,"4,020","1,701",163,187,194,168,183,167,108,265,216,242,119,152,155
2021년04월_여_60~69세,"4,994","1,513",212,280,286,287,247,339,214,329,262,324,203,216,282
2021년04월_여_70~79세,"4,687","1,022",229,283,340,269,272,324,190,386,262,311,217,246,336
2021년04월_여_80~89세,"3,651",649,210,212,228,245,214,267,219,309,182,263,191,210,252
2021년04월_여_90~99세,708,149,43,42,32,41,30,51,36,50,34,52,40,53,55
2021년04월_여_100세 이상,32,7,2,2,2,3,1,2,1,1,1,3,0,3,4
