,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년02월_계_총인구수,"2,119,542","658,295","257,397","400,898","104,319","99,673","317,626","175,623","116,315","43,128","166,218","51,227","65,039","51,657","30,750","99,753","78,048","61,871"
2021년02월_계_연령구간인구수,"2,119,542","658,295","257,397","400,898","104,319","99,673","317,626","175,623","116,315","43,128","166,218","51,227","65,039","51,657","30,750","99,753","78,048","61,871"
2021년02월_계_0~9세,"170,553","61,482","20,099","41,383","5,681","5,996","32,544","15,317","7,140","3,901","15,309","2,517","2,892","2,282","1,248","7,637","3,584","3,023"
2021년02월_계_10~19세,"201,869","68,162","26,113","42,049","8,100","8,215","34,606","17,186","9,742","6,309","15,659","4,254","4,627","3,438","2,005","9,523","5,690","4,353"
2021년02월_계_20~29세,"241,076","95,877","35,100","60,777","11,091","9,408","36,755","19,085","11,215","4,911","15,972","3,972","5,281","3,816","2,569","9,502","6,743","4,879"
2021년02월_계_30~39세,"266,151","104,608","32,850","71,758","9,406","9,232","48,186","21,971","10,639","4,671","22,565","3,649","4,322","3,388","2,070","10,367","6,085","4,992"
2021년02월_계_40~49세,"328,338","112,168","42,764","69,404","13,261","13,883","56,927","27,843","15,296","8,413","26,793","6,191","7,146","5,786","3,087","14,445","9,464","7,635"
2021년02월_계_50~59세,"339,335","102,951","43,604","59,347","18,320","17,008","46,557","28,428","19,555","6,958","25,990","8,976","10,710","8,465","5,234","15,830","13,560","10,793"
2021년02월_계_60~69세,"284,032","65,060","31,883","33,177","18,678","17,304","32,616","22,328","20,252","4,580","21,366","9,997","13,234","10,282","6,229","14,964","14,971","12,171"
2021년02월_계_70~79세,"171,696","30,289","15,598","14,691","11,514","11,286","18,115","13,974","13,029","2,075","13,284","6,837","9,384","8,031","4,511","10,086","10,425","8,856"
2021년02월_계_80~89세,"100,919","15,278","8,080","7,198","7,156","6,317","9,854","8,197","8,140","1,121","8,040","4,239","6,391","5,283","3,325","6,438","6,630","4,510"
2021년02월_계_90~99세,"14,637","2,241","1,219","1,022","1,049",958,"1,348","1,237","1,213",180,"1,168",566,996,842,453,898,856,632
2021년02월_계_100세 이상,936,179,87,92,63,66,118,57,94,9,72,29,56,44,19,63,40,27
2021년02월_남_총인구수,"1,082,026","336,095","130,449","205,646","52,177","50,499","164,838","91,471","58,131","21,495","88,241","25,815","32,214","25,507","15,572","49,639","39,184","31,148"
2021년02월_남_연령구간인구수,"1,082,026","336,095","130,449","205,646","52,177","50,499","164,838","91,471","58,131","21,495","88,241","25,815","32,214","25,507","15,572","49,639","39,184","31,148"
