카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년03월_계_총인구수,"96,855","6,539","1,408","3,871","3,025",998,"2,639","3,978","1,659","1,958","2,576","1,738",760,"1,986","2,765","1,226",332,"2,721","1,143",378,"2,123","2,048",821,"12,113","9,071","8,068","8,291","3,592","9,028"
2021년03월_계_연령구간인구수,"96,855","6,539","1,408","3,871","3,025",998,"2,639","3,978","1,659","1,958","2,576","1,738",760,"1,986","2,765","1,226",332,"2,721","1,143",378,"2,123","2,048",821,"12,113","9,071","8,068","8,291","3,592","9,028"
2021년03월_계_0~9세,"5,133",283,40,108,89,29,85,93,58,56,95,57,25,65,138,28,5,91,21,9,34,60,28,882,704,589,562,162,737
2021년03월_계_10~19세,"7,515",537,59,163,156,34,97,220,65,84,150,66,39,100,145,65,10,151,43,19,94,86,33,"1,292",849,820,770,341,"1,027"
2021년03월_계_20~29세,"7,895",388,68,196,157,51,140,188,75,102,152,96,27,99,142,66,14,120,42,12,96,92,46,"1,278",964,746,856,295,"1,387"
2021년03월_계_30~39세,"7,323",446,71,211,122,37,152,200,85,95,128,91,45,105,175,65,9,142,30,9,97,69,34,"1,223","1,031",809,736,256,850
2021년03월_계_40~49세,"11,350",725,106,331,253,75,198,302,127,135,248,154,59,169,256,112,24,283,81,24,165,192,63,"1,759","1,366","1,177","1,161",479,"1,326"
2021년03월_계_50~59세,"16,609","1,059",237,632,504,200,432,629,287,376,498,329,151,384,522,260,68,480,166,70,297,301,163,"2,086","1,550","1,386","1,523",620,"1,399"
2021년03월_계_60~69세,"18,632","1,356",312,900,665,235,636,995,386,510,652,436,200,456,622,280,101,603,302,75,538,437,190,"1,865","1,451","1,238","1,309",646,"1,236"
2021년03월_계_70~79세,"12,515",948,296,668,553,149,469,747,297,331,384,274,109,348,412,186,54,454,254,69,414,422,139,"1,117",708,750,846,481,636
2021년03월_계_80~89세,"8,520",687,194,571,442,167,366,521,238,240,234,203,93,213,314,141,42,344,174,80,330,322,99,524,392,493,460,271,365
2021년03월_계_90~99세,"1,321",103,24,88,82,21,62,81,41,28,32,32,12,47,39,21,5,51,28,11,57,65,26,85,56,57,65,38,64
2021년03월_계_100세 이상,42,7,1,3,2,0,2,2,0,1,3,0,0,0,0,2,0,2,2,0,1,2,0,2,0,3,3,3,1
2021년03월_남_총인구수,"47,455","3,137",689,"1,896","1,469",491,"1,291","1,954",831,999,"1,291",881,364,998,"1,347",616,172,"1,289",526,200,"1,004",984,396,"5,922","4,517","3,845","4,037","1,752","4,557"
