,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년07월_계_총인구수,"34,858","13,769","4,329","2,348","1,151","2,548","1,820","2,840","1,882","1,680",668,"1,823"
2020년07월_계_연령구간인구수,"34,858","13,769","4,329","2,348","1,151","2,548","1,820","2,840","1,882","1,680",668,"1,823"
2020년07월_계_0~9세,"1,854","1,041",243,74,26,60,88,116,51,53,20,82
2020년07월_계_10~19세,"2,572","1,381",339,124,48,144,96,134,79,91,50,86
2020년07월_계_20~29세,"2,882","1,536",351,151,64,131,80,184,117,99,33,136
2020년07월_계_30~39세,"2,551","1,355",319,112,52,120,93,171,100,77,28,124
2020년07월_계_40~49세,"3,832","1,875",485,199,114,201,168,264,129,155,56,186
2020년07월_계_50~59세,"5,750","2,289",709,401,178,384,298,437,333,273,111,337
2020년07월_계_60~69세,"6,084","1,970",723,467,257,551,392,584,348,326,112,354
2020년07월_계_70~79세,"5,281","1,425",612,459,253,522,324,528,387,318,134,319
2020년07월_계_80~89세,"3,533",778,480,320,132,377,255,364,296,243,105,183
2020년07월_계_90~99세,489,108,66,39,26,52,25,55,40,43,19,16
2020년07월_계_100세 이상,30,11,2,2,1,6,1,3,2,2,0,0
2020년07월_남_총인구수,"16,828","6,623","2,107","1,139",546,"1,224",862,"1,393",911,788,328,907
2020년07월_남_연령구간인구수,"16,828","6,623","2,107","1,139",546,"1,224",862,"1,393",911,788,328,907
2020년07월_남_0~9세,924,538,119,40,7,26,32,57,30,22,12,41
2020년07월_남_10~19세,"1,329",686,189,56,27,80,51,66,42,55,29,48
2020년07월_남_20~29세,"1,607",822,218,85,38,78,45,116,66,52,18,69
2020년07월_남_30~39세,"1,301",664,168,64,29,66,39,91,58,43,9,70
2020년07월_남_40~49세,"2,139",943,261,118,71,124,110,157,91,100,42,122
2020년07월_남_50~59세,"3,094","1,160",378,228,98,221,162,247,194,148,70,188
2020년07월_남_60~69세,"3,022",943,389,242,121,279,187,300,169,165,56,171
2020년07월_남_70~79세,"2,248",621,235,196,118,224,150,222,160,118,64,140
2020년07월_남_80~89세,"1,069",225,136,105,35,112,83,124,93,77,22,57
2020년07월_남_90~99세,91,20,14,5,2,13,3,12,7,8,6,1
2020년07월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년07월_여_총인구수,"18,030","7,146","2,222","1,209",605,"1,324",958,"1,447",971,892,340,916
2020년07월_여_연령구간인구수,"18,030","7,146","2,222","1,209",605,"1,324",958,"1,447",971,892,340,916
2020년07월_여_0~9세,930,503,124,34,19,34,56,59,21,31,8,41
2020년07월_여_10~19세,"1,243",695,150,68,21,64,45,68,37,36,21,38
2020년07월_여_20~29세,"1,275",714,133,66,26,53,35,68,51,47,15,67
2020년07월_여_30~39세,"1,250",691,151,48,23,54,54,80,42,34,19,54
2020년07월_여_40~49세,"1,693",932,224,81,43,77,58,107,38,55,14,64
2020년07월_여_50~59세,"2,656","1,129",331,173,80,163,136,190,139,125,41,149
2020년07월_여_60~69세,"3,062","1,027",334,225,136,272,205,284,179,161,56,183
2020년07월_여_70~79세,"3,033",804,377,263,135,298,174,306,227,200,70,179
2020년07월_여_80~89세,"2,464",553,344,215,97,265,172,240,203,166,83,126
2020년07월_여_90~99세,398,88,52,34,24,39,22,43,33,35,13,15
2020년07월_여_100세 이상,26,10,2,2,1,5,1,2,1,2,0,0
