,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년03월_계_총인구수,"146,006","12,319","9,271","12,222","17,149","11,501","10,605","11,062","11,227","7,250","9,643","15,958","9,275","8,524"
2021년03월_계_연령구간인구수,"146,006","12,319","9,271","12,222","17,149","11,501","10,605","11,062","11,227","7,250","9,643","15,958","9,275","8,524"
2021년03월_계_0~9세,"6,690",769,362,843,834,491,372,370,464,256,533,770,326,300
2021년03월_계_10~19세,"9,287","1,043",525,988,"1,326",736,615,603,626,394,631,885,475,440
2021년03월_계_20~29세,"20,352","1,225","1,132","1,251","2,091","1,790","1,989","1,543","1,655","1,408","1,444","2,446","1,343","1,035"
2021년03월_계_30~39세,"16,962","1,256","1,132","1,369","1,866","1,370","1,303","1,145","1,219",852,"1,275","2,138","1,129",908
2021년03월_계_40~49세,"20,109","1,971","1,350","1,722","2,508","1,562","1,352","1,484","1,364",869,"1,387","2,328","1,183","1,029"
2021년03월_계_50~59세,"24,733","1,989","1,626","2,035","2,927","2,017","1,656","1,973","2,024","1,156","1,569","2,660","1,588","1,513"
2021년03월_계_60~69세,"24,295","1,770","1,541","2,025","2,869","1,901","1,602","2,007","2,091","1,148","1,458","2,452","1,683","1,748"
2021년03월_계_70~79세,"15,108","1,387",958,"1,214","1,694","1,097","1,110","1,299","1,204",745,867,"1,525",991,"1,017"
2021년03월_계_80~89세,"7,425",772,576,670,915,462,539,556,515,377,418,646,501,478
2021년03월_계_90~99세,977,130,65,100,111,73,62,73,59,42,57,99,53,53
2021년03월_계_100세 이상,68,7,4,5,8,2,5,9,6,3,4,9,3,3
2021년03월_남_총인구수,"70,169","5,801","4,459","5,872","8,143","5,607","5,008","5,479","5,473","3,460","4,627","7,775","4,394","4,071"
2021년03월_남_연령구간인구수,"70,169","5,801","4,459","5,872","8,143","5,607","5,008","5,479","5,473","3,460","4,627","7,775","4,394","4,071"
2021년03월_남_0~9세,"3,452",423,182,426,446,257,183,206,223,150,252,396,162,146
2021년03월_남_10~19세,"4,901",569,289,504,678,397,293,323,338,213,340,468,257,232
2021년03월_남_20~29세,"10,180",621,549,667,"1,043",905,932,781,881,617,705,"1,245",671,563
2021년03월_남_30~39세,"8,945",617,612,709,954,719,702,648,674,444,648,"1,106",592,520
2021년03월_남_40~49세,"10,158",966,691,833,"1,194",809,697,819,701,456,678,"1,199",596,519
2021년03월_남_50~59세,"12,086",981,806,949,"1,463",955,816,"1,034",999,578,783,"1,274",737,711
2021년03월_남_60~69세,"11,096",769,720,947,"1,268",885,731,924,958,536,691,"1,143",753,771
2021년03월_남_70~79세,"6,427",547,387,547,719,488,461,535,522,320,378,659,437,427
2021년03월_남_80~89세,"2,688",279,210,259,347,175,177,194,164,133,144,261,176,169
2021년03월_남_90~99세,223,29,11,29,30,17,15,14,10,13,8,23,12,12
2021년03월_남_100세 이상,13,0,2,2,1,0,1,1,3,0,0,1,1,1
2021년03월_여_총인구수,"75,837","6,518","4,812","6,350","9,006","5,894","5,597","5,583","5,754","3,790","5,016","8,183","4,881","4,453"
2021년03월_여_연령구간인구수,"75,837","6,518","4,812","6,350","9,006","5,894","5,597","5,583","5,754","3,790","5,016","8,183","4,881","4,453"
2021년03월_여_0~9세,"3,238",346,180,417,388,234,189,164,241,106,281,374,164,154
2021년03월_여_10~19세,"4,386",474,236,484,648,339,322,280,288,181,291,417,218,208
2021년03월_여_20~29세,"10,172",604,583,584,"1,048",885,"1,057",762,774,791,739,"1,201",672,472
2021년03월_여_30~39세,"8,017",639,520,660,912,651,601,497,545,408,627,"1,032",537,388
2021년03월_여_40~49세,"9,951","1,005",659,889,"1,314",753,655,665,663,413,709,"1,129",587,510
2021년03월_여_50~59세,"12,647","1,008",820,"1,086","1,464","1,062",840,939,"1,025",578,786,"1,386",851,802
2021년03월_여_60~69세,"13,199","1,001",821,"1,078","1,601","1,016",871,"1,083","1,133",612,767,"1,309",930,977
2021년03월_여_70~79세,"8,681",840,571,667,975,609,649,764,682,425,489,866,554,590
2021년03월_여_80~89세,"4,737",493,366,411,568,287,362,362,351,244,274,385,325,309
2021년03월_여_90~99세,754,101,54,71,81,56,47,59,49,29,49,76,41,41
2021년03월_여_100세 이상,55,7,2,3,7,2,4,8,3,3,4,8,2,2
