,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년04월_계_총인구수,"282,069","2,692","4,570","18,289","33,148","11,987","2,924","1,784","3,151","1,532",872,"3,256","5,537","2,836","3,675","6,839","25,310","6,264","44,222","7,728","8,825","2,847","2,333","3,065","18,475","40,290","19,618"
2021년04월_계_연령구간인구수,"282,069","2,692","4,570","18,289","33,148","11,987","2,924","1,784","3,151","1,532",872,"3,256","5,537","2,836","3,675","6,839","25,310","6,264","44,222","7,728","8,825","2,847","2,333","3,065","18,475","40,290","19,618"
2021년04월_계_0~9세,"23,144",44,122,"1,476","5,922",760,55,34,56,18,15,80,138,58,136,417,"1,923",344,"3,306",359,342,120,53,84,"2,083","3,431","1,768"
2021년04월_계_10~19세,"29,839",117,198,"2,516","5,012","1,010",97,67,118,39,42,146,283,151,260,588,"2,658",528,"5,245",588,664,185,106,200,"1,727","4,750","2,544"
2021년04월_계_20~29세,"37,330",196,404,"3,148","3,234","1,261",150,119,186,76,52,230,419,280,355,"1,164","3,863",749,"6,593",924,"1,103",339,260,368,"2,178","6,368","3,311"
2021년04월_계_30~39세,"33,046",114,267,"2,188","6,666","1,119",117,96,142,68,27,143,269,149,279,833,"2,838",618,"4,962",758,778,248,214,278,"2,548","4,944","2,383"
2021년04월_계_40~49세,"43,113",213,453,"3,316","6,947","1,657",213,130,221,125,55,241,513,266,430,864,"3,724",869,"6,972",964,"1,053",307,271,402,"2,855","6,693","3,359"
2021년04월_계_50~59세,"49,213",524,869,"3,567","3,473","2,197",469,301,523,272,143,531,969,565,557,994,"4,495","1,149","8,565","1,327","1,700",460,452,528,"3,085","7,624","3,874"
2021년04월_계_60~69세,"35,253",576,944,"1,286","1,320","2,001",647,422,708,322,190,776,"1,137",582,774,923,"3,465","1,077","5,548","1,395","1,606",525,494,578,"2,194","4,127","1,636"
2021년04월_계_70~79세,"19,038",455,721,473,387,"1,199",646,336,635,317,171,624,924,443,577,671,"1,536",606,"2,034",961,"1,068",435,316,408,"1,111","1,494",490
2021년04월_계_80~89세,"10,405",390,508,279,159,678,453,239,488,255,140,414,779,288,265,345,691,268,856,395,450,193,138,190,585,738,221
2021년04월_계_90~99세,"1,615",62,83,37,27,103,76,39,73,33,36,69,101,50,40,38,108,53,130,56,59,35,28,25,104,118,32
2021년04월_계_100세 이상,73,1,1,3,1,2,1,1,1,7,1,2,5,4,2,2,9,3,11,1,2,0,1,4,5,3,0
2021년04월_남_총인구수,"140,756","1,330","2,355","9,033","16,859","5,993","1,469",850,"1,590",796,418,"1,576","2,766","1,457","1,804","3,402","12,401","3,169","22,070","3,846","4,459","1,393","1,217","1,563","9,315","19,959","9,666"
2021년04월_남_연령구간인구수,"140,756","1,330","2,355","9,033","16,859","5,993","1,469",850,"1,590",796,418,"1,576","2,766","1,457","1,804","3,402","12,401","3,169","22,070","3,846","4,459","1,393","1,217","1,563","9,315","19,959","9,666"
2021년04월_남_0~9세,"11,839",31,55,740,"3,040",403,26,17,31,13,9,39,71,38,67,205,979,181,"1,636",195,184,62,29,44,"1,097","1,748",899
2021년04월_남_10~19세,"15,564",53,107,"1,330","2,666",538,52,27,67,23,21,81,143,84,140,324,"1,332",280,"2,738",307,353,93,60,108,905,"2,466","1,266"
2021년04월_남_20~29세,"20,359",122,239,"1,703","1,690",662,89,55,116,45,32,119,242,172,200,622,"2,109",412,"3,671",515,623,177,130,220,"1,203","3,376","1,815"
