카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년10월_계_총인구수,"166,802","8,822","30,342","5,303","9,730","2,403","3,611","3,534","5,043","5,092","15,438","11,738","24,716","23,128","17,902"
2021년10월_계_연령구간인구수,"166,802","8,822","30,342","5,303","9,730","2,403","3,611","3,534","5,043","5,092","15,438","11,738","24,716","23,128","17,902"
2021년10월_계_0~9세,"14,663",296,"3,737",145,380,62,102,87,159,168,"1,327","1,037","2,399","2,914","1,850"
2021년10월_계_10~19세,"15,790",552,"2,727",271,469,83,173,184,296,306,"1,812",998,"2,576","2,666","2,677"
2021년10월_계_20~29세,"15,791",628,"2,232",370,905,129,280,206,338,382,"1,375",989,"3,407","2,409","2,141"
2021년10월_계_30~39세,"21,825",658,"5,134",276,"1,076",127,210,226,262,297,"1,471","1,809","4,378","3,654","2,247"
2021년10월_계_40~49세,"26,924","1,085","5,560",508,"1,331",184,295,347,492,562,"2,567","2,031","4,362","4,094","3,506"
2021년10월_계_50~59세,"26,431","1,508","4,577",914,"1,989",338,589,643,925,830,"2,505","1,894","3,550","3,308","2,861"
2021년10월_계_60~69세,"22,533","1,839","3,484","1,254","1,845",636,866,850,"1,108","1,113","2,172","1,494","2,254","2,214","1,404"
2021년10월_계_70~79세,"13,353","1,295","1,722",859,"1,006",487,610,574,790,813,"1,314",843,"1,167","1,145",728
2021년10월_계_80~89세,"8,247",821,"1,022",609,633,308,415,348,580,551,783,558,548,646,425
2021년10월_계_90~99세,"1,204",133,146,91,93,46,69,69,89,69,109,81,73,75,61
2021년10월_계_100세 이상,41,7,1,6,3,3,2,0,4,1,3,4,2,3,2
2021년10월_남_총인구수,"88,773","4,652","16,822","2,714","5,764","1,208","1,846","1,817","2,544","2,555","7,870","6,735","13,203","11,797","9,246"
2021년10월_남_연령구간인구수,"88,773","4,652","16,822","2,714","5,764","1,208","1,846","1,817","2,544","2,555","7,870","6,735","13,203","11,797","9,246"
2021년10월_남_0~9세,"7,451",162,"1,913",78,193,38,43,39,70,76,675,508,"1,207","1,511",938
2021년10월_남_10~19세,"8,306",312,"1,441",137,256,45,85,102,160,168,923,524,"1,340","1,396","1,417"
2021년10월_남_20~29세,"9,242",370,"1,319",209,626,81,167,128,191,234,786,630,"1,982","1,290","1,229"
2021년10월_남_30~39세,"12,517",411,"2,879",156,742,78,126,129,155,171,764,"1,191","2,590","1,919","1,206"
2021년10월_남_40~49세,"15,137",660,"3,378",294,917,117,169,208,288,321,"1,356","1,278","2,337","2,107","1,707"
2021년10월_남_50~59세,"14,974",873,"2,768",533,"1,264",178,326,355,512,454,"1,397","1,173","1,865","1,741","1,535"
2021년10월_남_60~69세,"11,601",904,"1,892",638,"1,044",313,455,429,556,563,"1,078",813,"1,144","1,073",699
2021년10월_남_70~79세,"6,305",613,837,413,477,234,301,298,390,364,591,384,518,531,354
2021년10월_남_80~89세,"2,939",308,357,232,225,112,161,115,195,183,276,214,201,220,140
2021년10월_남_90~99세,296,39,38,23,20,11,13,14,27,20,23,20,19,9,20
2021년10월_남_100세 이상,5,0,0,1,0,1,0,0,0,1,1,0,0,0,1
2021년10월_여_총인구수,"78,029","4,170","13,520","2,589","3,966","1,195","1,765","1,717","2,499","2,537","7,568","5,003","11,513","11,331","8,656"
2021년10월_여_연령구간인구수,"78,029","4,170","13,520","2,589","3,966","1,195","1,765","1,717","2,499","2,537","7,568","5,003","11,513","11,331","8,656"
2021년10월_여_0~9세,"7,212",134,"1,824",67,187,24,59,48,89,92,652,529,"1,192","1,403",912
2021년10월_여_10~19세,"7,484",240,"1,286",134,213,38,88,82,136,138,889,474,"1,236","1,270","1,260"
2021년10월_여_20~29세,"6,549",258,913,161,279,48,113,78,147,148,589,359,"1,425","1,119",912
2021년10월_여_30~39세,"9,308",247,"2,255",120,334,49,84,97,107,126,707,618,"1,788","1,735","1,041"
2021년10월_여_40~49세,"11,787",425,"2,182",214,414,67,126,139,204,241,"1,211",753,"2,025","1,987","1,799"
2021년10월_여_50~59세,"11,457",635,"1,809",381,725,160,263,288,413,376,"1,108",721,"1,685","1,567","1,326"
2021년10월_여_60~69세,"10,932",935,"1,592",616,801,323,411,421,552,550,"1,094",681,"1,110","1,141",705
2021년10월_여_70~79세,"7,048",682,885,446,529,253,309,276,400,449,723,459,649,614,374
2021년10월_여_80~89세,"5,308",513,665,377,408,196,254,233,385,368,507,344,347,426,285
2021년10월_여_90~99세,908,94,108,68,73,35,56,55,62,49,86,61,54,66,41
2021년10월_여_100세 이상,36,7,1,5,3,2,2,0,4,0,2,4,2,3,1
