,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년12월_계_총인구수,"115,613","12,044","2,664","2,933","1,452","2,334","2,507","3,585","1,971","4,688","4,343","3,435","1,899","4,286","7,689","2,711","5,010","8,925","3,350","3,503","36,284"
2020년12월_계_연령구간인구수,"115,613","12,044","2,664","2,933","1,452","2,334","2,507","3,585","1,971","4,688","4,343","3,435","1,899","4,286","7,689","2,711","5,010","8,925","3,350","3,503","36,284"
2020년12월_계_0~9세,"10,133","1,120",48,64,17,84,46,60,35,100,128,83,30,118,626,150,243,759,112,123,"6,187"
2020년12월_계_10~19세,"9,389",772,144,135,52,125,83,158,50,164,205,135,53,205,865,224,361,924,251,217,"4,266"
2020년12월_계_20~29세,"12,414","1,189",204,262,101,147,182,246,125,351,395,319,114,316,"1,156",342,537,"1,325",285,387,"4,431"
2020년12월_계_30~39세,"14,591","1,617",127,169,68,125,123,196,89,279,317,260,95,243,937,259,387,944,222,295,"7,839"
2020년12월_계_40~49세,"16,461","1,705",221,257,124,227,189,304,161,387,445,364,156,376,"1,226",403,614,"1,377",318,423,"7,184"
2020년12월_계_50~59세,"17,256","1,963",476,532,250,366,394,607,348,896,779,672,386,736,"1,297",444,853,"1,453",641,620,"3,543"
2020년12월_계_60~69세,"16,167","1,899",579,626,325,513,573,825,437,"1,086",867,726,444,904,813,407,866,"1,050",644,676,"1,907"
2020년12월_계_70~79세,"11,550","1,131",496,493,280,431,520,663,383,782,764,506,367,823,471,294,753,718,529,474,672
2020년12월_계_80~89세,"6,596",565,310,346,202,283,351,455,298,540,374,322,221,494,265,156,343,313,297,237,224
2020년12월_계_90~99세,991,79,54,46,33,29,46,67,43,98,62,48,32,67,31,32,50,61,47,36,30
2020년12월_계_100세 이상,65,4,5,3,0,4,0,4,2,5,7,0,1,4,2,0,3,1,4,15,1
2020년12월_남_총인구수,"58,194","6,068","1,332","1,535",714,"1,170","1,243","1,792",961,"2,406","2,269","1,784",978,"2,222","3,819","1,343","2,517","4,469","1,705","1,843","18,024"
2020년12월_남_연령구간인구수,"58,194","6,068","1,332","1,535",714,"1,170","1,243","1,792",961,"2,406","2,269","1,784",978,"2,222","3,819","1,343","2,517","4,469","1,705","1,843","18,024"
2020년12월_남_0~9세,"5,155",571,24,35,7,44,20,28,15,60,69,39,17,59,318,73,138,396,66,54,"3,122"
2020년12월_남_10~19세,"4,856",407,73,77,27,65,50,96,27,80,112,68,24,121,426,120,221,492,112,114,"2,144"
2020년12월_남_20~29세,"6,580",637,114,150,65,85,113,142,73,197,225,180,67,181,640,197,298,730,158,222,"2,106"
