카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년01월_계_총인구수,"2,942,452","139,762","62,485","404,843","388,409","524,800","494,487","296,200","541,823","69,245","20,398"
2021년01월_계_연령구간인구수,"2,942,452","139,762","62,485","404,843","388,409","524,800","494,487","296,200","541,823","69,245","20,398"
2021년01월_계_0~9세,"227,148","11,846","3,690","27,100","38,424","41,363","32,613","18,320","49,508","3,339",945
2021년01월_계_10~19세,"273,616","12,662","5,005","31,640","42,767","49,762","42,979","26,532","56,574","4,604","1,091"
2021년01월_계_20~29세,"400,479","19,046","6,628","57,166","52,262","70,858","70,016","44,035","72,446","5,330","2,692"
2021년01월_계_30~39세,"405,098","21,233","6,826","55,783","58,001","72,068","67,213","37,684","79,070","5,325","1,895"
2021년01월_계_40~49세,"483,494","24,601","9,953","63,539","68,684","88,577","77,169","45,582","95,245","7,770","2,374"
2021년01월_계_50~59세,"511,934","20,481","10,181","67,127","64,602","90,035","90,010","60,501","93,480","11,920","3,597"
2021년01월_계_60~69세,"371,191","16,031","10,082","56,037","39,268","66,355","66,619","39,475","58,932","14,361","4,031"
2021년01월_계_70~79세,"178,045","9,360","6,730","31,351","15,699","30,951","31,497","15,550","24,475","10,057","2,375"
2021년01월_계_80~89세,"78,046","3,794","2,875","12,912","7,303","12,653","14,053","7,318","10,305","5,684","1,149"
2021년01월_계_90~99세,"12,423",626,441,"2,011","1,335","2,038","2,112","1,131","1,677",817,235
2021년01월_계_100세 이상,978,82,74,177,64,140,206,72,111,38,14
2021년01월_남_총인구수,"1,473,639","72,524","31,549","203,854","193,006","260,654","244,412","147,690","273,693","34,664","11,593"
2021년01월_남_연령구간인구수,"1,473,639","72,524","31,549","203,854","193,006","260,654","244,412","147,690","273,693","34,664","11,593"
2021년01월_남_0~9세,"116,621","6,111","1,926","13,864","19,586","21,268","16,703","9,304","25,614","1,763",482
2021년01월_남_10~19세,"140,769","6,588","2,597","16,306","21,961","25,475","22,258","13,645","28,987","2,364",588
2021년01월_남_20~29세,"208,707","9,683","3,603","30,097","27,069","36,571","36,027","23,070","37,585","3,040","1,962"
2021년01월_남_30~39세,"209,491","11,518","3,653","30,009","28,539","37,103","34,690","19,629","40,386","2,795","1,169"
2021년01월_남_40~49세,"247,140","13,427","5,370","33,630","33,880","45,018","38,818","22,693","48,592","4,225","1,487"
2021년01월_남_50~59세,"255,910","11,281","5,426","33,723","31,860","44,420","44,082","29,454","47,470","6,119","2,075"
2021년01월_남_60~69세,"183,897","8,010","4,864","26,828","20,173","32,016","32,391","20,276","29,996","7,162","2,181"
2021년01월_남_70~79세,"81,220","4,351","2,961","14,198","7,246","14,044","14,214","6,990","11,307","4,734","1,175"
2021년01월_남_80~89세,"26,951","1,375","1,016","4,685","2,373","4,301","4,767","2,365","3,393","2,253",423
2021년01월_남_90~99세,"2,672",153,110,467,302,406,415,246,327,199,47
2021년01월_남_100세 이상,261,27,23,47,17,32,47,18,36,10,4
2021년01월_여_총인구수,"1,468,813","67,238","30,936","200,989","195,403","264,146","250,075","148,510","268,130","34,581","8,805"
2021년01월_여_연령구간인구수,"1,468,813","67,238","30,936","200,989","195,403","264,146","250,075","148,510","268,130","34,581","8,805"
2021년01월_여_0~9세,"110,527","5,735","1,764","13,236","18,838","20,095","15,910","9,016","23,894","1,576",463
2021년01월_여_10~19세,"132,847","6,074","2,408","15,334","20,806","24,287","20,721","12,887","27,587","2,240",503
2021년01월_여_20~29세,"191,772","9,363","3,025","27,069","25,193","34,287","33,989","20,965","34,861","2,290",730
2021년01월_여_30~39세,"195,607","9,715","3,173","25,774","29,462","34,965","32,523","18,055","38,684","2,530",726
2021년01월_여_40~49세,"236,354","11,174","4,583","29,909","34,804","43,559","38,351","22,889","46,653","3,545",887
2021년01월_여_50~59세,"256,024","9,200","4,755","33,404","32,742","45,615","45,928","31,047","46,010","5,801","1,522"
2021년01월_여_60~69세,"187,294","8,021","5,218","29,209","19,095","34,339","34,228","19,199","28,936","7,199","1,850"
2021년01월_여_70~79세,"96,825","5,009","3,769","17,153","8,453","16,907","17,283","8,560","13,168","5,323","1,200"
2021년01월_여_80~89세,"51,095","2,419","1,859","8,227","4,930","8,352","9,286","4,953","6,912","3,431",726
2021년01월_여_90~99세,"9,751",473,331,"1,544","1,033","1,632","1,697",885,"1,350",618,188
2021년01월_여_100세 이상,717,55,51,130,47,108,159,54,75,28,10
