,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020년12월_계_총인구수,"495,060","24,563","15,591","30,296","29,302","17,013","35,128","34,023","15,372","26,154","18,395","22,848","18,313","23,839","22,797","21,849","15,799","17,558","23,669","23,785","31,206","27,560"
2020년12월_계_연령구간인구수,"495,060","24,563","15,591","30,296","29,302","17,013","35,128","34,023","15,372","26,154","18,395","22,848","18,313","23,839","22,797","21,849","15,799","17,558","23,669","23,785","31,206","27,560"
2020년12월_계_0~9세,"22,372","1,207","1,297","2,042","1,197",690,"1,281","2,143",430,"1,163","1,029",681,616,828,797,362,"1,233",666,729,908,"1,766","1,307"
2020년12월_계_10~19세,"28,600","1,468","1,145","2,949","1,382",842,"1,676","2,652",587,"1,584",801,855,852,"1,096","1,154",480,"1,432",862,983,"1,554","2,326","1,920"
2020년12월_계_20~29세,"109,135","4,687","1,858","3,998","7,457","5,548","11,170","5,501","4,446","5,820","3,952","6,501","4,393","5,713","5,798","8,406","1,734","4,091","6,186","2,907","4,825","4,144"
2020년12월_계_30~39세,"86,781","4,068","2,616","3,931","6,042","3,522","6,736","5,397","3,013","4,957","3,719","4,567","3,267","4,734","3,914","5,606","1,908","3,279","4,791","2,688","4,291","3,735"
2020년12월_계_40~49세,"68,484","3,437","2,492","5,060","3,692","2,030","4,064","5,278","1,751","3,612","2,308","2,768","2,280","3,296","3,010","2,485","2,971","2,259","3,576","3,420","4,742","3,953"
2020년12월_계_50~59세,"68,052","3,391","2,330","4,805","3,472","1,662","3,904","4,892","1,825","3,493","2,561","2,806","2,446","3,132","3,242","1,755","2,576","2,398","3,190","4,240","5,002","4,930"
2020년12월_계_60~69세,"59,243","3,323","1,993","3,883","3,170","1,343","3,316","4,322","1,695","2,928","2,248","2,519","2,233","2,787","2,588","1,453","2,117","2,195","2,289","4,131","4,658","4,052"
2020년12월_계_70~79세,"37,176","2,150","1,226","2,515","2,108",960,"2,168","2,751","1,139","1,849","1,309","1,528","1,569","1,581","1,642",941,"1,303","1,257","1,339","2,683","2,627","2,531"
2020년12월_계_80~89세,"13,141",722,533,943,667,358,697,951,431,658,405,562,563,575,569,301,453,480,511,"1,046",844,872
2020년12월_계_90~99세,"1,753",101,77,140,97,47,96,119,46,82,60,51,79,77,68,44,59,63,63,178,104,102
2020년12월_계_100세 이상,323,9,24,30,18,11,20,17,9,8,3,10,15,20,15,16,13,8,12,30,21,14
2020년12월_남_총인구수,"248,339","12,050","7,637","14,631","14,234","8,570","16,881","16,642","7,340","12,745","8,886","11,753","9,173","13,074","11,398","11,399","7,785","8,874","14,293","11,885","15,266","13,823"
2020년12월_남_연령구간인구수,"248,339","12,050","7,637","14,631","14,234","8,570","16,881","16,642","7,340","12,745","8,886","11,753","9,173","13,074","11,398","11,399","7,785","8,874","14,293","11,885","15,266","13,823"
2020년12월_남_0~9세,"11,499",619,684,"1,067",620,362,627,"1,139",235,598,542,348,287,429,425,180,628,330,373,481,880,645
2020년12월_남_10~19세,"14,641",772,586,"1,548",687,403,825,"1,350",280,826,380,447,426,559,625,238,725,437,500,831,"1,164","1,032"
2020년12월_남_20~29세,"53,168","2,254",988,"1,985","3,351","2,664","4,910","2,627","1,829","2,746","1,789","3,305","2,219","3,170","2,724","4,060",890,"1,862","3,703","1,552","2,382","2,158"
2020년12월_남_30~39세,"47,937","2,207","1,307","1,962","3,216","1,955","3,578","2,797","1,644","2,585","1,973","2,662","1,873","2,911","2,217","3,226",948,"1,842","3,233","1,524","2,236","2,041"
2020년12월_남_40~49세,"36,558","1,773","1,268","2,514","1,937","1,076","2,105","2,720",954,"1,821","1,197","1,517","1,236","2,002","1,557","1,429","1,496","1,203","2,424","1,825","2,425","2,079"
2020년12월_남_50~59세,"34,068","1,600","1,143","2,340","1,696",866,"1,966","2,393",913,"1,704","1,166","1,342","1,206","1,666","1,609",985,"1,297","1,269","2,000","2,119","2,396","2,392"
2020년12월_남_60~69세,"27,543","1,532",903,"1,743","1,457",644,"1,534","1,947",785,"1,343","1,012","1,156",983,"1,326","1,226",690,984,"1,077","1,194","1,914","2,150","1,943"
2020년12월_남_70~79세,"16,983",982,536,"1,080",947,442,"1,000","1,241",507,807,613,719,707,744,737,447,618,619,611,"1,186","1,264","1,176"
2020년12월_남_80~89세,"5,459",290,197,347,291,142,300,404,179,287,202,244,219,255,261,134,176,217,239,403,336,336
2020년12월_남_90~99세,415,20,22,41,26,14,29,18,13,26,12,12,12,10,12,9,17,18,13,45,26,20
2020년12월_남_100세 이상,68,1,3,4,6,2,7,6,1,2,0,1,5,2,5,1,6,0,3,5,7,1
2020년12월_여_총인구수,"246,721","12,513","7,954","15,665","15,068","8,443","18,247","17,381","8,032","13,409","9,509","11,095","9,140","10,765","11,399","10,450","8,014","8,684","9,376","11,900","15,940","13,737"
2020년12월_여_연령구간인구수,"246,721","12,513","7,954","15,665","15,068","8,443","18,247","17,381","8,032","13,409","9,509","11,095","9,140","10,765","11,399","10,450","8,014","8,684","9,376","11,900","15,940","13,737"
2020년12월_여_0~9세,"10,873",588,613,975,577,328,654,"1,004",195,565,487,333,329,399,372,182,605,336,356,427,886,662
2020년12월_여_10~19세,"13,959",696,559,"1,401",695,439,851,"1,302",307,758,421,408,426,537,529,242,707,425,483,723,"1,162",888
2020년12월_여_20~29세,"55,967","2,433",870,"2,013","4,106","2,884","6,260","2,874","2,617","3,074","2,163","3,196","2,174","2,543","3,074","4,346",844,"2,229","2,483","1,355","2,443","1,986"
2020년12월_여_30~39세,"38,844","1,861","1,309","1,969","2,826","1,567","3,158","2,600","1,369","2,372","1,746","1,905","1,394","1,823","1,697","2,380",960,"1,437","1,558","1,164","2,055","1,694"
2020년12월_여_40~49세,"31,926","1,664","1,224","2,546","1,755",954,"1,959","2,558",797,"1,791","1,111","1,251","1,044","1,294","1,453","1,056","1,475","1,056","1,152","1,595","2,317","1,874"
2020년12월_여_50~59세,"33,984","1,791","1,187","2,465","1,776",796,"1,938","2,499",912,"1,789","1,395","1,464","1,240","1,466","1,633",770,"1,279","1,129","1,190","2,121","2,606","2,538"
2020년12월_여_60~69세,"31,700","1,791","1,090","2,140","1,713",699,"1,782","2,375",910,"1,585","1,236","1,363","1,250","1,461","1,362",763,"1,133","1,118","1,095","2,217","2,508","2,109"
2020년12월_여_70~79세,"20,193","1,168",690,"1,435","1,161",518,"1,168","1,510",632,"1,042",696,809,862,837,905,494,685,638,728,"1,497","1,363","1,355"
2020년12월_여_80~89세,"7,682",432,336,596,376,216,397,547,252,371,203,318,344,320,308,167,277,263,272,643,508,536
2020년12월_여_90~99세,"1,338",81,55,99,71,33,67,101,33,56,48,39,67,67,56,35,42,45,50,133,78,82
2020년12월_여_100세 이상,255,8,21,26,12,9,13,11,8,6,3,9,10,18,10,15,7,8,9,25,14,13
