,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2021년09월_계_총인구수,"20,345","1,158",999,"5,035","1,201",223,"1,887","6,483",948,376,"2,035"
2021년09월_계_연령구간인구수,"20,345","1,158",999,"5,035","1,201",223,"1,887","6,483",948,376,"2,035"
2021년09월_계_0~9세,890,35,24,319,46,2,42,289,25,10,98
2021년09월_계_10~19세,"1,082",46,26,284,66,6,81,408,30,18,117
2021년09월_계_20~29세,"2,589",82,53,980,176,43,136,562,80,23,454
2021년09월_계_30~39세,"1,823",73,59,594,115,11,85,609,39,22,216
2021년09월_계_40~49세,"2,318",109,112,624,118,17,147,816,88,31,256
2021년09월_계_50~59세,"3,508",196,206,690,201,25,349,"1,253",197,73,318
2021년09월_계_60~69세,"4,321",350,276,802,240,47,490,"1,463",226,93,334
2021년09월_계_70~79세,"2,383",165,160,421,152,53,340,729,159,63,141
2021년09월_계_80~89세,"1,154",82,62,252,75,15,174,297,87,31,79
2021년09월_계_90~99세,265,16,19,67,12,4,42,55,16,12,22
2021년09월_계_100세 이상,12,4,2,2,0,0,1,2,1,0,0
2021년09월_남_총인구수,"11,592",612,532,"2,951",696,141,"1,017","3,634",511,197,"1,301"
2021년09월_남_연령구간인구수,"11,592",612,532,"2,951",696,141,"1,017","3,634",511,197,"1,301"
2021년09월_남_0~9세,452,16,14,166,24,0,19,146,15,6,46
2021년09월_남_10~19세,580,20,14,131,36,5,43,237,16,8,70
2021년09월_남_20~29세,"1,896",47,33,761,133,40,82,380,44,12,364
2021년09월_남_30~39세,"1,133",42,39,351,75,8,50,382,25,15,146
2021년09월_남_40~49세,"1,457",59,66,410,76,15,90,479,60,16,186
2021년09월_남_50~59세,"2,059",118,119,402,115,15,217,705,121,46,201
2021년09월_남_60~69세,"2,339",187,144,425,135,28,276,800,116,49,179
2021년09월_남_70~79세,"1,185",90,80,201,61,24,163,376,80,35,75
2021년09월_남_80~89세,434,29,22,86,36,6,70,117,31,8,29
2021년09월_남_90~99세,54,3,0,18,5,0,7,11,3,2,5
2021년09월_남_100세 이상,3,1,1,0,0,0,0,1,0,0,0
2021년09월_여_총인구수,"8,753",546,467,"2,084",505,82,870,"2,849",437,179,734
2021년09월_여_연령구간인구수,"8,753",546,467,"2,084",505,82,870,"2,849",437,179,734
2021년09월_여_0~9세,438,19,10,153,22,2,23,143,10,4,52
2021년09월_여_10~19세,502,26,12,153,30,1,38,171,14,10,47
2021년09월_여_20~29세,693,35,20,219,43,3,54,182,36,11,90
2021년09월_여_30~39세,690,31,20,243,40,3,35,227,14,7,70
2021년09월_여_40~49세,861,50,46,214,42,2,57,337,28,15,70
2021년09월_여_50~59세,"1,449",78,87,288,86,10,132,548,76,27,117
2021년09월_여_60~69세,"1,982",163,132,377,105,19,214,663,110,44,155
2021년09월_여_70~79세,"1,198",75,80,220,91,29,177,353,79,28,66
2021년09월_여_80~89세,720,53,40,166,39,9,104,180,56,23,50
2021년09월_여_90~99세,211,13,19,49,7,4,35,44,13,10,17
2021년09월_여_100세 이상,9,3,1,2,0,0,1,1,1,0,0
