,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년04월_계_총인구수,"51,009","24,298","1,751","1,861","2,725","1,588","1,672",858,"1,429","1,116","1,020","3,585","1,734","3,063","4,309"
2021년04월_계_연령구간인구수,"51,009","24,298","1,751","1,861","2,725","1,588","1,672",858,"1,429","1,116","1,020","3,585","1,734","3,063","4,309"
2021년04월_계_0~9세,"2,459","1,775",42,25,99,23,34,14,39,23,27,143,19,64,132
2021년04월_계_10~19세,"4,166","2,678",81,112,181,66,66,26,56,72,34,308,53,143,290
2021년04월_계_20~29세,"3,817","2,231",83,87,235,74,77,45,100,57,48,253,77,171,279
2021년04월_계_30~39세,"3,694","2,304",86,88,189,61,73,34,70,41,40,222,61,155,270
2021년04월_계_40~49세,"6,241","3,688",165,143,296,134,128,47,120,74,66,394,165,277,544
2021년04월_계_50~59세,"8,985","4,292",287,291,475,273,289,112,253,173,180,635,341,571,813
2021년04월_계_60~69세,"9,927","3,839",457,455,597,371,413,210,325,278,247,792,404,709,830
2021년04월_계_70~79세,"6,769","2,217",323,389,373,319,300,199,233,182,195,506,338,564,631
2021년04월_계_80~89세,"4,286","1,118",198,232,237,227,239,150,198,182,153,293,239,358,462
2021년04월_계_90~99세,651,153,28,39,42,39,53,21,34,33,28,39,36,50,56
2021년04월_계_100세 이상,14,3,1,0,1,1,0,0,1,1,2,0,1,1,2
2021년04월_남_총인구수,"25,603","12,211",895,910,"1,417",781,856,381,699,547,512,"1,741",868,"1,587","2,198"
2021년04월_남_연령구간인구수,"25,603","12,211",895,910,"1,417",781,856,381,699,547,512,"1,741",868,"1,587","2,198"
2021년04월_남_0~9세,"1,236",913,20,12,46,12,16,9,14,11,13,66,8,31,65
2021년04월_남_10~19세,"2,282","1,485",48,62,94,36,39,12,29,37,16,153,28,82,161
2021년04월_남_20~29세,"2,251","1,295",54,55,149,48,42,23,66,35,32,133,49,97,173
2021년04월_남_30~39세,"2,041","1,204",57,52,119,30,52,17,43,24,27,110,40,104,162
2021년04월_남_40~49세,"3,464","1,926",96,95,175,82,75,26,77,48,38,207,97,193,329
2021년04월_남_50~59세,"4,904","2,238",167,165,253,141,172,60,142,99,112,332,202,339,482
2021년04월_남_60~69세,"4,967","1,831",241,207,316,204,227,101,170,141,140,407,218,363,401
2021년04월_남_70~79세,"3,012",948,149,178,173,143,145,89,99,87,80,232,147,269,273
2021년04월_남_80~89세,"1,332",345,59,74,83,77,73,42,56,58,47,96,75,103,144
2021년04월_남_90~99세,113,26,4,10,9,8,15,2,3,7,6,5,4,6,8
2021년04월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년04월_여_총인구수,"25,406","12,087",856,951,"1,308",807,816,477,730,569,508,"1,844",866,"1,476","2,111"
2021년04월_여_연령구간인구수,"25,406","12,087",856,951,"1,308",807,816,477,730,569,508,"1,844",866,"1,476","2,111"
2021년04월_여_0~9세,"1,223",862,22,13,53,11,18,5,25,12,14,77,11,33,67
2021년04월_여_10~19세,"1,884","1,193",33,50,87,30,27,14,27,35,18,155,25,61,129
2021년04월_여_20~29세,"1,566",936,29,32,86,26,35,22,34,22,16,120,28,74,106
2021년04월_여_30~39세,"1,653","1,100",29,36,70,31,21,17,27,17,13,112,21,51,108
2021년04월_여_40~49세,"2,777","1,762",69,48,121,52,53,21,43,26,28,187,68,84,215
2021년04월_여_50~59세,"4,081","2,054",120,126,222,132,117,52,111,74,68,303,139,232,331
2021년04월_여_60~69세,"4,960","2,008",216,248,281,167,186,109,155,137,107,385,186,346,429
2021년04월_여_70~79세,"3,757","1,269",174,211,200,176,155,110,134,95,115,274,191,295,358
2021년04월_여_80~89세,"2,954",773,139,158,154,150,166,108,142,124,106,197,164,255,318
2021년04월_여_90~99세,538,127,24,29,33,31,38,19,31,26,22,34,32,44,48
2021년04월_여_100세 이상,13,3,1,0,1,1,0,0,1,1,1,0,1,1,2
