카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년06월_계_총인구수,"42,803","6,836","18,406","8,901","8,660"
2020년06월_계_연령구간인구수,"42,803","6,836","18,406","8,901","8,660"
2020년06월_계_0~9세,"4,033",630,"1,286","1,354",763
2020년06월_계_10~19세,"6,443",907,"2,411","2,016","1,109"
2020년06월_계_20~29세,"4,852",714,"2,374",765,999
2020년06월_계_30~39세,"4,724",686,"1,679","1,410",949
2020년06월_계_40~49세,"8,446","1,130","3,242","2,526","1,548"
2020년06월_계_50~59세,"6,871","1,275","3,452",662,"1,482"
2020년06월_계_60~69세,"4,206",911,"2,077",86,"1,132"
2020년06월_계_70~79세,"1,983",378,"1,108",54,443
2020년06월_계_80~89세,"1,070",161,680,25,204
2020년06월_계_90~99세,165,41,92,3,29
2020년06월_계_100세 이상,10,3,5,0,2
2020년06월_남_총인구수,"21,319","3,323","9,032","4,611","4,353"
2020년06월_남_연령구간인구수,"21,319","3,323","9,032","4,611","4,353"
2020년06월_남_0~9세,"2,051",314,676,679,382
2020년06월_남_10~19세,"3,375",459,"1,278","1,051",587
2020년06월_남_20~29세,"2,708",377,"1,302",439,590
2020년06월_남_30~39세,"2,330",324,847,684,475
2020년06월_남_40~49세,"4,096",525,"1,534","1,310",727
2020년06월_남_50~59세,"3,466",634,"1,693",405,734
2020년06월_남_60~69세,"2,030",453,996,20,561
2020년06월_남_70~79세,885,184,472,14,215
2020년06월_남_80~89세,341,46,214,8,73
2020년06월_남_90~99세,37,7,20,1,9
2020년06월_남_100세 이상,0,0,0,0,0
2020년06월_여_총인구수,"21,484","3,513","9,374","4,290","4,307"
2020년06월_여_연령구간인구수,"21,484","3,513","9,374","4,290","4,307"
2020년06월_여_0~9세,"1,982",316,610,675,381
2020년06월_여_10~19세,"3,068",448,"1,133",965,522
2020년06월_여_20~29세,"2,144",337,"1,072",326,409
2020년06월_여_30~39세,"2,394",362,832,726,474
2020년06월_여_40~49세,"4,350",605,"1,708","1,216",821
2020년06월_여_50~59세,"3,405",641,"1,759",257,748
2020년06월_여_60~69세,"2,176",458,"1,081",66,571
2020년06월_여_70~79세,"1,098",194,636,40,228
2020년06월_여_80~89세,729,115,466,17,131
2020년06월_여_90~99세,128,34,72,2,20
2020년06월_여_100세 이상,10,3,5,0,2
