,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년10월_계_총인구수,"48,861","18,001","3,657","4,303",777,"3,166","3,362","4,161","2,295","2,069",217,"2,445",976,"2,624",808
2021년10월_계_연령구간인구수,"48,861","18,001","3,657","4,303",777,"3,166","3,362","4,161","2,295","2,069",217,"2,445",976,"2,624",808
2021년10월_계_0~9세,"2,942","1,384",198,291,49,85,129,173,113,61,4,133,41,241,40
2021년10월_계_10~19세,"3,509","1,682",195,395,48,123,194,262,95,86,9,134,49,212,25
2021년10월_계_20~29세,"3,610","1,820",199,269,40,178,191,249,127,126,8,128,64,149,62
2021년10월_계_30~39세,"3,651","1,655",276,338,72,147,203,223,105,122,4,166,57,230,53
2021년10월_계_40~49세,"5,987","2,622",413,570,113,314,349,411,197,185,24,269,97,337,86
2021년10월_계_50~59세,"7,885","3,062",560,637,119,527,575,610,384,354,37,335,157,396,132
2021년10월_계_60~69세,"8,728","2,911",737,657,156,719,641,702,487,427,37,464,172,458,160
2021년10월_계_70~79세,"7,340","1,853",614,638,138,625,592,851,457,370,46,481,177,353,145
2021년10월_계_80~89세,"4,566",879,415,448,40,393,434,602,289,289,39,292,139,218,89
2021년10월_계_90~99세,626,128,50,59,1,54,53,76,40,48,8,42,22,30,15
2021년10월_계_100세 이상,17,5,0,1,1,1,1,2,1,1,1,1,1,0,1
2021년10월_남_총인구수,"24,606","9,070","1,854","2,151",425,"1,588","1,712","2,043","1,172","1,012",115,"1,209",486,"1,341",428
2021년10월_남_연령구간인구수,"24,606","9,070","1,854","2,151",425,"1,588","1,712","2,043","1,172","1,012",115,"1,209",486,"1,341",428
2021년10월_남_0~9세,"1,515",741,95,137,23,50,58,83,70,29,3,62,18,124,22
2021년10월_남_10~19세,"1,832",870,98,219,27,61,95,131,44,49,5,70,30,117,16
2021년10월_남_20~29세,"2,121","1,035",121,160,25,98,131,155,81,72,8,76,35,85,39
2021년10월_남_30~39세,"1,973",825,161,191,48,94,114,129,57,75,2,94,34,119,30
2021년10월_남_40~49세,"3,497","1,366",273,332,81,200,216,247,135,109,17,180,64,212,65
2021년10월_남_50~59세,"4,435","1,637",329,360,66,303,337,364,227,213,24,196,89,217,73
2021년10월_남_60~69세,"4,369","1,428",366,336,75,358,332,347,246,218,22,229,94,235,83
2021년10월_남_70~79세,"3,287",853,274,274,67,298,262,365,212,151,24,189,79,169,70
2021년10월_남_80~89세,"1,451",284,128,136,13,120,153,206,91,84,10,102,38,58,28
2021년10월_남_90~99세,124,31,9,6,0,6,14,16,9,11,0,10,5,5,2
2021년10월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년10월_여_총인구수,"24,255","8,931","1,803","2,152",352,"1,578","1,650","2,118","1,123","1,057",102,"1,236",490,"1,283",380
2021년10월_여_연령구간인구수,"24,255","8,931","1,803","2,152",352,"1,578","1,650","2,118","1,123","1,057",102,"1,236",490,"1,283",380
2021년10월_여_0~9세,"1,427",643,103,154,26,35,71,90,43,32,1,71,23,117,18
2021년10월_여_10~19세,"1,677",812,97,176,21,62,99,131,51,37,4,64,19,95,9
2021년10월_여_20~29세,"1,489",785,78,109,15,80,60,94,46,54,0,52,29,64,23
2021년10월_여_30~39세,"1,678",830,115,147,24,53,89,94,48,47,2,72,23,111,23
2021년10월_여_40~49세,"2,490","1,256",140,238,32,114,133,164,62,76,7,89,33,125,21
2021년10월_여_50~59세,"3,450","1,425",231,277,53,224,238,246,157,141,13,139,68,179,59
2021년10월_여_60~69세,"4,359","1,483",371,321,81,361,309,355,241,209,15,235,78,223,77
2021년10월_여_70~79세,"4,053","1,000",340,364,71,327,330,486,245,219,22,292,98,184,75
2021년10월_여_80~89세,"3,115",595,287,312,27,273,281,396,198,205,29,190,101,160,61
2021년10월_여_90~99세,502,97,41,53,1,48,39,60,31,37,8,32,17,25,13
2021년10월_여_100세 이상,15,5,0,1,1,1,1,2,1,0,1,0,1,0,1
