,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년04월_계_총인구수,"31,910","10,229","1,452","1,906","2,623","8,604","2,002","1,614","3,480"
2020년04월_계_연령구간인구수,"31,910","10,229","1,452","1,906","2,623","8,604","2,002","1,614","3,480"
2020년04월_계_0~9세,"1,490",616,36,47,69,531,42,30,119
2020년04월_계_10~19세,"2,132",942,46,50,84,807,44,52,107
2020년04월_계_20~29세,"2,672","1,015",98,132,226,765,145,79,212
2020년04월_계_30~39세,"2,450",865,76,110,186,826,122,73,192
2020년04월_계_40~49세,"3,997","1,581",105,159,260,"1,292",161,140,299
2020년04월_계_50~59세,"6,056","1,873",261,364,558,"1,634",427,294,645
2020년04월_계_60~69세,"6,065","1,624",349,436,577,"1,448",468,359,804
2020년04월_계_70~79세,"4,100","1,054",243,350,382,831,343,315,582
2020년04월_계_80~89세,"2,630",595,214,228,248,427,218,248,452
2020년04월_계_90~99세,311,64,22,29,32,43,32,23,66
2020년04월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년04월_남_총인구수,"16,308","5,134",726,947,"1,427","4,453","1,069",826,"1,726"
2020년04월_남_연령구간인구수,"16,308","5,134",726,947,"1,427","4,453","1,069",826,"1,726"
2020년04월_남_0~9세,758,317,20,23,33,266,24,14,61
2020년04월_남_10~19세,"1,144",510,25,30,42,434,25,23,55
2020년04월_남_20~29세,"1,518",566,55,71,132,435,90,50,119
2020년04월_남_30~39세,"1,351",447,49,67,115,441,77,49,106
2020년04월_남_40~49세,"2,250",827,57,100,170,705,111,90,190
2020년04월_남_50~59세,"3,370","1,036",145,195,326,883,258,175,352
2020년04월_남_60~69세,"3,165",783,198,227,328,763,255,182,429
2020년04월_남_70~79세,"1,804",441,95,152,183,371,160,150,252
2020년04월_남_80~89세,871,196,74,74,91,145,60,86,145
2020년04월_남_90~99세,73,11,7,7,7,10,9,6,16
2020년04월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년04월_여_총인구수,"15,602","5,095",726,959,"1,196","4,151",933,788,"1,754"
2020년04월_여_연령구간인구수,"15,602","5,095",726,959,"1,196","4,151",933,788,"1,754"
2020년04월_여_0~9세,732,299,16,24,36,265,18,16,58
2020년04월_여_10~19세,988,432,21,20,42,373,19,29,52
2020년04월_여_20~29세,"1,154",449,43,61,94,330,55,29,93
2020년04월_여_30~39세,"1,099",418,27,43,71,385,45,24,86
2020년04월_여_40~49세,"1,747",754,48,59,90,587,50,50,109
2020년04월_여_50~59세,"2,686",837,116,169,232,751,169,119,293
2020년04월_여_60~69세,"2,900",841,151,209,249,685,213,177,375
2020년04월_여_70~79세,"2,296",613,148,198,199,460,183,165,330
2020년04월_여_80~89세,"1,759",399,140,154,157,282,158,162,307
2020년04월_여_90~99세,238,53,15,22,25,33,23,17,50
2020년04월_여_100세 이상,3,0,1,0,1,0,0,0,1
