,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년11월_계_총인구수,"511,275","21,652","26,665","29,955","36,786","39,085","26,642","22,030","24,059","26,931","19,976","34,352","38,231","20,006","26,212","24,014","32,802","22,669","20,510","18,698"
2021년11월_계_연령구간인구수,"511,275","21,652","26,665","29,955","36,786","39,085","26,642","22,030","24,059","26,931","19,976","34,352","38,231","20,006","26,212","24,014","32,802","22,669","20,510","18,698"
2021년11월_계_0~9세,"30,670","1,102","1,592","2,103","1,914","2,750","1,064","1,396","1,436","1,878","1,078","1,849","2,128",906,"1,320","1,020","2,278","2,305","1,250","1,301"
2021년11월_계_10~19세,"50,547","1,603","2,012","2,058","2,564","4,176","2,935","2,685","4,436","5,568","2,163","3,029","3,243","1,770","1,988","1,947","2,893","1,908","1,970","1,599"
2021년11월_계_20~29세,"70,267","3,713","3,091","3,478","6,532","6,585","4,381","2,909","3,063","2,906","2,462","4,107","5,089","3,165","3,105","3,316","4,444","2,674","2,673","2,574"
2021년11월_계_30~39세,"63,104","2,558","3,089","4,459","5,145","5,173","2,676","2,487","1,788","1,963","1,893","4,149","4,745","2,273","2,832","2,601","4,836","4,792","2,718","2,927"
2021년11월_계_40~49세,"81,827","3,284","4,071","4,467","5,312","6,292","3,966","3,826","4,782","6,272","3,320","5,437","5,508","2,884","3,728","3,471","5,239","3,766","3,291","2,911"
2021년11월_계_50~59세,"87,015","3,434","4,528","4,714","5,658","6,004","4,931","3,890","4,570","4,597","3,586","5,646","6,905","3,888","4,685","4,452","5,693","3,040","3,560","3,234"
2021년11월_계_60~69세,"70,613","3,157","4,495","4,729","5,596","4,712","3,723","2,673","2,316","2,200","2,674","4,959","6,203","2,997","4,454","3,811","4,188","2,351","2,880","2,495"
2021년11월_계_70~79세,"37,252","1,930","2,514","2,603","2,802","2,251","1,842","1,352","1,042",952,"1,859","3,281","2,905","1,395","2,702","2,233","1,996","1,181","1,367","1,045"
