,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년10월_계_총인구수,"16,330","7,136","2,084","1,699","1,755","1,673","1,983"
2021년10월_계_연령구간인구수,"16,330","7,136","2,084","1,699","1,755","1,673","1,983"
2021년10월_계_0~9세,683,419,67,46,36,60,55
2021년10월_계_10~19세,902,534,72,44,81,99,72
2021년10월_계_20~29세,"1,066",608,95,71,104,90,98
2021년10월_계_30~39세,990,598,109,59,73,67,84
2021년10월_계_40~49세,"1,603",898,172,120,118,151,144
2021년10월_계_50~59세,"2,832","1,209",340,271,339,296,377
2021년10월_계_60~69세,"3,621","1,336",516,457,413,392,507
2021년10월_계_70~79세,"2,583",888,396,353,292,280,374
2021년10월_계_80~89세,"1,764",537,274,242,265,207,239
2021년10월_계_90~99세,269,108,42,33,32,26,28
2021년10월_계_100세 이상,17,1,1,3,2,5,5
2021년10월_남_총인구수,"8,137","3,542","1,008",865,871,846,"1,005"
2021년10월_남_연령구간인구수,"8,137","3,542","1,008",865,871,846,"1,005"
2021년10월_남_0~9세,358,229,31,25,16,34,23
2021년10월_남_10~19세,466,268,40,23,44,48,43
2021년10월_남_20~29세,624,359,53,39,56,59,58
2021년10월_남_30~39세,536,316,57,35,44,35,49
2021년10월_남_40~49세,956,501,118,84,66,93,94
2021년10월_남_50~59세,"1,586",647,188,172,188,175,216
2021년10월_남_60~69세,"1,835",656,261,226,221,197,274
2021년10월_남_70~79세,"1,128",373,164,173,135,123,160
2021년10월_남_80~89세,585,173,87,81,90,73,81
2021년10월_남_90~99세,61,20,8,7,10,9,7
2021년10월_남_100세 이상,2,0,1,0,1,0,0
2021년10월_여_총인구수,"8,193","3,594","1,076",834,884,827,978
2021년10월_여_연령구간인구수,"8,193","3,594","1,076",834,884,827,978
2021년10월_여_0~9세,325,190,36,21,20,26,32
2021년10월_여_10~19세,436,266,32,21,37,51,29
2021년10월_여_20~29세,442,249,42,32,48,31,40
2021년10월_여_30~39세,454,282,52,24,29,32,35
2021년10월_여_40~49세,647,397,54,36,52,58,50
2021년10월_여_50~59세,"1,246",562,152,99,151,121,161
2021년10월_여_60~69세,"1,786",680,255,231,192,195,233
2021년10월_여_70~79세,"1,455",515,232,180,157,157,214
2021년10월_여_80~89세,"1,179",364,187,161,175,134,158
2021년10월_여_90~99세,208,88,34,26,22,17,21
2021년10월_여_100세 이상,15,1,0,3,1,5,5
