카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2021년04월_계_총인구수,"60,951","16,872","12,093","2,034","1,586","3,913","2,542","1,768","2,575","2,366","5,505","1,866","2,761","1,530","3,540"
2021년04월_계_연령구간인구수,"60,951","16,872","12,093","2,034","1,586","3,913","2,542","1,768","2,575","2,366","5,505","1,866","2,761","1,530","3,540"
2021년04월_계_0~9세,"3,117","1,288",901,59,37,101,68,37,133,63,194,37,90,31,78
2021년04월_계_10~19세,"4,149","1,540",952,144,30,199,274,48,171,73,349,66,138,46,119
2021년04월_계_20~29세,"4,737","1,682",887,114,90,269,131,85,208,167,475,97,210,89,233
2021년04월_계_30~39세,"4,959","1,828","1,125",99,96,248,136,103,186,129,417,102,192,74,224
2021년04월_계_40~49세,"7,007","2,320","1,736",131,116,390,187,133,282,208,645,152,281,127,299
2021년04월_계_50~59세,"10,780","2,847","2,110",316,295,714,405,279,454,489,"1,066",328,496,288,693
2021년04월_계_60~69세,"12,348","2,735","2,218",426,412,836,574,430,496,534,"1,196",434,660,433,964
2021년04월_계_70~79세,"8,051","1,590","1,327",395,272,658,399,387,370,387,714,357,388,254,553
2021년04월_계_80~89세,"5,111",914,736,298,211,446,334,234,238,280,397,263,261,162,337
2021년04월_계_90~99세,678,126,101,51,27,52,32,32,32,34,52,30,43,26,40
2021년04월_계_100세 이상,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
2021년04월_남_총인구수,"30,349","8,354","6,079","1,018",740,"2,027","1,182",864,"1,349","1,184","2,786",920,"1,358",768,"1,720"
2021년04월_남_연령구간인구수,"30,349","8,354","6,079","1,018",740,"2,027","1,182",864,"1,349","1,184","2,786",920,"1,358",768,"1,720"
2021년04월_남_0~9세,"1,620",660,464,28,14,51,38,25,75,37,99,22,49,18,40
2021년04월_남_10~19세,"2,250",800,521,96,22,140,100,21,110,38,196,44,69,27,66
2021년04월_남_20~29세,"2,731",943,499,67,47,173,76,52,127,102,283,65,102,61,134
2021년04월_남_30~39세,"2,738",956,599,55,58,140,80,69,104,80,246,57,123,47,124
2021년04월_남_40~49세,"3,902","1,220",959,82,72,227,118,76,171,121,359,100,151,81,165
2021년04월_남_50~59세,"5,787","1,471","1,137",168,146,439,209,169,271,278,564,174,271,130,360
2021년04월_남_60~69세,"6,146","1,299","1,081",240,204,434,279,215,256,278,601,221,333,230,475
2021년04월_남_70~79세,"3,512",700,572,170,124,277,179,158,149,156,320,155,174,128,250
2021년04월_남_80~89세,"1,555",281,230,102,48,140,95,74,82,93,111,73,80,44,102
2021년04월_남_90~99세,108,24,17,10,5,6,8,5,4,1,7,9,6,2,4
2021년04월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"30,602","8,518","6,014","1,016",846,"1,886","1,360",904,"1,226","1,182","2,719",946,"1,403",762,"1,820"
2021년04월_여_연령구간인구수,"30,602","8,518","6,014","1,016",846,"1,886","1,360",904,"1,226","1,182","2,719",946,"1,403",762,"1,820"
2021년04월_여_0~9세,"1,497",628,437,31,23,50,30,12,58,26,95,15,41,13,38
2021년04월_여_10~19세,"1,899",740,431,48,8,59,174,27,61,35,153,22,69,19,53
2021년04월_여_20~29세,"2,006",739,388,47,43,96,55,33,81,65,192,32,108,28,99
2021년04월_여_30~39세,"2,221",872,526,44,38,108,56,34,82,49,171,45,69,27,100
2021년04월_여_40~49세,"3,105","1,100",777,49,44,163,69,57,111,87,286,52,130,46,134
2021년04월_여_50~59세,"4,993","1,376",973,148,149,275,196,110,183,211,502,154,225,158,333
2021년04월_여_60~69세,"6,202","1,436","1,137",186,208,402,295,215,240,256,595,213,327,203,489
2021년04월_여_70~79세,"4,539",890,755,225,148,381,220,229,221,231,394,202,214,126,303
2021년04월_여_80~89세,"3,556",633,506,196,163,306,239,160,156,187,286,190,181,118,235
2021년04월_여_90~99세,570,102,84,41,22,46,24,27,28,33,45,21,37,24,36
2021년04월_여_100세 이상,14,2,0,1,0,0,2,0,5,2,0,0,2,0,0
