카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2020년01월_계_총인구수,"405,525","11,370","6,711","16,173","4,907","32,813","24,326","11,804","16,833","7,321","26,112","44,100","21,714","31,911","78,851","23,473","2,153","1,978","4,074","2,292","2,102","34,507"
2020년01월_계_연령구간인구수,"405,525","11,370","6,711","16,173","4,907","32,813","24,326","11,804","16,833","7,321","26,112","44,100","21,714","31,911","78,851","23,473","2,153","1,978","4,074","2,292","2,102","34,507"
2020년01월_계_0~9세,"42,736",803,346,"1,617",389,"4,187","1,959",791,"1,330",702,"1,977","4,126","2,365","3,315","11,274","3,336",57,49,148,56,44,"3,865"
2020년01월_계_10~19세,"54,055","1,276",411,"1,809",444,"3,649","2,095","1,299","2,251",809,"3,605","6,062","3,278","4,206","13,572","3,120",128,90,153,122,90,"5,586"
2020년01월_계_20~29세,"57,163","1,747",983,"2,272",640,"3,963","3,599","2,001","2,511",916,"4,817","7,759","2,998","4,776","9,214","2,804",180,185,443,169,153,"5,033"
2020년01월_계_30~39세,"56,486","1,283",956,"2,385",634,"5,777","3,459","1,362","1,911",935,"2,988","5,918","2,834","4,339","11,565","3,914",120,165,450,153,140,"5,198"
2020년01월_계_40~49세,"77,462","1,974",897,"2,802",751,"5,972","3,760","1,841","3,120","1,434","4,385","8,474","4,530","6,034","17,998","4,684",192,185,499,218,259,"7,453"
2020년01월_계_50~59세,"61,945","1,799","1,112","2,448",811,"4,482","4,387","2,339","3,072","1,298","5,199","7,451","3,175","5,336","9,271","3,116",394,354,694,423,330,"4,454"
2020년01월_계_60~69세,"30,420","1,290",923,"1,421",612,"2,766","2,736","1,320","1,578",622,"1,922","2,459","1,435","2,092","3,609","1,623",430,387,758,450,345,"1,642"
2020년01월_계_70~79세,"16,768",834,761,984,437,"1,367","1,471",562,737,387,781,"1,194",791,"1,247","1,659",587,368,370,572,369,401,889
2020년01월_계_80~89세,"7,379",315,279,375,152,548,743,257,283,200,375,582,276,497,596,248,248,174,292,292,302,345
2020년01월_계_90~99세,"1,049",47,37,55,33,96,114,32,38,17,62,73,28,67,87,37,34,16,63,37,35,41
2020년01월_계_100세 이상,62,2,6,5,4,6,3,0,2,1,1,2,4,2,6,4,2,3,2,3,3,1
2020년01월_남_총인구수,"204,163","5,733","3,371","8,141","2,479","16,821","12,309","6,013","8,556","3,843","12,937","22,177","11,080","15,710","38,999","11,938","1,110","1,015","2,254","1,161","1,046","17,470"
2020년01월_남_연령구간인구수,"204,163","5,733","3,371","8,141","2,479","16,821","12,309","6,013","8,556","3,843","12,937","22,177","11,080","15,710","38,999","11,938","1,110","1,015","2,254","1,161","1,046","17,470"
2020년01월_남_0~9세,"21,979",416,182,860,205,"2,180","1,009",402,701,342,996,"2,124","1,226","1,701","5,781","1,724",26,29,79,23,19,"1,954"
2020년01월_남_10~19세,"27,859",664,207,960,238,"1,857","1,086",692,"1,165",428,"1,833","3,131","1,687","2,179","6,859","1,637",75,45,75,70,51,"2,920"
2020년01월_남_20~29세,"30,196",961,523,"1,213",347,"2,146","1,912","1,075","1,342",518,"2,508","4,121","1,624","2,421","4,767","1,436",105,106,274,107,81,"2,609"
2020년01월_남_30~39세,"28,454",673,554,"1,216",339,"3,003","1,892",755,982,491,"1,486","3,056","1,394","2,141","5,318","1,897",70,103,293,92,82,"2,617"
2020년01월_남_40~49세,"38,741","1,010",485,"1,434",400,"3,244","1,962",902,"1,528",778,"1,980","3,954","2,302","2,923","8,868","2,488",119,112,335,129,164,"3,624"
2020년01월_남_50~59세,"32,388",959,559,"1,239",410,"2,246","2,259","1,176","1,600",734,"2,581","3,864","1,738","2,731","4,925","1,580",238,212,433,263,191,"2,450"
