,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년09월_계_총인구수,"265,770","3,123","4,773","3,394","2,637","2,506","4,866","2,968","2,858","2,171","3,332","2,943","2,293","5,197","7,026","5,527","4,426","12,791","22,470","7,423","8,023","2,838","55,439","12,473","23,417","32,153","17,085","11,618"
2021년09월_계_연령구간인구수,"265,770","3,123","4,773","3,394","2,637","2,506","4,866","2,968","2,858","2,171","3,332","2,943","2,293","5,197","7,026","5,527","4,426","12,791","22,470","7,423","8,023","2,838","55,439","12,473","23,417","32,153","17,085","11,618"
2021년09월_계_0~9세,"19,810",81,576,175,60,68,130,76,83,39,96,106,108,163,328,138,262,"1,080","2,540",378,509,170,"6,413",621,"1,559","2,369","1,064",618
2021년09월_계_10~19세,"26,278",114,384,341,105,107,227,141,129,92,157,142,148,375,564,326,193,"1,105","2,097",484,682,234,"7,728","1,099","2,813","4,075","1,606",810
2021년09월_계_20~29세,"29,329",226,376,230,218,144,315,261,248,128,305,265,162,424,792,576,407,"1,307","2,568",681,"1,054",288,"6,608","1,479","2,865","4,290","1,911","1,201"
2021년09월_계_30~39세,"29,359",176,701,207,148,145,322,178,179,114,252,194,174,385,535,374,616,"1,682","3,689",707,960,253,"7,269","1,222","2,055","3,408","2,037","1,377"
2021년09월_계_40~49세,"42,649",297,742,452,234,231,500,278,248,213,458,336,246,655,898,572,607,"1,920","3,667","1,067","1,082",329,"10,967","1,770","3,711","5,900","3,234","2,035"
2021년09월_계_50~59세,"44,045",578,692,555,441,409,758,541,538,351,712,451,335,858,"1,083",911,652,"2,035","3,138","1,209","1,436",471,"8,293","2,347","4,179","5,683","3,198","2,191"
2021년09월_계_60~69세,"38,856",710,636,605,655,614,"1,157",708,664,517,737,612,492,"1,112","1,345","1,143",792,"1,881","2,663","1,442","1,363",527,"4,810","2,254","3,458","3,683","2,428","1,848"
2021년09월_계_70~79세,"23,326",544,391,462,443,416,868,498,477,416,413,531,443,817,"1,011",968,630,"1,255","1,501","1,030",653,353,"2,297","1,171","1,773","1,834","1,123","1,008"
