카테고리,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020년02월_계_총인구수,"840,272","180,277","2,291","5,121","4,040","7,098","4,153","5,933","7,146","9,395","11,289","30,837","13,939","45,839","33,196","201,704","10,329","3,496","8,251","14,803","15,252","15,353","27,518","32,217","14,205","14,002","46,278","263,132","21,378","10,905","17,504","17,879","51,778","16,571","50,638","10,111","25,006","28,380","12,982","195,159","20,029","68,828","4,701","12,727","9,015","11,853","49,373","18,633"
2020년02월_계_연령구간인구수,"840,272","180,277","2,291","5,121","4,040","7,098","4,153","5,933","7,146","9,395","11,289","30,837","13,939","45,839","33,196","201,704","10,329","3,496","8,251","14,803","15,252","15,353","27,518","32,217","14,205","14,002","46,278","263,132","21,378","10,905","17,504","17,879","51,778","16,571","50,638","10,111","25,006","28,380","12,982","195,159","20,029","68,828","4,701","12,727","9,015","11,853","49,373","18,633"
2020년02월_계_0~9세,"76,590","15,095",54,109,113,468,126,252,245,499,768,"2,731","1,663","4,277","3,790","15,467",662,105,370,"1,477",777,802,"2,598","2,912",664,779,"4,321","24,678","2,285",762,"2,235","1,062","6,211",748,"4,306",574,"1,965","2,183","2,347","21,350","1,663","10,401",113,586,388,770,"4,722","2,707"
2020년02월_계_10~19세,"87,960","19,465",62,241,141,460,209,455,433,745,"1,002","3,951","2,005","5,858","3,903","21,700",708,142,602,"1,440","1,053","1,119","4,292","4,461","1,065","1,173","5,645","27,105","2,113","1,073","1,260","1,639","6,815","1,213","6,575",622,"2,486","2,461",848,"19,690","2,025","7,300",205,789,618,959,"5,543","2,251"
2020년02월_계_20~29세,"118,650","23,099",186,353,345,795,331,835,982,"1,161","1,415","4,042","1,639","6,400","4,615","29,197","1,223",210,997,"1,847","3,412","2,407","3,681","4,726","2,121","1,822","6,751","40,481","2,650","1,435","2,022","2,685","7,368","3,368","7,518","2,052","4,309","5,151","1,923","25,873","2,397","8,617",375,"2,105","1,176","1,741","7,525","1,937"
2020년02월_계_30~39세,"119,812","21,145",144,292,264,745,272,631,762,957,"1,337","3,488","1,719","5,863","4,671","24,492","1,136",244,850,"2,071","2,137","1,723","3,347","3,788","1,467","1,370","6,359","41,067","3,545","1,184","3,490","2,079","8,720","1,942","6,123","1,684","4,167","4,755","3,378","33,108","2,289","15,939",311,"1,591",941,"1,343","7,412","3,282"
2020년02월_계_40~49세,"137,264","29,207",192,438,397,871,438,812,898,"1,321","1,681","5,566","2,631","8,217","5,745","32,615","1,345",374,"1,137","2,132","1,967","2,024","5,442","6,077","1,944","1,807","8,366","43,349","3,739","1,605","2,431","2,671","10,181","2,189","8,866","1,404","4,104","4,423","1,736","32,093","3,251","12,048",450,"1,672","1,233","1,792","8,198","3,449"
2020년02월_계_50~59세,"136,734","31,508",470,999,921,"1,382",803,"1,012","1,253","1,719","1,965","5,199","2,119","7,893","5,773","35,230","2,261",646,"1,645","2,505","2,277","2,895","4,500","5,591","2,693","2,918","7,299","42,471","2,912","2,078","2,681","3,690","7,144","3,086","9,371","1,657","4,086","4,474","1,292","27,525","3,546","7,010",945,"2,144","1,626","2,010","7,977","2,267"
2020년02월_계_60~69세,"90,864","21,839",560,"1,209",883,"1,231",829,916,"1,277","1,504","1,668","3,253","1,191","4,430","2,888","23,994","1,641",771,"1,357","1,936","1,961","2,448","2,105","2,568","2,259","2,265","4,683","25,717","2,133","1,476","1,834","2,367","3,273","2,333","5,037","1,258","2,378","2,854",774,"19,314","2,435","4,326","1,042","1,892","1,574","1,655","4,896","1,494"
2020년02월_계_70~79세,"46,274","11,942",349,838,570,640,616,653,795,967,997,"1,810",651,"1,882","1,174","12,249",793,551,819,894,"1,194","1,288",983,"1,307","1,345","1,192","1,883","11,811","1,255",787,939,"1,092","1,358","1,194","1,914",601,986,"1,286",399,"10,272","1,487","2,004",713,"1,245",967,"1,061","2,020",775
