카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년09월_계_총인구수,"386,301","113,310","47,080","23,267","9,598","15,722","1,494","2,529","25,627","22,285","18,356","39,298","33,628","34,107"
2021년09월_계_연령구간인구수,"386,301","113,310","47,080","23,267","9,598","15,722","1,494","2,529","25,627","22,285","18,356","39,298","33,628","34,107"
2021년09월_계_0~9세,"33,578","10,800","3,615","1,338",441,"1,051",31,140,"2,011","1,573","1,903","2,931","2,551","5,193"
2021년09월_계_10~19세,"34,218","8,963","5,010","1,802",633,"1,264",65,185,"2,238","2,035","1,612","3,607","2,671","4,133"
2021년09월_계_20~29세,"45,145","13,350","5,613","2,864","1,010","1,227",106,169,"3,456","2,788","2,321","5,039","4,273","2,929"
2021년09월_계_30~39세,"56,045","19,247","6,194","2,757","1,008","1,480",102,215,"3,646","2,931","2,807","5,105","4,700","5,853"
2021년09월_계_40~49세,"67,552","20,556","8,172","3,537","1,348","2,514",140,332,"4,169","3,728","3,200","6,811","5,681","7,364"
2021년09월_계_50~59세,"64,843","17,688","8,178","4,596","1,894","2,645",253,461,"4,442","4,036","3,081","7,406","6,017","4,146"
2021년09월_계_60~69세,"51,785","13,860","6,200","3,758","1,881","3,117",412,538,"3,403","3,211","2,225","5,423","4,968","2,789"
2021년09월_계_70~79세,"22,778","6,189","2,734","1,657",866,"1,656",221,292,"1,542","1,404",869,"2,116","1,999","1,233"
2021년09월_계_80~89세,"9,008","2,298","1,195",842,443,657,143,166,633,503,290,771,664,403
2021년09월_계_90~99세,"1,293",345,162,113,69,107,21,29,85,72,44,84,100,62
2021년09월_계_100세 이상,56,14,7,3,5,4,0,2,2,4,4,5,4,2
2021년09월_남_총인구수,"197,265","57,251","24,487","12,384","5,278","8,022",786,"1,334","13,204","11,210","9,179","19,966","17,285","16,879"
2021년09월_남_연령구간인구수,"197,265","57,251","24,487","12,384","5,278","8,022",786,"1,334","13,204","11,210","9,179","19,966","17,285","16,879"
2021년09월_남_0~9세,"17,206","5,581","1,892",687,227,521,18,69,"1,058",764,984,"1,476","1,332","2,597"
2021년09월_남_10~19세,"17,501","4,598","2,557",951,333,684,32,98,"1,144",989,786,"1,819","1,393","2,117"
2021년09월_남_20~29세,"24,021","7,000","2,994","1,573",588,686,58,89,"1,863","1,484","1,204","2,682","2,298","1,502"
2021년09월_남_30~39세,"29,077","9,919","3,258","1,543",592,767,56,106,"1,928","1,561","1,422","2,744","2,446","2,735"
2021년09월_남_40~49세,"35,687","10,996","4,340","1,920",805,"1,367",78,189,"2,181","1,924","1,636","3,478","3,047","3,726"
2021년09월_남_50~59세,"33,118","8,603","4,385","2,539","1,067","1,379",145,257,"2,360","2,030","1,497","3,696","3,040","2,120"
2021년09월_남_60~69세,"25,906","6,680","3,258","2,004","1,035","1,510",223,297,"1,727","1,597","1,103","2,710","2,465","1,297"
2021년09월_남_70~79세,"11,010","2,926","1,321",819,454,814,110,147,705,666,408,"1,037",993,610
2021년09월_남_80~89세,"3,455",867,449,318,162,266,60,75,228,178,130,302,253,167
2021년09월_남_90~99세,271,76,31,29,14,26,6,6,9,17,9,22,18,8
2021년09월_남_100세 이상,13,5,2,1,1,2,0,1,1,0,0,0,0,0
2021년09월_여_총인구수,"189,036","56,059","22,593","10,883","4,320","7,700",708,"1,195","12,423","11,075","9,177","19,332","16,343","17,228"
2021년09월_여_연령구간인구수,"189,036","56,059","22,593","10,883","4,320","7,700",708,"1,195","12,423","11,075","9,177","19,332","16,343","17,228"
2021년09월_여_0~9세,"16,372","5,219","1,723",651,214,530,13,71,953,809,919,"1,455","1,219","2,596"
2021년09월_여_10~19세,"16,717","4,365","2,453",851,300,580,33,87,"1,094","1,046",826,"1,788","1,278","2,016"
2021년09월_여_20~29세,"21,124","6,350","2,619","1,291",422,541,48,80,"1,593","1,304","1,117","2,357","1,975","1,427"
2021년09월_여_30~39세,"26,968","9,328","2,936","1,214",416,713,46,109,"1,718","1,370","1,385","2,361","2,254","3,118"
2021년09월_여_40~49세,"31,865","9,560","3,832","1,617",543,"1,147",62,143,"1,988","1,804","1,564","3,333","2,634","3,638"
2021년09월_여_50~59세,"31,725","9,085","3,793","2,057",827,"1,266",108,204,"2,082","2,006","1,584","3,710","2,977","2,026"
2021년09월_여_60~69세,"25,879","7,180","2,942","1,754",846,"1,607",189,241,"1,676","1,614","1,122","2,713","2,503","1,492"
2021년09월_여_70~79세,"11,768","3,263","1,413",838,412,842,111,145,837,738,461,"1,079","1,006",623
2021년09월_여_80~89세,"5,553","1,431",746,524,281,391,83,91,405,325,160,469,411,236
2021년09월_여_90~99세,"1,022",269,131,84,55,81,15,23,76,55,35,62,82,54
2021년09월_여_100세 이상,43,9,5,2,4,2,0,1,1,4,4,5,4,2
