카테고리,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년04월_계_총인구수,"221,669","20,283","28,271","28,612","70,185","19,285","22,039","8,298","7,688","4,162","3,114","7,939","1,793"
2021년04월_계_연령구간인구수,"221,669","20,283","28,271","28,612","70,185","19,285","22,039","8,298","7,688","4,162","3,114","7,939","1,793"
2021년04월_계_0~9세,"17,299","1,476","2,364","2,539","6,466","1,741","1,496",456,288,128,46,257,42
2021년04월_계_10~19세,"22,175","1,631","2,756","3,243","9,833","1,547","1,514",506,374,189,111,406,65
2021년04월_계_20~29세,"26,284","2,508","3,424","3,288","9,205","2,258","2,765",738,817,288,169,714,110
2021년04월_계_30~39세,"25,362","2,772","3,184","3,467","7,527","2,842","2,962",841,636,278,206,538,109
2021년04월_계_40~49세,"36,706","3,685","4,512","5,292","13,502","2,920","3,185","1,162",756,412,238,898,144
2021년04월_계_50~59세,"41,799","3,981","5,221","5,207","12,915","3,495","4,307","1,577","1,637",878,537,"1,685",359
2021년04월_계_60~69세,"30,570","2,578","4,016","3,331","6,883","2,727","3,424","1,652","1,703","1,081",844,"1,851",480
2021년04월_계_70~79세,"13,898","1,123","1,782","1,451","2,610","1,160","1,597",903,920,543,549,980,280
2021년04월_계_80~89세,"6,551",460,874,694,"1,098",508,664,409,481,308,354,523,178
2021년04월_계_90~99세,"1,002",64,130,99,145,86,124,54,75,55,60,85,25
2021년04월_계_100세 이상,23,5,8,1,1,1,1,0,1,2,0,2,1
2021년04월_남_총인구수,"114,503","11,638","14,144","14,901","35,336","9,975","11,338","4,489","3,991","2,160","1,554","4,036",941
2021년04월_남_연령구간인구수,"114,503","11,638","14,144","14,901","35,336","9,975","11,338","4,489","3,991","2,160","1,554","4,036",941
2021년04월_남_0~9세,"8,883",777,"1,169","1,304","3,319",884,790,245,148,66,23,139,19
2021년04월_남_10~19세,"11,533",867,"1,406","1,659","5,145",775,785,273,213,101,54,221,34
2021년04월_남_20~29세,"14,978","1,570","1,926","1,832","5,117","1,234","1,601",456,489,167,96,424,66
2021년04월_남_30~39세,"13,540","1,741","1,652","1,839","3,661","1,565","1,618",452,347,164,123,313,65
2021년04월_남_40~49세,"18,755","2,258","2,218","2,756","6,272","1,505","1,662",727,427,237,138,464,91
2021년04월_남_50~59세,"22,116","2,381","2,627","2,839","6,647","1,851","2,165",917,856,476,297,854,206
2021년04월_남_60~69세,"15,838","1,375","2,009","1,764","3,577","1,434","1,713",839,906,577,442,947,255
2021년04월_남_70~79세,"6,575",519,844,676,"1,230",545,757,414,433,270,254,496,137
2021년04월_남_80~89세,"2,101",143,268,212,342,167,224,157,152,94,117,160,65
2021년04월_남_90~99세,182,5,25,20,26,15,23,9,20,8,10,18,3
2021년04월_남_100세 이상,2,2,0,0,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"107,166","8,645","14,127","13,711","34,849","9,310","10,701","3,809","3,697","2,002","1,560","3,903",852
2021년04월_여_연령구간인구수,"107,166","8,645","14,127","13,711","34,849","9,310","10,701","3,809","3,697","2,002","1,560","3,903",852
2021년04월_여_0~9세,"8,416",699,"1,195","1,235","3,147",857,706,211,140,62,23,118,23
2021년04월_여_10~19세,"10,642",764,"1,350","1,584","4,688",772,729,233,161,88,57,185,31
2021년04월_여_20~29세,"11,306",938,"1,498","1,456","4,088","1,024","1,164",282,328,121,73,290,44
2021년04월_여_30~39세,"11,822","1,031","1,532","1,628","3,866","1,277","1,344",389,289,114,83,225,44
2021년04월_여_40~49세,"17,951","1,427","2,294","2,536","7,230","1,415","1,523",435,329,175,100,434,53
2021년04월_여_50~59세,"19,683","1,600","2,594","2,368","6,268","1,644","2,142",660,781,402,240,831,153
2021년04월_여_60~69세,"14,732","1,203","2,007","1,567","3,306","1,293","1,711",813,797,504,402,904,225
2021년04월_여_70~79세,"7,323",604,938,775,"1,380",615,840,489,487,273,295,484,143
2021년04월_여_80~89세,"4,450",317,606,482,756,341,440,252,329,214,237,363,113
2021년04월_여_90~99세,820,59,105,79,119,71,101,45,55,47,50,67,22
2021년04월_여_100세 이상,21,3,8,1,1,1,1,0,1,2,0,2,1
