카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년07월_계_총인구수,"43,021","13,116","3,802","1,628","3,920","2,374","3,587","2,648","3,458","2,881","5,607"
2020년07월_계_연령구간인구수,"43,021","13,116","3,802","1,628","3,920","2,374","3,587","2,648","3,458","2,881","5,607"
2020년07월_계_0~9세,"1,594",882,85,36,127,89,76,51,68,46,134
2020년07월_계_10~19세,"2,969","1,407",219,100,182,185,216,90,167,116,287
2020년07월_계_20~29세,"3,275","1,504",234,98,213,184,197,138,218,169,320
2020년07월_계_30~39세,"2,515","1,157",171,75,208,140,156,102,150,112,244
2020년07월_계_40~49세,"4,668","1,951",351,140,384,259,332,227,311,217,496
2020년07월_계_50~59세,"7,451","2,211",653,317,674,497,591,436,575,481,"1,016"
2020년07월_계_60~69세,"8,071","1,893",761,309,829,489,700,533,674,654,"1,229"
2020년07월_계_70~79세,"6,818","1,248",710,282,698,323,708,533,662,560,"1,094"
2020년07월_계_80~89세,"4,822",734,534,240,502,172,522,468,530,433,687
2020년07월_계_90~99세,821,128,84,31,100,35,84,69,101,90,99
2020년07월_계_100세 이상,17,1,0,0,3,1,5,1,2,3,1
2020년07월_남_총인구수,"20,711","6,413","1,819",793,"1,886","1,216","1,690","1,267","1,614","1,370","2,643"
2020년07월_남_연령구간인구수,"20,711","6,413","1,819",793,"1,886","1,216","1,690","1,267","1,614","1,370","2,643"
2020년07월_남_0~9세,853,458,43,21,75,42,49,28,34,26,77
2020년07월_남_10~19세,"1,587",739,132,53,103,95,103,53,104,56,149
2020년07월_남_20~29세,"1,991",898,142,63,122,128,121,97,119,111,190
2020년07월_남_30~39세,"1,314",572,93,39,114,76,87,58,81,58,136
2020년07월_남_40~49세,"2,533",942,195,79,218,146,194,139,188,130,302
2020년07월_남_50~59세,"3,953","1,117",366,181,372,270,320,255,296,253,523
2020년07월_남_60~69세,"3,926",894,359,150,409,243,334,262,329,335,611
2020년07월_남_70~79세,"2,963",542,307,123,310,158,320,229,286,247,441
2020년07월_남_80~89세,"1,444",235,161,79,146,53,141,137,153,139,200
2020년07월_남_90~99세,146,16,21,5,16,5,21,9,24,15,14
2020년07월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년07월_여_총인구수,"22,310","6,703","1,983",835,"2,034","1,158","1,897","1,381","1,844","1,511","2,964"
2020년07월_여_연령구간인구수,"22,310","6,703","1,983",835,"2,034","1,158","1,897","1,381","1,844","1,511","2,964"
2020년07월_여_0~9세,741,424,42,15,52,47,27,23,34,20,57
2020년07월_여_10~19세,"1,382",668,87,47,79,90,113,37,63,60,138
2020년07월_여_20~29세,"1,284",606,92,35,91,56,76,41,99,58,130
2020년07월_여_30~39세,"1,201",585,78,36,94,64,69,44,69,54,108
2020년07월_여_40~49세,"2,135","1,009",156,61,166,113,138,88,123,87,194
2020년07월_여_50~59세,"3,498","1,094",287,136,302,227,271,181,279,228,493
2020년07월_여_60~69세,"4,145",999,402,159,420,246,366,271,345,319,618
2020년07월_여_70~79세,"3,855",706,403,159,388,165,388,304,376,313,653
2020년07월_여_80~89세,"3,378",499,373,161,356,119,381,331,377,294,487
2020년07월_여_90~99세,675,112,63,26,84,30,63,60,77,75,85
2020년07월_여_100세 이상,16,1,0,0,2,1,5,1,2,3,1
